# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	2	0			
2020-03-09	2	0			
2020-03-10	2	0			
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	4	0			
2020-03-17	10	0			
2020-03-18	10	0			
2020-03-19	13	0			
2020-03-20	20	0			
2020-03-21	27	0			
2020-03-22	40	0			
2020-03-23	56	0			
2020-03-24	66	0			
2020-03-25	75	1			
2020-03-26	75	1			
2020-03-27	91	2			
2020-03-28	91	2			
2020-03-29	139	6			
2020-03-30	139	6			
2020-03-31	193	6			
2020-04-01	233	6			
2020-04-02	306	7			
2020-04-03	509	8			
2020-04-04	555	9			
2020-04-05	650	9			
2020-04-06	658	9			
2020-04-07	658	9			
2020-04-08	730	10			
2020-04-09	730	10			
2020-04-10	820	12			
2020-04-11	820	12			
2020-04-12	820	12			
2020-04-13	820	12			
2020-04-14	848	14			
2020-04-15	848	17			
2020-04-16	996	22			
2020-04-17	996	22			
2020-04-18	1017	22			
2020-04-19	1017	42			
2020-04-20	1163	42			
2020-04-21	1163	43			
2020-04-22	1163	43			
2020-04-23	1334	43			
2020-04-24	1430	43			
2020-04-25	1518	53			
2020-04-26	1621	56			
2020-04-27	1705	58			
2020-04-28	1705	58			
2020-04-29	1832	61			
2020-04-30	1832	61			
2020-05-01	1832	61			
2020-05-02	2077	64			
2020-05-03	2077	64			
2020-05-04	2104	64			
2020-05-05	2104	64			
2020-05-06	2265	108			
2020-05-07	2267	108			
2020-05-08	2267	108			
2020-05-09	2274	108			
2020-05-10	2579	114			
2020-05-11	2689	125			
2020-05-12	2689	125			
2020-05-13	2800	136			
2020-05-14	2954	139			
2020-05-15	3105	140			
2020-05-16	3105	140			
2020-05-17	3105	140			
2020-05-18	3529	140			
2020-05-19	3529	140			
2020-05-20	3733	146			
2020-05-21	4288	156			
2020-05-22	4400	159			
2020-05-23	4400	159			
2020-05-24	4890	165			
2020-05-25	4890	165			
2020-05-26	5436	175			
2020-05-27	5436	175			
2020-05-28	5436	175			
2020-05-29	5436	177			
2020-05-30	5904	191			
2020-05-31	5904	191			
2020-06-01	6397	199			
2020-06-02	6585	200			
2020-06-03	6585	200			
2020-06-04	6789	203			
2020-06-05	7392	205			
2020-06-06	7599	212			
2020-06-07	7908	212			
2020-06-08	8060	212			
2020-06-09	8312	212			
2020-06-10	8681	212			
2020-06-11	8681	212			
2020-06-12	8681	212			
