# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	1	0			
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	3	0			
2020-03-16	15	0			
2020-03-17	15	0			
2020-03-18	20	1			
2020-03-19	33	1			
2020-03-20	40	1			
2020-03-21	64	2			
2020-03-22	75	4			
2020-03-23	99	4			
2020-03-24	114	4			
2020-03-25	146	4			
2020-03-26	152	7			
2020-03-27	180	9			
2020-03-28	207	11			
2020-03-29	222	12			
2020-03-30	246	12			
2020-03-31	261	14			
2020-04-01	282	16			
2020-04-02	288	16			
2020-04-03	302	16			
2020-04-04	318	16			
2020-04-05	345	17			
2020-04-06	364	18			
2020-04-07	384	19			
2020-04-08	414	23			
2020-04-09	443	24			
2020-04-10	443	24			
2020-04-11	484	27			
2020-04-12	497	27			
2020-04-13	497	27			
2020-04-14	528	30			
2020-04-15	542	32			
2020-04-16	546	32			
2020-04-17	557	35			
2020-04-18	565	36			
2020-04-19	576	36			
2020-04-20	581	38			
2020-04-21	600	38			
2020-04-22	609	39			
2020-04-23	616	41			
2020-04-24	629	41			
2020-04-25	629	41			
2020-04-26	632	42			
2020-04-27	635	42			
2020-04-28	638	42			
2020-04-29	641	43			
2020-04-30	645	43			
2020-05-01	649	44			
2020-05-02	652	44			
2020-05-03	662	45			
2020-05-04	672	46			
2020-05-05	688	48			
2020-05-06	729	48			
2020-05-07	736	48			
2020-05-08	744	48			
2020-05-09	748	48			
2020-05-10	751	49			
2020-05-11	760	50			
2020-05-12	766	51			
2020-05-13	773	51			
2020-05-14	773	51			
2020-05-15	780	51			
2020-05-16	782	51			
2020-05-17	796	51			
2020-05-18	796	51			
2020-05-19	796	51			
2020-05-20	809	52			
2020-05-21	812	52			
2020-05-22	814	52			
2020-05-23	814	52			
2020-05-24	814	52			
2020-05-25	832	52			
2020-05-26	832	52			
2020-05-27	845	53			
2020-05-28	847	53			
2020-05-29	847	53			
2020-05-30	847	53			
2020-05-31	847	53			
2020-06-01	847	53			
2020-06-02	881	53			
2020-06-03	884	53			
2020-06-04	885	53			
2020-06-05	888	53			
2020-06-06	888	53			
2020-06-07	889	53			
2020-06-08	890	53			
2020-06-09	891	53			
2020-06-10	891	53			
2020-06-11	892	53			
2020-06-12	892	53			
2020-06-13	892	53			
2020-06-14	894	53			
2020-06-15	894	53			
2020-06-16	895	53			
2020-06-17	899	53			
2020-06-18	899	53			
2020-06-19	900	53			
2020-06-20	901	53			
2020-06-21	903	53			
2020-06-22	903	53			
2020-06-23	907	53			
2020-06-24	919	53			
2020-06-25	934	53			
2020-06-26	941	53			
2020-06-27	941	53			
2020-06-28	959	53			
2020-06-29	959	53			
2020-06-30	962	53			
2020-07-01	962	53			
2020-07-02	967	53			
2020-07-03	980	53			
2020-07-04	987	53			
2020-07-05	987	53			
2020-07-06	1000	53			
2020-07-07	1003	53			
2020-07-08	1003	53			
2020-07-09	1005	53			
2020-07-10	1020	53			
2020-07-11	1033	53			
2020-07-12	1036	53			
2020-07-13	1036	53			
2020-07-14	1037	53			
2020-07-15	1038	53			
2020-07-16	1038	53			
2020-07-17	1045	53			
2020-07-18	1047	53			
2020-07-19	1052	53			
2020-07-20	1065	53			
2020-07-21	1065	53			
2020-07-22	1066	53			
2020-07-23	1070	53			
2020-07-24	1075	53			
2020-07-25	1086	53			
2020-07-26	1086	53			
2020-07-27	1100	53			
2020-07-28	1105	53			
2020-07-29	1105	53			
2020-07-30	1106	53			
2020-07-31	1106	53			
2020-08-01	1143	53			
2020-08-02	1143	53			
2020-08-03	1150	53			
2020-08-04	1153	54			
2020-08-05	1153	54			
2020-08-06	1158	54			
2020-08-07	1158	54			
2020-08-08	1175	54			
2020-08-09	1175	54			
2020-08-10	1204	54			
2020-08-11	1211	54			
2020-08-12	1213	54			
2020-08-13	1228	54			
2020-08-14	1238	54			
2020-08-15	1240	54			
2020-08-16	1267	55			
2020-08-17	1280	55			
2020-08-18	1280	55			
2020-08-19	1285	55			
2020-08-20	1297	55			
2020-08-21	1297	55			
2020-08-22	1297	55			
2020-08-23	1320	55			
2020-08-24	1338	55			
2020-08-25	1338	55			
2020-08-26	1352	55			
2020-08-27	1352	55			
2020-08-28	1352	55			
2020-08-29	1352	55			
2020-08-30	1357	55			
2020-08-31	1368	55			
2020-09-01	1370	55			
2020-09-02	1370	55			
2020-09-03	1375	55			
2020-09-04	1408	55			
2020-09-05	1408	55			
2020-09-06	1452	55			
2020-09-07	1463	56			
2020-09-08	1466	56			
2020-09-09	1476	56			
2020-09-10	1486	56			
2020-09-11	1499	56			
2020-09-12	1514	56			
2020-09-13	1707	56			
2020-09-14	1717	56			
2020-09-15	1733	56			
2020-09-16	1748	56			
2020-09-17	1767	56			
2020-09-18	1797	56			
2020-09-19	1816	56			
2020-09-20	1846	56			
2020-09-21	1896	56			
2020-09-22	1907	56			
2020-09-23	1929	56			
2020-09-24	1950	56			
2020-09-25	1962	56			
2020-09-26	1973	56			
2020-09-27	2008	56			
2020-09-28	2028	57			
2020-09-29	2032	58			
2020-09-30	2056	58			
2020-10-01	2088	58			
2020-10-02	2123	59			
2020-10-03	2154	59			
2020-10-04	2167	59			
2020-10-05	2184	59			
2020-10-06	2197	59			
2020-10-07	2222	59			
2020-10-08	2241	60			
2020-10-09	2254	60			
2020-10-10	2271	61			
2020-10-11	2271	61			
2020-10-12	2294	63			
2020-10-13	2305	63			
2020-10-14	2305	63			
2020-10-15	2335	65			
2020-10-16	2343	65			
2020-10-17	2343	65			
2020-10-18	2381	65			
2020-10-19	2387	65			
2020-10-20	2406	65			
2020-10-21	2406	65			
2020-10-22	2414	65			
2020-10-23	2433	65			
2020-10-24	2444	65			
2020-10-25	2451	65			
2020-10-26	2459	67			
2020-10-27	2466	67			
2020-10-28	2466	67			
2020-10-29	2471	67			
2020-10-30	2477	67			
2020-10-31	2500	67			
2020-11-01	2500	67			
2020-11-02	2517	67			
2020-11-03	2530	67			
2020-11-04	2539	67			
2020-11-05	2550	67			
2020-11-06	2562	67			
2020-11-07	2565	67			
2020-11-08	2569	67			
2020-11-09	2581	67			
2020-11-10	2582	67			
2020-11-11	2586	67			
2020-11-12	2586	67			
2020-11-13	2609	68			
2020-11-14	2635	68			
2020-11-15	2641	68			
2020-11-16	2652	68			
2020-11-17	2652	68			
2020-11-18	2670	68			
2020-11-19	2686	68			
2020-11-20	2686	68			
2020-11-21	2703	68			
2020-11-22	2735	68			
2020-11-23	2754	68			
2020-11-24	2757	68			
