# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	3	0			
2020-03-12	3	0			
2020-03-13	4	0			
2020-03-14	6	0			
2020-03-15	9	0			
2020-03-16	12	0			
2020-03-17	19	0			
2020-03-18	27	0			
2020-03-19	36	0			
2020-03-20	47	0			
2020-03-21	69	0			
2020-03-22	111	0			
2020-03-23	128	0			
2020-03-24	166	1			
2020-03-25	208	2			
2020-03-26	263	3			
2020-03-27	292	4			
2020-03-28	339	4			
2020-03-29	378	4			
2020-03-30	424	4			
2020-03-31	468	4			
2020-04-01	512	6			
2020-04-02	579	6			
2020-04-03	631	6			
2020-04-04	683	7			
2020-04-05	716	8			
2020-04-06	750	10			
2020-04-07	783	11			
2020-04-08	821	11			
2020-04-09	858	11			
2020-04-10	896	12			
2020-04-11	926	13			
2020-04-12	952	14			
2020-04-13	970	15			
2020-04-14	977	16			
2020-04-15	995	20			
2020-04-16	1022	20			
2020-04-17	1050	21			
2020-04-18	1091	22			
2020-04-19	1153	23			
2020-04-20	1173	26			
2020-04-21	1226	26			
2020-04-22	1250	27			
2020-04-23	1272	27			
2020-04-24	1291	28			
2020-04-25	1301	29			
2020-04-26	1316	31			
2020-04-27	1328	32			
2020-04-28	1337	32			
2020-04-29	1364	32			
2020-04-30	1375	32			
2020-05-01	1389	32			
2020-05-02	1394	33			
2020-05-03	1399	33			
2020-05-04	1407	33			
2020-05-05	1410	33			
2020-05-06	1416	34			
2020-05-07	1421	35			
2020-05-08	1430	35			
2020-05-09	1459	35			
2020-05-10	1471	36			
2020-05-11	1479	36			
2020-05-12	1488	39			
2020-05-13	1502	39			
2020-05-14	1511	39			
2020-05-15	1521	41			
2020-05-16	1536	42			
2020-05-17	1545	43			
2020-05-18	1551	45			
2020-05-19	1559	45			
2020-05-20	1580	46			
2020-05-21	1592	46			
2020-05-22	1598	46			
2020-05-23	1612	47			
2020-05-24	1618	48			
2020-05-25	1628	49			
2020-05-26	1632	51			
2020-05-27	1640	51			
