# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	3	0			
2020-03-01	4	0			
2020-03-02	4	0			
2020-03-03	6	0			
2020-03-04	10	0			
2020-03-05	10	0			
2020-03-06	23	0			
2020-03-07	23	0			
2020-03-08	35	0			
2020-03-09	90	0			
2020-03-10	262	0			
2020-03-11	442	0			
2020-03-12	615	0			
2020-03-13	801	0			
2020-03-14	827	1			
2020-03-15	864	2			
2020-03-16	914	3			
2020-03-17	977	4			
2020-03-18	1057	4			
2020-03-19	1151	6			
2020-03-20	1255	9			
2020-03-21	1326	13			
2020-03-22	1395	13			
2020-03-23	1450	24			
2020-03-24	1591	32			
2020-03-25	1724	34			
2020-03-26	1877	41			
2020-03-27	2046	52			
2020-03-28	2201	65			
2020-03-29	2395	72			
2020-03-30	2577	77			
2020-03-31	2860	90			
2020-04-01	3107	104			
2020-04-02	3386	123			
2020-04-03	3757	139			
2020-04-04	4077	161			
2020-04-05	4369	179			
2020-04-06	4681	187			
2020-04-07	5071	203			
2020-04-08	5402	218			
2020-04-09	5635	237			
2020-04-10	5819	247			
2020-04-11	5996	260			
2020-04-12	6174	273			
2020-04-13	6318	285			
2020-04-14	6511	299			
2020-04-15	6681	309			
2020-04-16	6879	321			
2020-04-17	7073	336			
2020-04-18	7242	346			
2020-04-19	7384	355			
2020-04-20	7515	364			
2020-04-21	7695	370			
2020-04-22	7912	384			
2020-04-23	8073	394			
2020-04-24	8210	403			
2020-04-25	8445	418			
2020-04-26	8575	422			
2020-04-27	8698	427			
2020-04-28	8851	434			
2020-04-29	9008	443			
2020-04-30	9158	452			
2020-05-01	9311	460			
2020-05-02	9407	475			
2020-05-03	9523	484			
2020-05-04	9670	493			
2020-05-05	9821	503			
2020-05-06	9938	506			
2020-05-07	10083	514			
2020-05-08	10218	522			
2020-05-09	10319	526			
2020-05-10	10429	529			
2020-05-11	10513	533			
2020-05-12	10591	527			
2020-05-13	10667	533			
2020-05-14	10713	537			
2020-05-15	10791	537			
2020-05-16	10858	543			
2020-05-17	10927	547			
2020-05-18	10968	548			
2020-05-19	11044	551			
2020-05-20	11117	554			
2020-05-21	11182	561			
2020-05-22	11230	561			
2020-05-23	11289	561			
2020-05-24	11360	562			
2020-05-25	11387	563			
2020-05-26	11428	563			
2020-05-27	11480	565			
2020-05-28	11512	568			
2020-05-29	11593	568			
2020-05-30	11633	571			
2020-05-31	11669	574			
2020-06-01	11699	576			
2020-06-02	11734	580			
2020-06-03	11771	580			
2020-06-04	11811	582			
2020-06-05	11875	586			
2020-06-06	11924	587			
2020-06-07	11948	589			
2020-06-08	11962	593			
2020-06-09	12001	593			
2020-06-10	12016	593			
2020-06-11	12035	593			
2020-06-12	12099	594			
2020-06-13	12139	597			
2020-06-14	12193	597			
2020-06-15	12217	598			
2020-06-16	12250	598			
2020-06-17	12294	598			
2020-06-18	12344	600			
2020-06-19	12391	600			
2020-06-20	12391	600			
2020-06-21	12391	600			
2020-06-22	12527	602			
2020-06-23	12561	603			
2020-06-24	12615	603			
2020-06-25	12636	603			
2020-06-26	12675	604			
2020-06-27	12675	604			
2020-06-28	12675	604			
2020-06-29	12751	605			
2020-06-30	12768	605			
2020-07-01	12794	606			
2020-07-02	12815	606			
2020-07-03	12832	606			
2020-07-04	12832	606			
2020-07-05	12832	606			
2020-07-06	12878	607			
2020-07-07	12888	609			
2020-07-08	12900	609			
2020-07-09	12916	609			
2020-07-10	12946	609			
2020-07-11	12946	609			
2020-07-12	12946	609			
2020-07-13	13037	610			
2020-07-14	13061	610			
2020-07-15	13092	610			
2020-07-16	13124	610			
2020-07-17	13173	611			
2020-07-18	13173	611			
2020-07-19	13173	611			
2020-07-20	13262	611			
2020-07-21	13302	611			
2020-07-22	13350	611			
2020-07-23	13390	612			
2020-07-24	13438	613			
2020-07-25	13438	613			
2020-07-26	13438	613			
2020-07-27	13547	613			
2020-07-28	13577	613			
2020-07-29	13634	614			
2020-07-30	13725	615			
2020-07-31	13789	615			
2020-08-01	13789	615			
2020-08-02	13789	615			
2020-08-03	13996	616			
2020-08-04	14073	616			
2020-08-05	14185	616			
2020-08-06	14306	617			
2020-08-07	14442	617			
2020-08-08	14442	617			
2020-08-09	14442	617			
2020-08-10	14815	620			
2020-08-11	14959	621			
2020-08-12	15070	621			
2020-08-13	15214	621			
2020-08-14	15379	621			
2020-08-15	15483	621			
2020-08-16	15617	621			
2020-08-17	15740	621			
2020-08-18	15855	621			
2020-08-19	15940	621			
2020-08-20	16056	621			
2020-08-21	16127	621			
2020-08-22	16239	622			
2020-08-23	16317	622			
2020-08-24	16397	623			
2020-08-25	16480	623			
2020-08-26	16537	623			
2020-08-27	16627	624			
2020-08-28	16700	624			
2020-08-29	16779	624			
2020-08-30	16891	624			
2020-08-31	16985	624			
2020-09-01	17084	625			
2020-09-02	17195	626			
2020-09-03	17374	626			
2020-09-04	17547	627			
2020-09-05	17736	627			
2020-09-06	17883	627			
2020-09-07	18113	628			
2020-09-08	18356	628			
2020-09-09	18607	628			
2020-09-10	18924	629			
2020-09-11	19216	629			
2020-09-12	19557	630			
2020-09-13	19890	631			
2020-09-14	20237	633			
2020-09-15	20571	633			
2020-09-16	20571	633			
2020-09-17	21393	635			
2020-09-18	21847	635			
2020-09-19	22436	635			
2020-09-20	22905	638			
2020-09-21	23323	640			
2020-09-22	23799	641			
2020-09-23	24357	643			
2020-09-24	24916	645			
2020-09-25	25594	647			
2020-09-26	26213	648			
2020-09-27	26637	649			
2020-09-28	27072	649			
2020-09-29	27464	650			
2020-09-30	27998	650			
2020-10-01	28396	651			
2020-10-02	28932	652			
2020-10-03	29302	654			
2020-10-04	29680	658			
2020-10-05	30057	659			
2020-10-06	30379	663			
2020-10-07	30710	663			
2020-10-08	31156	665			
2020-10-09	31638	665			
2020-10-10	32082	667			
2020-10-11	32422	669			
2020-10-12	32811	671			
2020-10-13	33101	674			
2020-10-14	33593	675			
2020-10-15	34023	677			
2020-10-16	34441	677			
2020-10-17	34941	679			
2020-10-18	35392	680			
