# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-28	2	0			
2020-03-29	2	0			
2020-03-30	2	0			
2020-03-31	3	0			
2020-04-01	3	0			
2020-04-02	3	0			
2020-04-03	3	0			
2020-04-04	3	0			
2020-04-05	3	0			
2020-04-06	3	0			
2020-04-07	3	0			
2020-04-08	3	0			
2020-04-09	3	0			
2020-04-10	3	0			
2020-04-11	3	0			
2020-04-12	3	0			
2020-04-13	3	0			
2020-04-14	3	0			
2020-04-15	3	0			
2020-04-16	3	0			
2020-04-17	4	0			
2020-04-18	4	0			
2020-04-19	4	1			
2020-04-20	5	1			
2020-04-21	5	1			
2020-04-22	5	1			
2020-04-23	5	1			
2020-04-24	5	1			
2020-04-25	6	1			
2020-04-26	6	1			
2020-04-27	6	1			
2020-04-28	6	1			
2020-04-29	6	1			
2020-04-30	6	1			
2020-05-01	6	1			
2020-05-02	6	1			
2020-05-03	6	1			
2020-05-04	6	1			
2020-05-05	6	1			
2020-05-06	7	1			
2020-05-07	7	1			
2020-05-08	7	1			
2020-05-09	7	1			
2020-05-10	7	1			
2020-05-11	7	1			
2020-05-12	7	1			
2020-05-13	7	1			
2020-05-14	7	1			
2020-05-15	8	1			
2020-05-16	8	1			
2020-05-17	8	1			
2020-05-18	8	1			
2020-05-19	8	1			
2020-05-20	8	1			
2020-05-21	8	1			
2020-05-22	8	1			
2020-05-23	8	1			
2020-05-24	8	1			
2020-05-25	8	1			
2020-05-26	8	1			
2020-05-27	8	1			
2020-05-28	8	1			
2020-05-29	8	1			
2020-05-30	8	1			
2020-05-31	8	1			
2020-06-01	8	1			
2020-06-02	8	1			
2020-06-03	8	1			
2020-06-04	8	1			
2020-06-05	8	1			
2020-06-06	8	1			
2020-06-07	8	1			
2020-06-08	8	1			
2020-06-09	8	1			
2020-06-10	8	1			
2020-06-11	8	1			
2020-06-12	8	1			
2020-06-13	8	1			
2020-06-14	8	1			
2020-06-15	8	1			
2020-06-16	8	1			
2020-06-17	8	1			
2020-06-18	8	1			
2020-06-19	8	1			
2020-06-20	8	1			
2020-06-21	8	1			
2020-06-22	8	1			
2020-06-23	8	1			
2020-06-24	8	1			
2020-06-25	8	1			
2020-06-26	8	1			
2020-06-27	8	1			
2020-06-28	8	1			
2020-06-29	8	1			
2020-06-30	8	1			
2020-07-01	8	1			
2020-07-02	8	1			
2020-07-03	8	1			
2020-07-04	8	1			
2020-07-05	8	1			
2020-07-06	8	1			
2020-07-07	8	1			
2020-07-08	8	1			
2020-07-09	8	1			
2020-07-10	8	1			
2020-07-11	8	1			
2020-07-12	8	1			
2020-07-13	8	1			
2020-07-14	8	1			
2020-07-15	8	1			
2020-07-16	8	1			
2020-07-17	8	1			
2020-07-18	8	1			
2020-07-19	8	1			
2020-07-20	8	1			
2020-07-21	8	1			
2020-07-22	8	1			
2020-07-23	8	1			
2020-07-24	8	1			
2020-07-25	8	1			
2020-07-26	8	1			
2020-07-27	8	1			
2020-07-28	8	1			
2020-07-29	8	1			
2020-07-30	8	1			
2020-07-31	8	1			
2020-08-01	8	1			
2020-08-02	8	1			
2020-08-03	8	1			
2020-08-04	8	1			
2020-08-05	9	1			
2020-08-06	9	1			
2020-08-07	9	1			
2020-08-08	9	1			
2020-08-09	9	1			
2020-08-10	9	1			
2020-08-11	9	1			
2020-08-12	9	1			
2020-08-13	9	1			
2020-08-14	9	1			
2020-08-15	9	1			
2020-08-16	9	1			
2020-08-17	9	1			
2020-08-18	11	1			
2020-08-19	11	1			
2020-08-20	11	1			
2020-08-21	21	1			
2020-08-22	21	1			
2020-08-23	21	1			
2020-08-24	21	1			
2020-08-25	26	1			
2020-08-26	26	1			
2020-08-27	26	1			
2020-08-28	35	1			
2020-08-29	35	1			
2020-08-30	47	1			
2020-08-31	47	1			
2020-09-01	47	1			
2020-09-02	47	1			
2020-09-03	47	1			
2020-09-04	63	1			
2020-09-05	63	1			
2020-09-06	63	1			
2020-09-07	63	1			
2020-09-08	63	1			
2020-09-09	63	1			
2020-09-10	63	1			
2020-09-11	63	1			
2020-09-12	66	1			
2020-09-13	66	1			
2020-09-14	66	1			
2020-09-15	66	1			
2020-09-16	66	1			
2020-09-17	69	1			
2020-09-18	69	1			
2020-09-19	69	1			
2020-09-20	69	1			
2020-09-21	69	1			
2020-09-22	69	1			
2020-09-23	69	1			
2020-09-24	71	1			
2020-09-25	71	1			
2020-09-26	71	1			
2020-09-27	71	1			
2020-09-28	71	1			
2020-09-29	71	1			
2020-09-30	71	1			
2020-10-01	71	1			
2020-10-02	71	1			
2020-10-03	71	1			
2020-10-04	71	1			
2020-10-05	71	1			
2020-10-06	71	1			
2020-10-07	71	1			
2020-10-08	71	1			
2020-10-09	71	1			
2020-10-10	71	1			
2020-10-11	71	1			
2020-10-12	71	1			
2020-10-13	71	1			
2020-10-14	71	1			
2020-10-15	71	1			
2020-10-16	71	1			
2020-10-17	71	1			
2020-10-18	71	1			
2020-10-19	71	1			
2020-10-20	71	1			
2020-10-21	71	1			
2020-10-22	71	1			
2020-10-23	71	1			
2020-10-24	71	1			
2020-10-25	71	1			
2020-10-26	71	1			
2020-10-27	71	1			
2020-10-28	71	1			
2020-10-29	71	1			
2020-10-30	71	1			
2020-10-31	71	1			
2020-11-01	71	1			
2020-11-02	71	1			
2020-11-03	71	1			
2020-11-04	71	1			
2020-11-05	71	1			
2020-11-06	71	1			
2020-11-07	71	1			
2020-11-08	71	1			
2020-11-09	71	1			
2020-11-10	71	1			
2020-11-11	71	1			
2020-11-12	71	1			
2020-11-13	71	1			
2020-11-14	71	1			
2020-11-15	71	1			
2020-11-16	71	1			
2020-11-17	71	1			
2020-11-18	71	1			
2020-11-19	71	1			
2020-11-20	71	1			
2020-11-21	71	1			
2020-11-22	71	1			
2020-11-23	71	1			
2020-11-24	71	1			
2020-11-25	71	1			
2020-11-26	71	1			
2020-11-27	71	1			
2020-11-28	71	1			
2020-11-29	71	1			
2020-11-30	71	1			
2020-12-01	72	1			
2020-12-02	72	1			
2020-12-03	72	1			
2020-12-04	72	1			
2020-12-05	72	1			
2020-12-06	72	1			
2020-12-07	72	1			
2020-12-08	72	1			
2020-12-09	72	1			
2020-12-10	75	1			
2020-12-11	76	1			
2020-12-12	76	1			
2020-12-13	76	1			
2020-12-14	76	1			
2020-12-15	76	1			
2020-12-16	76	1			
2020-12-17	80	1			
2020-12-18	80	1			
2020-12-19	86	1			
2020-12-20	86	1			
2020-12-21	86	1			
2020-12-22	86	1			
2020-12-23	86	1			
2020-12-24	86	1			
2020-12-25	86	1			
2020-12-26	86	1			
2020-12-27	86	1			
2020-12-28	86	1			
2020-12-29	86	1			
2020-12-30	86	1			
2020-12-31	86	1			
2021-01-01	86	1			
2021-01-02	86	1			
2021-01-03	86	1			
2021-01-04	86	1			
2021-01-05	97	1			
2021-01-06	97	1			
2021-01-07	97	1			
2021-01-08	114	1			
2021-01-09	114	1			
2021-01-10	114	1			
2021-01-11	114	1			
2021-01-12	114	1			
2021-01-13	114	1			
2021-01-14	114	1			
2021-01-15	114	1			
2021-01-16	114	1			
2021-01-17	114	1			
2021-01-18	114	1			
2021-01-19	114	1			
2021-01-20	114	1			
2021-01-21	114	1			
2021-01-22	114	1			
2021-01-23	114	1			
2021-01-24	114	1			
2021-01-25	114	1			
2021-01-26	114	1			
2021-01-27	114	1			
2021-01-28	114	1			
2021-01-29	114	1			
2021-01-30	114	1			
2021-01-31	114	1			
2021-02-01	114	1			
2021-02-02	114	1			
2021-02-03	114	1			
2021-02-04	114	1			
2021-02-05	114	1			
2021-02-06	114	1			
2021-02-07	114	1			
2021-02-08	114	1			
2021-02-09	114	1			
2021-02-10	114	1			
2021-02-11	114	1			
2021-02-12	114	1			
2021-02-13	114	1			
2021-02-14	114	1			
2021-02-15	114	1			
2021-02-16	114	1			
2021-02-17	114	1			
2021-02-18	114	1			
