# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	1	0			
2020-03-27	1	0			
2020-03-28	1	0			
2020-03-29	1	0			
2020-03-30	1	0			
2020-03-31	1	0			
2020-04-01	1	0			
2020-04-02	2	0			
2020-04-03	3	0			
2020-04-04	7	0			
2020-04-05	7	0			
2020-04-06	7	0			
2020-04-07	8	0			
2020-04-08	8	0			
2020-04-09	12	0			
2020-04-10	12	0			
2020-04-11	12	0			
2020-04-12	12	0			
2020-04-13	12	0			
2020-04-14	12	0			
2020-04-15	12	0			
2020-04-16	12	0			
2020-04-17	12	0			
2020-04-18	12	0			
2020-04-19	12	0			
2020-04-20	12	0			
2020-04-21	12	0			
2020-04-22	13	0			
2020-04-23	13	0			
2020-04-24	14	0			
2020-04-25	14	0			
2020-04-26	14	0			
2020-04-27	15	0			
2020-04-28	15	0			
2020-04-29	16	0			
2020-04-30	16	0			
2020-05-01	16	0			
2020-05-02	16	0			
2020-05-03	16	0			
2020-05-04	17	0			
2020-05-05	17	0			
2020-05-06	17	0			
2020-05-07	17	0			
2020-05-08	17	0			
2020-05-09	17	0			
2020-05-10	17	0			
2020-05-11	17	0			
2020-05-12	17	0			
2020-05-13	17	0			
2020-05-14	17	0			
2020-05-15	17	0			
2020-05-16	17	0			
2020-05-17	17	0			
2020-05-18	17	0			
2020-05-19	17	0			
2020-05-20	18	0			
2020-05-21	18	0			
2020-05-22	18	0			
2020-05-23	18	0			
2020-05-24	18	0			
2020-05-25	18	0			
2020-05-26	18	0			
2020-05-27	18	0			
2020-05-28	25	0			
2020-05-29	26	0			
2020-05-30	26	0			
2020-05-31	26	0			
2020-06-01	26	0			
2020-06-02	26	0			
2020-06-03	26	0			
2020-06-04	26	0			
2020-06-05	26	0			
2020-06-06	26	0			
2020-06-07	27	0			
2020-06-08	27	0			
2020-06-09	27	0			
2020-06-10	27	0			
2020-06-11	27	0			
2020-06-12	27	0			
2020-06-13	27	0			
2020-06-14	27	0			
2020-06-15	27	0			
2020-06-16	29	0			
2020-06-17	29	0			
2020-06-18	29	0			
2020-06-19	29	0			
2020-06-20	29	0			
2020-06-21	29	0			
2020-06-22	29	0			
2020-06-23	29	0			
2020-06-24	29	0			
2020-06-25	29	0			
2020-06-26	29	0			
2020-06-27	29	0			
2020-06-28	29	0			
