# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	0	0			
2020-03-21	0	0			
2020-03-22	0	0			
2020-03-23	0	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	1	0			
2020-03-27	1	0			
2020-03-28	3	0			
2020-03-29	8	0			
2020-03-30	8	0			
2020-03-31	10	0			
2020-04-01	10	0			
2020-04-02	11	1			
2020-04-03	11	1			
2020-04-04	18	1			
2020-04-05	18	1			
2020-04-06	19	1			
2020-04-07	20	1			
2020-04-08	21	1			
2020-04-09	24	1			
2020-04-10	24	1			
2020-04-11	24	1			
2020-04-12	25	1			
2020-04-13	26	1			
2020-04-14	35	1			
2020-04-15	48	1			
2020-04-16	49	1			
2020-04-17	49	1			
2020-04-18	49	1			
2020-04-19	51	1			
2020-04-20	51	1			
2020-04-21	51	1			
2020-04-22	59	1			
2020-04-23	60	2			
2020-04-24	61	2			
2020-04-25	61	2			
2020-04-26	61	2			
2020-04-27	61	2			
2020-04-28	61	2			
2020-04-29	61	2			
2020-04-30	61	3			
2020-05-01	63	3			
2020-05-02	63	3			
2020-05-03	63	3			
2020-05-04	63	3			
2020-05-05	63	3			
2020-05-06	64	3			
2020-05-07	64	3			
2020-05-08	64	3			
2020-05-09	64	3			
2020-05-10	64	3			
2020-05-11	64	3			
2020-05-12	64	3			
2020-05-13	64	3			
2020-05-14	64	3			
2020-05-15	64	3			
2020-05-16	65	3			
2020-05-17	65	3			
2020-05-18	65	3			
2020-05-19	68	3			
2020-05-20	69	3			
2020-05-21	71	3			
2020-05-22	72	3			
2020-05-23	75	3			
2020-05-24	75	3			
2020-05-25	75	3			
2020-05-26	77	3			
2020-05-27	99	4			
2020-05-28	105	5			
2020-05-29	118	5			
2020-05-30	130	5			
2020-05-31	156	5			
2020-06-01	168	5			
2020-06-02	182	5			
2020-06-03	196	5			
2020-06-04	209	5			
2020-06-05	239	5			
2020-06-06	256	5			
2020-06-07	256	5			
2020-06-08	332	5			
2020-06-09	359	5			
2020-06-10	378	5			
2020-06-11	393	5			
2020-06-12	409	6			
2020-06-13	418	8			
2020-06-14	454	10			
2020-06-15	467	10			
2020-06-16	484	10			
2020-06-17	500	10			
2020-06-18	510	10			
2020-06-19	520	10			
2020-06-20	544	10			
2020-06-21	571	10			
2020-06-22	595	10			
2020-06-23	639	17			
2020-06-24	670	18			
2020-06-25	698	18			
2020-06-26	713	18			
2020-06-27	727	18			
2020-06-28	762	21			
2020-06-29	802	23			
2020-06-30	824	24			
2020-07-01	874	25			
2020-07-02	891	26			
2020-07-03	918	27			
2020-07-04	989	27			
2020-07-05	1046	32			
2020-07-06	1117	34			
2020-07-07	1182	35			
2020-07-08	1268	36			
2020-07-09	1342	38			
2020-07-10	1342	38			
2020-07-11	1389	38			
2020-07-12	1433	39			
2020-07-13	1512	40			
2020-07-14	1563	42			
2020-07-15	1589	43			
2020-07-16	1652	46			
2020-07-17	1704	47			
2020-07-18	1791	48			
2020-07-19	1866	48			
2020-07-20	1980	49			
2020-07-21	2088	50			
2020-07-22	2176	53			
2020-07-23	2314	56			
2020-07-24	2424	57			
2020-07-25	2547	58			
2020-07-26	2669	60			
2020-07-27	2827	64			
2020-07-28	3017	67			
2020-07-29	3222	76			
2020-07-30	3438	73			
2020-07-31	3621	74			
2020-08-01	3691	80			
