# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	1	0			
2020-02-26	3	0			
2020-02-27	3	0			
2020-02-28	5	0			
2020-02-29	6	0			
2020-03-01	7	0			
2020-03-02	7	0			
2020-03-03	9	0			
2020-03-04	10	0			
2020-03-05	10	0			
2020-03-06	11	0			
2020-03-07	12	0			
2020-03-08	12	0			
2020-03-09	12	0			
2020-03-10	14	0			
2020-03-11	19	0			
2020-03-12	19	0			
2020-03-13	32	0			
2020-03-14	38	0			
2020-03-15	49	0			
2020-03-16	57	0			
2020-03-17	65	0			
2020-03-18	81	0			
2020-03-19	105	1			
2020-03-20	128	1			
2020-03-21	206	1			
2020-03-22	254	1			
2020-03-23	315	1			
2020-03-24	382	1			
2020-03-25	442	1			
2020-03-26	495	3			
2020-03-27	586	3			
2020-03-28	657	5			
2020-03-29	713	6			
2020-03-30	790	6			
2020-03-31	867	6			
2020-04-01	963	6			
2020-04-02	1011	7			
2020-04-03	1079	8			
2020-04-04	1126	12			
2020-04-05	1182	15			
2020-04-06	1222	16			
2020-04-07	1282	18			
2020-04-08	1343	19			
2020-04-09	1407	20			
2020-04-10	1495	21			
2020-04-11	1534	21			
2020-04-12	1600	23			
2020-04-13	1650	25			
2020-04-14	1704	31			
2020-04-15	1741	33			
2020-04-16	1791	35			
2020-04-17	1814	36			
2020-04-18	1832	39			
2020-04-19	1871	47			
2020-04-20	1881	47			
2020-04-21	1908	48			
2020-04-22	1950	48			
2020-04-23	1981	50			
2020-04-24	2009	51			
2020-04-25	2016	54			
2020-04-26	2030	55			
2020-04-27	2039	59			
2020-04-28	2047	63			
2020-04-29	2062	67			
2020-04-30	2076	69			
2020-05-01	2085	75			
2020-05-02	2088	77			
2020-05-03	2096	79			
2020-05-04	2101	80			
2020-05-05	2112	83			
2020-05-06	2119	85			
2020-05-07	2125	86			
2020-05-08	2161	86			
2020-05-09	2176	87			
2020-05-10	2187	90			
2020-05-11	2196	91			
2020-05-12	2207	91			
2020-05-13	2213	94			
2020-05-14	2221	94			
2020-05-15	2222	95			
2020-05-16	2224	95			
2020-05-17	2226	95			
2020-05-18	2228	95			
2020-05-19	2232	96			
2020-05-20	2234	96			
2020-05-21	2237	97			
2020-05-22	2243	99			
2020-05-23	2243	99			
2020-05-24	2244	99			
2020-05-25	2244	100			
2020-05-26	2244	101			
2020-05-27	2244	101			
2020-05-28	2245	102			
2020-05-29	2245	103			
2020-05-30	2246	103			
2020-05-31	2246	103			
2020-06-01	2246	103			
2020-06-02	2246	103			
2020-06-03	2246	103			
2020-06-04	2247	103			
2020-06-05	2247	103			
2020-06-06	2247	104			
2020-06-07	2247	104			
2020-06-08	2247	104			
2020-06-09	2247	106			
2020-06-10	2249	106			
2020-06-11	2249	106			
2020-06-12	2249	107			
2020-06-13	2251	107			
2020-06-14	2252	107			
2020-06-15	2254	107			
2020-06-16	2255	107			
2020-06-17	2258	107			
2020-06-18	2269	107			
2020-06-19	2280	107			
2020-06-20	2299	107			
2020-06-21	2317	107			
2020-06-22	2336	107			
2020-06-23	2366	107			
2020-06-24	2388	107			
2020-06-25	2483	107			
2020-06-26	2539	107			
2020-06-27	2624	107			
2020-06-28	2691	107			
2020-06-29	2725	107			
2020-06-30	2777	107			
2020-07-01	2831	108			
2020-07-02	2912	110			
2020-07-03	3008	112			
2020-07-04	3094	113			
2020-07-05	3151	113			
2020-07-06	3220	113			
2020-07-07	3272	113			
2020-07-08	3325	114			
2020-07-09	3416	115			
2020-07-10	3532	117			
2020-07-11	3672	118			
2020-07-12	3722	119			
2020-07-13	3775	119			
2020-07-14	3827	120			
2020-07-15	3953	120			
2020-07-16	4039	120			
2020-07-17	4137	120			
2020-07-18	4253	120			
2020-07-19	4345	120			
2020-07-20	4370	122			
2020-07-21	4422	123			
2020-07-22	4530	125			
2020-07-23	4634	128			
2020-07-24	4715	128			
2020-07-25	4792	133			
2020-07-26	4857	136			
2020-07-27	4881	139			
2020-07-28	4923	140			
2020-07-29	4993	141			
2020-07-30	5071	144			
2020-07-31	5139	145			
2020-08-01	5224	145			
2020-08-02	5260	149			
2020-08-03	5294	153			
2020-08-04	5318	154			
2020-08-05	5376	154			
2020-08-06	5404	155			
2020-08-07	5466	155			
2020-08-08	5543	157			
2020-08-09	5604	157			
2020-08-10	5649	158			
2020-08-11	5740	160			
2020-08-12	5870	160			
2020-08-13	6050	161			
2020-08-14	6258	163			
2020-08-15	6420	165			
2020-08-16	6571	166			
2020-08-17	6656	166			
2020-08-18	6855	166			
2020-08-19	7074	168			
2020-08-20	7329	168			
2020-08-21	7594	169			
2020-08-22	7900	170			
2020-08-23	8175	171			
2020-08-24	8311	173			
2020-08-25	8530	175			
2020-08-26	8888	175			
2020-08-27	9192	177			
2020-08-28	9549	180			
2020-08-29	9861	183			
2020-08-30	10123	184			
2020-08-31	10269	186			
2020-09-01	10414	187			
2020-09-02	10725	191			
2020-09-03	11094	194			
2020-09-04	11428	195			
2020-09-05	11739	197			
2020-09-06	11964	198			
2020-09-07	12081	201			
2020-09-08	12285	203			
2020-09-09	12626	206			
2020-09-10	12917	208			
2020-09-11	13107	211			
2020-09-12	13368	218			
2020-09-13	13533	224			
2020-09-14	13598	227			
2020-09-15	13749	230			
2020-09-16	14029	236			
2020-09-17	14279	238			
2020-09-18	14513	244			
2020-09-19	14725	244			
2020-09-20	14922	248			
2020-09-21	14992	253			
2020-09-22	15136	255			
2020-09-23	15340	257			
2020-09-24	15572	261			
2020-09-25	15795	266			
2020-09-26	16007	269			
2020-09-27	16197	272			
2020-09-28	16245	272			
2020-09-29	16380	275			
2020-09-30	16593	280			
2020-10-01	16827	284			
2020-10-02	17160	291			
2020-10-03	17401	293			
2020-10-04	17659	298			
2020-10-05	17797	300			
2020-10-06	18084	304			
2020-10-07	18447	309			
2020-10-08	18989	310			
2020-10-09	19446	313			
2020-10-10	19932	317			
2020-10-11	20440	324			
2020-10-12	20621	327			
2020-10-13	20993	330			
2020-10-14	21741	334			
2020-10-15	22534	344			
2020-10-16	23665	345			
2020-10-17	24761	355			
2020-10-18	25580	363			
2020-10-19	25973	374			
2020-10-20	26863	382			
2020-10-21	28287	393			
2020-10-22	29850	406			
2020-10-23	31717	413			
2020-10-24	33959	429			
2020-10-25	36380	437			
2020-10-26	37208	452			
2020-10-27	38621	470			
2020-10-28	40999	493			
2020-10-29	43775	511			
2020-10-30	46547	531			
2020-10-31	49316	546			
2020-11-01	51495	562			
2020-11-02	52660	594			
2020-11-03	54087	628			
2020-11-04	56567	654			
2020-11-05	59415	683			
2020-11-06	62305	717			
2020-11-07	64704	752			
2020-11-08	67247	794			
2020-11-09	68776	832			
2020-11-10	70243	865			
2020-11-11	72840	893			
2020-11-12	75922	925			
2020-11-13	78978	968			
2020-11-14	81844	1006			
2020-11-15	84206	1049			
2020-11-16	85519	1082			
2020-11-17	87464	1113			
2020-11-18	90715	1151			
2020-11-19	93879	1200			
2020-11-20	96837	1257			
2020-11-21	100410	1304			
2020-11-22	103718	1353			
2020-11-23	105691	1398			
2020-11-24	108014	1445			
2020-11-25	111617	1501			
2020-11-26	115626	1552			
2020-11-27	119706	1600			
2020-11-28	123693	1655			
2020-11-29	126612	1712			
2020-11-30	128442	1786			
2020-12-01	131342	1861			
2020-12-02	134881	1916			
2020-12-03	139415	1964			
2020-12-04	143370	2032			
2020-12-05	147454	2102			
2020-12-06	150353	2174			
2020-12-07	152239	2233			
2020-12-08	154852	2298			
2020-12-09	159372	2367			
2020-12-10	163992	2420			
2020-12-11	168388	2484			
2020-12-12	172523	2562			
2020-12-13	175886	2640			
2020-12-14	177358	2705			
2020-12-15	179718	2778			
2020-12-16	183045	2870			
2020-12-17	186963	2955			
2020-12-18	190235	3023			
2020-12-19	192987	3101			
2020-12-20	194962	3177			
2020-12-21	195728	3257			
2020-12-22	197323	3328			
2020-12-23	200086	3394			
2020-12-24	202319	3464			
2020-12-25	203962	3548			
2020-12-26	204312	3613			
2020-12-27	204930	3671			
2020-12-28	205246	3739			
2020-12-29	206596	3795			
2020-12-30	208446	3860			
2020-12-31	210837	3920			
2021-01-01	212007	3961			
2021-01-02	212262	4016			
2021-01-03	212958	4072			
2021-01-04	213319	4126			
2021-01-05	214390	4179			
2021-01-06	216286	4223			
2021-01-07	216848	4266			
2021-01-08	217946	4304			
2021-01-09	219347	4342			
2021-01-10	219993	4368			
2021-01-11	220223	4403			
2021-01-12	220982	4446			
2021-01-13	222117	4472			
2021-01-14	223097	4517			
2021-01-15	223812	4550			
2021-01-16	224575	4588			
2021-01-17	224954	4616			
2021-01-18	225128	4655			
2021-01-19	225648	4684			
2021-01-20	226550	4711			
2021-01-21	227326	4738			
2021-01-22	227969	4770			
2021-01-23	228568	4799			
2021-01-24	228920	4827			
2021-01-25	229054	4859			
2021-01-26	229502	4882			
2021-01-27	230359	4913			
2021-01-28	230978	4943			
2021-01-29	231539	4972			
2021-01-30	232090	4998			
2021-01-31	232426	5027			
2021-02-01	232520	5054			
2021-02-02	232907	5071			
2021-02-03	233637	5088			
2021-02-04	234153	5106			
2021-02-05	234702	5122			
2021-02-06	235126	5144			
2021-02-07	235402	5169			
2021-02-08	235473	5198			
2021-02-09	235756	5224			
2021-02-10	236333	5238			
2021-02-11	236709	5263			
2021-02-12	237080	5282			
2021-02-13	237459	5299			
2021-02-14	237657	5318			
2021-02-15	237725	5339			
2021-02-16	237999	5357			
2021-02-17	238501	5375			
2021-02-18	238866	5399			
2021-02-19	239254	5407			
2021-02-20	239685	5420			
2021-02-21	239945	5429			
2021-02-22	240017	5449			
2021-02-23	240360	5462			
2021-02-24	241048	5477			
2021-02-25	241592	5489			
2021-02-26	242097	5503			
2021-02-27	242617	5511			
2021-02-28	242973	5526			
2021-03-01	243064	5537			
2021-03-02	243458	5548			
2021-03-03	244205	5555			
2021-03-04	244872	5564			
2021-03-05	245462	5570			
2021-03-06	246120	5585			
2021-03-07	246514	5590			
2021-03-08	246608	5609			
2021-03-09	247099	5621			
2021-03-10	248061	5625			
2021-03-11	248838	5635			
2021-03-12	249661	5647			
2021-03-13	250484	5670			
2021-03-14	251045	5677			
2021-03-15	251174	5685			
2021-03-16	251865	5697			
2021-03-17	253310	5709			
2021-03-18	254507	5726			
2021-03-19	255619	5743			
2021-03-20	256805	5753			
2021-03-21	257639	5773			
2021-03-22	257789	5786			
2021-03-23	258745	5808			
2021-03-24	260636	5828			
2021-03-25	262309	5838			
2021-03-26	264111	5854			
2021-03-27	265901	5872			
2021-03-28	267222	5893			
2021-03-29	267522	5911			
2021-03-30	269009	5928			
2021-03-31	271632	5947			
2021-04-01	274054	5967			
2021-04-02	276416	5996			
2021-04-03	278650	6025			
2021-04-04	280026	6058			
2021-04-05	280164	6083			
2021-04-06	280899	6113			
2021-04-07	282548	6149			
2021-04-08	285765	6185			
2021-04-09	288364	6235			
2021-04-10	290899	6269			
2021-04-11	292516	6308			
2021-04-12	292938	6333			
2021-04-13	294874	6358			
2021-04-14	297973	6399			
2021-04-15	300900	6442			
2021-04-16	303598	6486			
2021-04-17	306225	6523			
2021-04-18	307790	6562			
2021-04-19	308200	6601			
2021-04-20	310306	6643			
2021-04-21	313423	6692			
2021-04-22	316308	6738			
2021-04-23	318837	6784			
2021-04-24	321372	6815			
2021-04-25	322626	6854			
2021-04-26	323036	6905			
2021-04-27	324833	6957			
2021-04-28	327737	7001			
2021-04-29	330176	7040			
2021-04-30	332183	7081			
2021-05-01	334229	7130			
2021-05-02	335173	7182			
2021-05-03	335522	7218			
2021-05-04	336918	7264			
2021-05-05	339412	7315			
