# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-10-12	2	0			
2020-10-13	2	0			
2020-10-14	2	0			
2020-10-15	3	0			
2020-10-16	3	0			
2020-10-17	3	0			
2020-10-18	3	0			
2020-10-19	3	0			
2020-10-20	3	0			
2020-10-21	3	0			
2020-10-22	4	0			
2020-10-23	4	0			
2020-10-24	4	0			
2020-10-25	4	0			
2020-10-26	4	0			
2020-10-27	8	0			
2020-10-28	8	0			
2020-10-29	8	0			
2020-10-30	8	0			
2020-10-31	8	0			
2020-11-01	8	0			
2020-11-02	13	0			
2020-11-03	13	0			
2020-11-04	13	0			
2020-11-05	13	0			
2020-11-06	13	0			
2020-11-07	13	0			
2020-11-08	13	0			
2020-11-09	16	0			
2020-11-10	16	0			
2020-11-11	16	0			
2020-11-12	16	0			
2020-11-13	16	0			
2020-11-14	16	0			
2020-11-15	16	0			
2020-11-16	16	0			
2020-11-17	16	0			
2020-11-18	16	0			
2020-11-19	16	0			
2020-11-20	16	0			
2020-11-21	16	0			
2020-11-22	16	0			
2020-11-23	16	0			
2020-11-24	17	0			
2020-11-25	17	0			
2020-11-26	17	0			
2020-11-27	17	0			
2020-11-28	17	0			
2020-11-29	17	0			
2020-11-30	17	0			
2020-12-01	17	0			
2020-12-02	17	0			
2020-12-03	17	0			
2020-12-04	17	0			
2020-12-05	17	0			
2020-12-06	17	0			
2020-12-07	17	0			
2020-12-08	17	0			
2020-12-09	17	0			
2020-12-10	17	0			
2020-12-11	17	0			
2020-12-12	17	0			
2020-12-13	17	0			
2020-12-14	17	0			
2020-12-15	17	0			
2020-12-16	17	0			
2020-12-17	17	0			
2020-12-18	17	0			
2020-12-19	17	0			
2020-12-20	17	0			
2020-12-21	17	0			
2020-12-22	17	0			
2020-12-23	17	0			
2020-12-24	17	0			
2020-12-25	17	0			
2020-12-26	17	0			
2020-12-27	17	0			
2020-12-28	17	0			
2020-12-29	17	0			
2020-12-30	17	0			
2020-12-31	17	0			
2021-01-01	17	0			
2021-01-02	17	0			
2021-01-03	17	0			
2021-01-04	17	0			
2021-01-05	17	0			
2021-01-06	17	0			
2021-01-07	17	0			
2021-01-08	17	0			
2021-01-09	17	0			
2021-01-10	17	0			
2021-01-11	17	0			
2021-01-12	17	0			
2021-01-13	17	0			
2021-01-14	17	0			
2021-01-15	17	0			
2021-01-16	17	0			
2021-01-17	17	0			
2021-01-18	17	0			
2021-01-19	17	0			
2021-01-20	17	0			
2021-01-21	17	0			
2021-01-22	17	0			
2021-01-23	17	0			
2021-01-24	17	0			
2021-01-25	17	0			
2021-01-26	17	0			
2021-01-27	17	0			
