# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	6	0			
2020-03-09	7	0			
2020-03-10	11	0			
2020-03-11	11	0			
2020-03-12	15	0			
2020-03-13	28	0			
2020-03-14	38	0			
2020-03-15	43	0			
2020-03-16	86	0			
2020-03-17	117	0			
2020-03-18	145	0			
2020-03-19	234	0			
2020-03-20	234	3			
2020-03-21	318	5			
2020-03-22	363	5			
2020-03-23	395	5			
2020-03-24	416	7			
2020-03-25	480	9			
2020-03-26	580	9			
2020-03-27	635	11			
2020-03-28	671	16			
2020-03-29	852	18			
2020-03-30	950	24			
2020-03-31	1065	30			
2020-04-01	1323	38			
2020-04-02	1414	55			
2020-04-03	1595	61			
2020-04-04	1746	73			
2020-04-05	2281	83			
2020-04-06	2561	92			
2020-04-07	2954	107			
2020-04-08	4342	121			
2020-04-09	5256	138			
2020-04-10	5897	169			
2020-04-11	6848	181			
2020-04-12	7519	193			
2020-04-13	9784	216			
2020-04-14	10303	230			
2020-04-15	11475	254			
2020-04-16	12491	274			
2020-04-17	13489	300			
2020-04-18	14420	348			
2020-04-19	15628	400			
2020-04-20	16325	445			
2020-04-21	17837	484			
2020-04-22	19250	530			
2020-04-23	20914	572			
2020-04-24	21648	634			
2020-04-25	25331	700			
2020-04-26	27517	728			
2020-04-27	28699	782			
2020-04-28	31190	854			
2020-04-29	33931	943			
2020-04-30	36976	1051			
2020-05-01	40459	1124			
2020-05-02	42534	1200			
2020-05-03	45928	1286			
2020-05-04	47372	1344			
2020-05-05	51189	1444			
2020-05-06	54817	1533			
2020-05-07	58526	1627			
2020-05-08	61847	1714			
2020-05-09	65015	1814			
2020-05-10	67307	1889			
2020-05-11	68822	1961			
2020-05-12	72059	2057			
2020-05-13	76306	2169			
2020-05-14	80604	2267			
2020-05-15	84495	2392			
2020-05-16	88541	2523			
2020-05-17	92273	2648			
2020-05-18	94933	2789			
2020-05-19	99483	2914			
2020-05-20	104020	3024			
2020-05-21	108769	3148			
2020-05-22	111698	3244			
2020-05-23	115754	3373			
2020-05-24	119959	3456			
2020-05-25	123979	3629			
2020-05-26	129751	3788			
2020-05-27	135905	3983			
2020-05-28	141779	4099			
2020-05-29	148285	4230			
2020-05-30	155671	4371			
2020-05-31	164476	4506			
2020-06-01	170039	4634			
2020-06-02	178165	4767			
2020-06-03	178914	4894			
2020-06-04	183198	5031			
2020-06-05	187400	5162			
2020-06-06	191758	5301			
2020-06-07	196515	5465			
