# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	7	0			
2020-03-17	7	0			
2020-03-18	7	0			
2020-03-19	7	0			
2020-03-20	11	0			
2020-03-21	11	0			
2020-03-22	23	0			
2020-03-23	23	0			
2020-03-24	23	0			
2020-03-25	31	0			
2020-03-26	33	0			
2020-03-27	42	0			
2020-03-28	42	0			
2020-03-29	46	1			
2020-03-30	49	1			
2020-03-31	52	1			
2020-04-01	55	1			
2020-04-02	60	1			
2020-04-03	64	1			
2020-04-04	66	1			
2020-04-05	73	1			
2020-04-06	77	1			
2020-04-07	79	1			
2020-04-08	81	1			
2020-04-09	84	1			
2020-04-10	90	1			
2020-04-11	92	1			
2020-04-12	93	1			
2020-04-13	93	1			
2020-04-14	93	1			
2020-04-15	93	3			
2020-04-16	93	3			
2020-04-17	94	3			
2020-04-18	94	3			
2020-04-19	94	3			
2020-04-20	94	3			
2020-04-21	94	3			
2020-04-22	94	3			
2020-04-23	94	4			
2020-04-24	94	4			
2020-04-25	94	4			
2020-04-26	94	4			
2020-04-27	95	4			
2020-04-28	95	4			
2020-04-29	95	4			
2020-04-30	95	4			
2020-05-01	95	4			
2020-05-02	95	4			
2020-05-03	95	4			
2020-05-04	95	4			
2020-05-05	95	4			
2020-05-06	95	4			
2020-05-07	95	4			
2020-05-08	95	4			
2020-05-09	96	4			
2020-05-10	96	4			
2020-05-11	96	4			
2020-05-12	96	4			
2020-05-13	96	4			
2020-05-14	96	4			
2020-05-15	96	4			
2020-05-16	96	4			
2020-05-17	96	4			
2020-05-18	97	4			
2020-05-19	97	4			
2020-05-20	97	4			
2020-05-21	97	4			
2020-05-22	97	4			
2020-05-23	98	4			
2020-05-24	98	4			
2020-05-25	98	4			
2020-05-26	98	4			
2020-05-27	98	4			
2020-05-28	98	4			
2020-05-29	98	4			
2020-05-30	99	4			
2020-05-31	99	4			
