# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	7	0			
2020-03-27	7	0			
2020-03-28	7	0			
2020-03-29	9	0			
2020-03-30	9	0			
2020-03-31	9	0			
2020-04-01	9	0			
2020-04-02	10	0			
2020-04-03	12	0			
2020-04-04	12	0			
2020-04-05	12	0			
2020-04-06	12	0			
2020-04-07	12	0			
2020-04-08	12	0			
2020-04-09	12	0			
2020-04-10	14	0			
2020-04-11	14	0			
2020-04-12	14	0			
2020-04-13	14	0			
2020-04-14	14	0			
2020-04-15	14	0			
2020-04-16	14	0			
2020-04-17	14	0			
2020-04-18	14	0			
2020-04-19	14	0			
2020-04-20	14	0			
2020-04-21	14	0			
2020-04-22	15	0			
2020-04-23	15	0			
2020-04-24	15	0			
2020-04-25	18	0			
2020-04-26	18	0			
2020-04-27	18	0			
2020-04-28	19	0			
2020-04-29	20	0			
2020-04-30	20	0			
2020-05-01	20	0			
2020-05-02	21	0			
2020-05-03	21	0			
2020-05-04	21	0			
2020-05-05	21	0			
2020-05-06	21	0			
2020-05-07	21	0			
2020-05-08	21	0			
2020-05-09	21	0			
2020-05-10	21	0			
2020-05-11	21	0			
2020-05-12	21	0			
2020-05-13	21	0			
2020-05-14	21	0			
2020-05-15	22	0			
2020-05-16	22	0			
2020-05-17	22	0			
2020-05-18	22	0			
2020-05-19	22	0			
2020-05-20	22	0			
2020-05-21	22	0			
2020-05-22	22	0			
2020-05-23	22	0			
2020-05-24	22	0			
2020-05-25	23	0			
2020-05-26	23	0			
2020-05-27	23	0			
2020-05-28	23	0			
2020-05-29	23	0			
2020-05-30	23	0			
2020-05-31	23	0			
2020-06-01	23	0			
2020-06-02	23	0			
2020-06-03	23	0			
2020-06-04	23	0			
2020-06-05	23	0			
2020-06-06	23	0			
2020-06-07	23	0			
2020-06-08	23	0			
2020-06-09	23	0			
2020-06-10	23	0			
2020-06-11	23	0			
2020-06-12	23	0			
2020-06-13	23	0			
2020-06-14	23	0			
2020-06-15	23	0			
2020-06-16	23	0			
2020-06-17	23	0			
2020-06-18	23	0			
2020-06-19	23	0			
2020-06-20	23	0			
2020-06-21	23	0			
2020-06-22	23	0			
2020-06-23	23	0			
2020-06-24	23	0			
2020-06-25	23	0			
2020-06-26	23	0			
2020-06-27	23	0			
2020-06-28	23	0			
2020-06-29	23	0			
2020-06-30	23	0			
2020-07-01	23	0			
2020-07-02	23	0			
2020-07-03	23	0			
2020-07-04	23	0			
2020-07-05	23	0			
2020-07-06	23	0			
2020-07-07	23	0			
2020-07-08	23	0			
2020-07-09	23	0			
2020-07-10	23	0			
2020-07-11	23	0			
2020-07-12	23	0			
2020-07-13	23	0			
2020-07-14	23	0			
2020-07-15	23	0			
2020-07-16	23	0			
2020-07-17	23	0			
2020-07-18	23	0			
2020-07-19	23	0			
2020-07-20	23	0			
