# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-23	1	0			
2020-01-24	3	0			
2020-01-25	3	0			
2020-01-26	4	0			
2020-01-27	5	0			
2020-01-28	7	0			
2020-01-29	7	0			
2020-01-30	10	0			
2020-01-31	13	0			
2020-02-01	16	0			
2020-02-02	18	0			
2020-02-03	18	0			
2020-02-04	24	0			
2020-02-05	28	0			
2020-02-06	28	0			
2020-02-07	30	0			
2020-02-08	33	0			
2020-02-09	40	0			
2020-02-10	45	0			
2020-02-11	47	0			
2020-02-12	50	0			
2020-02-13	58	0			
2020-02-14	67	0			
2020-02-15	72	0			
2020-02-16	75	0			
2020-02-17	77	0			
2020-02-18	81	0			
2020-02-19	84	0			
2020-02-20	84	0			
2020-02-21	85	0			
2020-02-22	85	0			
2020-02-23	89	0			
2020-02-24	89	0			
2020-02-25	91	0			
2020-02-26	93	0			
2020-02-27	93	0			
2020-02-28	93	0			
2020-02-29	102	0			
2020-03-01	106	0			
2020-03-02	108	0			
2020-03-03	110	0			
2020-03-04	110	0			
2020-03-05	117	0			
2020-03-06	130	0			
2020-03-07	138	0			
2020-03-08	150	0			
2020-03-09	150	0			
2020-03-10	160	0			
2020-03-11	178	0			
2020-03-12	178	0			
2020-03-13	200	0			
2020-03-14	212	0			
2020-03-15	226	0			
2020-03-16	243	0			
2020-03-17	266	0			
2020-03-18	313	0			
2020-03-19	345	0			
2020-03-20	385	0			
2020-03-21	432	2			
2020-03-22	455	2			
2020-03-23	509	2			
2020-03-24	558	2			
2020-03-25	631	2			
2020-03-26	683	2			
2020-03-27	732	2			
2020-03-28	802	2			
2020-03-29	844	3			
2020-03-30	879	3			
2020-03-31	926	3			
2020-04-01	1000	3			
2020-04-02	1049	4			
2020-04-03	1114	5			
2020-04-04	1189	6			
2020-04-05	1309	6			
2020-04-06	1375	6			
2020-04-07	1481	6			
2020-04-08	1623	6			
2020-04-09	1910	6			
2020-04-10	2108	7			
2020-04-11	2299	8			
2020-04-12	2532	8			
2020-04-13	2918	9			
2020-04-14	3252	10			
2020-04-15	3699	10			
2020-04-16	4427	10			
2020-04-17	5050	11			
2020-04-18	5992	11			
2020-04-19	6588	11			
2020-04-20	8014	11			
2020-04-21	9125	11			
2020-04-22	10141	12			
2020-04-23	11178	12			
2020-04-24	12075	12			
2020-04-25	12693	12			
2020-04-26	13624	12			
2020-04-27	14423	14			
2020-04-28	14951	14			
2020-04-29	15641	14			
2020-04-30	16169	15			
2020-05-01	17101	16			
2020-05-02	17548	17			
2020-05-03	18205	18			
2020-05-04	18778	18			
2020-05-05	19410	18			
2020-05-06	20198	20			
2020-05-07	20939	20			
2020-05-08	21707	20			
2020-05-09	22460	20			
2020-05-10	23336	20			
2020-05-11	23822	21			
2020-05-12	24671	21			
2020-05-13	25346	21			
2020-05-14	26098	21			
2020-05-15	26891	21			
2020-05-16	27356	22			
2020-05-17	28038	22			
2020-05-18	28343	22			
2020-05-19	28794	22			
2020-05-20	29364	22			
2020-05-21	29812	23			
2020-05-22	30426	23			
2020-05-23	31068	23			
2020-05-24	31616	23			
2020-05-25	31960	23			
2020-05-26	32343	23			
2020-05-27	32876	23			
2020-05-28	33249	23			
2020-05-29	33860	23			
2020-05-30	34366	23			
2020-05-31	34884	23			
2020-06-01	35292	24			
2020-06-02	35836	24			
2020-06-03	36405	24			
2020-06-04	36922	24			
2020-06-05	37183	24			
2020-06-06	37527	25			
2020-06-07	37910	25			
2020-06-08	38296	25			
2020-06-09	38514	25			
2020-06-10	38965	25			
2020-06-11	39387	25			
2020-06-12	39850	25			
2020-06-13	40197	26			
2020-06-14	40604	26			
2020-06-15	40818	26			
2020-06-16	40969	26			
2020-06-17	41216	26			
2020-06-18	41473	26			
2020-06-19	41615	26			
2020-06-20	41833	26			
2020-06-21	42095	26			
2020-06-22	42313	26			
2020-06-23	42432	26			
2020-06-24	42623	26			
2020-06-25	42736	26			
2020-06-26	42955	26			
2020-06-27	43246	26			
2020-06-28	43459	26			
2020-06-29	43661	26			
2020-06-30	43907	26			
2020-07-01	44122	26			
2020-07-02	44310	26			
2020-07-03	44479	26			
2020-07-04	44664	26			
2020-07-05	44800	26			
2020-07-06	44983	26			
2020-07-07	45140	26			
2020-07-08	45298	26			
2020-07-09	45423	26			
2020-07-10	45614	26			
2020-07-11	45783	26			
2020-07-12	45961	26			
2020-07-13	46283	26			
2020-07-14	46630	27			
2020-07-15	46878	27			
2020-07-16	47126	27			
2020-07-17	47453	27			
2020-07-18	47655	27			
2020-07-19	47912	27			
2020-07-20	48035	27			
2020-07-21	48434	27			
2020-07-22	48744	27			
2020-07-23	49098	27			
2020-07-24	49375	27			
2020-07-25	49888	27			
2020-07-26	50369	27			
2020-07-27	50838	27			
2020-07-28	51197	27			
2020-07-29	51531	27			
2020-07-30	51809	27			
2020-07-31	52205	27			
2020-08-01	52512	27			
2020-08-02	52825	27			
2020-08-03	53051	27			
2020-08-04	53346	27			
2020-08-05	54254	27			
2020-08-06	54555	27			
2020-08-07	54797	27			
2020-08-08	54929	27			
2020-08-09	55104	27			
2020-08-10	55292	27			
2020-08-11	55353	27			
2020-08-12	55395	27			
2020-08-13	55497	27			
2020-08-14	55580	27			
2020-08-15	55661	27			
2020-08-16	55747	27			
2020-08-17	55838	27			
2020-08-18	55938	27			
2020-08-19	56031	27			
2020-08-20	56099	27			
2020-08-21	56216	27			
2020-08-22	56266	27			
2020-08-23	56353	27			
2020-08-24	56404	27			
2020-08-25	56435	27			
2020-08-26	56495	27			
2020-08-27	56572	27			
2020-08-28	56666	27			
2020-08-29	56717	27			
2020-08-30	56771	27			
2020-08-31	56812	27			
2020-09-01	56852	27			
2020-09-02	56860	27			
2020-09-03	56908	27			
2020-09-04	56948	27			
2020-09-05	56982	27			
2020-09-06	57022	27			
2020-09-07	57044	27			
2020-09-08	57091	27			
2020-09-09	57166	27			
2020-09-10	57229	27			
2020-09-11	57315	27			
2020-09-12	57357	27			
2020-09-13	57406	27			
2020-09-14	57454	27			
2020-09-15	57488	27			
2020-09-16	57514	27			
2020-09-17	57532	27			
2020-09-18	57543	27			
2020-09-19	57558	27			
2020-09-20	57576	27			
2020-09-21	57606	27			
