# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	3	0			
2020-02-29	3	0			
2020-03-01	3	0			
2020-03-02	3	0			
2020-03-03	3	0			
2020-03-04	4	0			
2020-03-05	6	0			
2020-03-06	9	0			
2020-03-07	9	0			
2020-03-08	15	0			
2020-03-09	15	0			
2020-03-10	25	0			
2020-03-11	45	0			
2020-03-12	49	0			
2020-03-13	89	0			
2020-03-14	123	0			
2020-03-15	131	0			
2020-03-16	158	0			
2020-03-17	184	0			
2020-03-18	260	0			
2020-03-19	277	0			
2020-03-20	308	0			
2020-03-21	367	0			
2020-03-22	433	3			
2020-03-23	576	7			
2020-03-24	794	11			
2020-03-25	906	17			
2020-03-26	1029	23			
2020-03-27	1292	26			
2020-03-28	1452	37			
2020-03-29	1815	43			
2020-03-30	2109	65			
2020-03-31	2245	82			
2020-04-01	2460	92			
2020-04-02	2738	115			
2020-04-03	3183	133			
2020-04-04	3613	146			
2020-04-05	3864	151			
2020-04-06	4057	176			
2020-04-07	4417	197			
2020-04-08	4761	220			
2020-04-09	5202	248			
2020-04-10	5467	270			
2020-04-11	5990	291			
2020-04-12	6300	316			
2020-04-13	6633	331			
2020-04-14	6879	351			
2020-04-15	7216	372			
2020-04-16	7707	392			
2020-04-17	8067	411			
2020-04-18	8418	421			
2020-04-19	8746	451			
2020-04-20	8936	478			
2020-04-21	9242	498			
2020-04-22	9710	524			
2020-04-23	10096	545			
2020-04-24	10417	567			
2020-04-25	10635	601			
2020-04-26	11036	619			
2020-04-27	11339	641			
2020-04-28	11616	663			
2020-04-29	11978	693			
2020-04-30	12240	717			
2020-05-01	12567	744			
2020-05-02	12732	771			
2020-05-03	13163	790			
2020-05-04	13512	818			
2020-05-05	13837	841			
2020-05-06	14107	864			
2020-05-07	14499	888			
2020-05-08	14811	923			
2020-05-09	15131	939			
2020-05-10	15362	961			
2020-05-11	15588	982			
2020-05-12	15778	1002			
2020-05-13	16002	1036			
2020-05-14	16247	1053			
2020-05-15	16437	1070			
2020-05-16	16704	1094			
2020-05-17	16871	1107			
2020-05-18	17036	1120			
2020-05-19	17191	1137			
2020-05-20	17387	1147			
2020-05-21	17585	1156			
2020-05-22	17712	1166			
2020-05-23	17857	1176			
2020-05-24	18070	1185			
2020-05-25	18283	1205			
2020-05-26	18429	1216			
2020-05-27	18594	1227			
2020-05-28	18791	1235			
2020-05-29	18982	1248			
2020-05-30	19133	1259			
2020-05-31	19257	1266			
2020-06-01	19398	1276			
2020-06-02	19517	1288			
2020-06-03	19669	1296			
2020-06-04	19907	1305			
2020-06-05	20103	1316			
2020-06-06	20290	1322			
2020-06-07	20479	1333			
2020-06-08	20604	1339			
2020-06-09	20749	1354			
2020-06-10	20945	1360			
2020-06-11	21182	1369			
2020-06-12	21404	1380			
2020-06-13	21679	1394			
2020-06-14	21999	1410			
2020-06-15	22165	1427			
2020-06-16	22415	1437			
2020-06-17	22760	1451			
2020-06-18	23080	1473			
2020-06-19	23400	1484			
2020-06-20	23730	1500			
2020-06-21	24045	1512			
2020-06-22	24291	1523			
2020-06-23	24505	1539			
2020-06-24	24826	1555			
2020-06-25	25286	1565			
2020-06-26	25697	1579			
2020-06-27	26022	1589			
2020-06-28	26313	1612			
2020-06-29	26582	1634			
2020-06-30	26970	1651			
2020-07-01	27296	1667			
2020-07-02	27746	1687			
2020-07-03	28166	1708			
2020-07-04	28582	1731			
2020-07-05	28973	1750			
2020-07-06	29223	1768			
2020-07-07	29620	1799			
2020-07-08	30175	1817			
2020-07-09	30789	1834			
2020-07-10	31381	1847			
2020-07-11	32079	1871			
2020-07-12	32535	1884			
