# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-20	0	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	2	0			
2020-02-27	3	0			
2020-02-28	6	0			
2020-02-29	6	0			
2020-03-01	7	0			
2020-03-02	12	0			
2020-03-03	15	0			
2020-03-04	15	0			
2020-03-05	21	0			
2020-03-06	37	0			
2020-03-07	47	0			
2020-03-08	56	0			
2020-03-09	60	0			
2020-03-10	88	0			
2020-03-11	60	0			
2020-03-12	81	0			
2020-03-13	112	0			
2020-03-14	138	0			
2020-03-15	177	0			
2020-03-16	251	0			
2020-03-17	295	0			
2020-03-18	371	0			
2020-03-19	386	0			
2020-03-20	628	1			
2020-03-21	843	1			
2020-03-22	1080	1			
2020-03-23	1249	1			
2020-03-24	1351	4			
2020-03-25	2468	5			
2020-03-26	2988	10			
2020-03-27	3421	12			
2020-03-28	3901	13			
2020-03-29	4433	16			
2020-03-30	4979	17			
2020-03-31	5717	21			
2020-04-01	6413	29			
2020-04-02	7132	38			
2020-04-03	7729	43			
2020-04-04	8157	49			
2020-04-05	8740	56			
2020-04-06	9191	64			
2020-04-07	9568	72			
2020-04-08	9906	80			
2020-04-09	10249	89			
2020-04-10	10607	97			
2020-04-11	10952	103			
2020-04-12	11504	109			
2020-04-13	11942	118			
2020-04-14	12341	126			
2020-04-15	12652	139			
2020-04-16	12948	146			
2020-04-17	13246	155			
2020-04-18	13537	166			
2020-04-19	13813	174			
2020-04-20	14112	180			
2020-04-21	14394	189			
2020-04-22	14619	192			
2020-04-23	14895	196			
2020-04-24	15143	199			
2020-04-25	15302	202			
2020-04-26	15385	204			
2020-04-27	15513	208			
2020-04-28	15672	213			
2020-04-29	15754	219			
2020-04-30	15896	225			
2020-05-01	16012	229			
2020-05-02	16069	232			
2020-05-03	16096	235			
2020-05-04	16149	238			
2020-05-05	16181	240			
2020-05-06	16246	241			
2020-05-07	16307	242			
2020-05-08	16340	248			
2020-05-09	16359	251			
2020-05-10	16388	255			
2020-05-11	16427	260			
2020-05-12	16450	263			
2020-05-13	16489	266			
2020-05-14	16511	268			
2020-05-15	16523	268			
2020-05-16	16528	271			
2020-05-17	16543	275			
2020-05-18	16570	278			
2020-05-19	16592	280			
2020-05-20	16607	281			
2020-05-21	16624	281			
2020-05-22	16643	281			
2020-05-23	16648	281			
2020-05-24	16661	282			
2020-05-25	16683	284			
2020-05-26	16733	284			
2020-05-27	16773	286			
2020-05-28	16850	287			
2020-05-29	16963	287			
2020-05-30	16992	287			
2020-05-31	17079	287			
2020-06-01	17179	290			
2020-06-02	17300	292			
2020-06-03	17397	293			
2020-06-04	17539	293			
2020-06-05	17666	294			
2020-06-06	17744	298			
2020-06-07	17884	300			
2020-06-08	18063	300			
2020-06-09	18236	301			
2020-06-10	18476	302			
2020-06-11	18667	302			
2020-06-12	18851	302			
2020-06-13	19000	303			
2020-06-14	19136	305			
2020-06-15	19334	305			
2020-06-16	19634	306			
2020-06-17	19905	306			
2020-06-18	20207	306			
2020-06-19	20517	307			
2020-06-20	20676	308			
2020-06-21	20849	308			
2020-06-22	21194	309			
2020-06-23	21645	311			
2020-06-24	22132	314			
2020-06-25	22648	318			
2020-06-26	23112	321			
2020-06-27	23510	324			
2020-06-28	23895	326			
2020-06-29	24652	326			
2020-06-30	25438	327			
2020-07-01	26410	330			
2020-07-02	27556	331			
2020-07-03	28495	334			
2020-07-04	29316	339			
2020-07-05	30147	341			
2020-07-06	31281	349			
2020-07-07	32671	354			
2020-07-08	33998	359			
2020-07-09	35523	364			
