# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	3	1			
2020-03-21	4	1			
2020-03-22	5	1			
2020-03-23	5	1			
2020-03-24	6	1			
2020-03-25	6	1			
2020-03-26	7	1			
2020-03-27	7	1			
2020-03-28	7	1			
2020-03-29	7	1			
2020-03-30	7	1			
2020-03-31	16	1			
2020-04-01	18	1			
2020-04-02	21	1			
2020-04-03	21	1			
2020-04-04	21	1			
2020-04-05	21	1			
2020-04-06	24	1			
2020-04-07	30	1			
2020-04-08	34	1			
2020-04-09	44	1			
2020-04-10	44	1			
2020-04-11	46	1			
2020-04-12	49	1			
2020-04-13	57	1			
2020-04-14	57	1			
2020-04-15	80	1			
2020-04-16	80	1			
2020-04-17	108	1			
2020-04-18	108	1			
2020-04-19	109	1			
2020-04-20	120	1			
2020-04-21	156	1			
2020-04-22	166	1			
2020-04-23	167	2			
2020-04-24	172	3			
2020-04-25	176	3			
2020-04-26	176	3			
2020-04-27	211	3			
2020-04-28	238	3			
2020-04-29	276	3			
2020-04-30	276	3			
2020-05-01	276	3			
2020-05-02	335	5			
2020-05-03	335	5			
2020-05-04	367	6			
2020-05-05	397	6			
2020-05-06	397	6			
2020-05-07	504	8			
2020-05-08	620	8			
2020-05-09	661	8			
2020-05-10	661	8			
2020-05-11	802	9			
2020-05-12	863	9			
2020-05-13	1004	9			
2020-05-14	1104	10			
2020-05-15	1209	10			
2020-05-16	1320	11			
2020-05-17	1320	11			
2020-05-18	1432	11			
2020-05-19	1502	12			
2020-05-20	1567	12			
2020-05-21	1567	12			
2020-05-22	1728	12			
2020-05-23	1934	12			
2020-05-24	1934	12			
2020-05-25	2135	14			
2020-05-26	2238	14			
2020-05-27	2319	14			
2020-05-28	2431	14			
2020-05-29	2613	15			
2020-05-30	2655	17			
2020-05-31	2655	17			
2020-06-01	2655	17			
2020-06-02	2803	20			
2020-06-03	2902	20			
2020-06-04	2955	21			
2020-06-05	3101	21			
2020-06-06	3101	21			
2020-06-07	3101	21			
2020-06-08	3101	21			
2020-06-09	3247	21			
2020-06-10	3375	22			
2020-06-11	3463	23			
2020-06-12	3463	23			
2020-06-13	3463	23			
2020-06-14	3463	23			
2020-06-15	4033	27			
2020-06-16	4114	29			
2020-06-17	4229	30			
2020-06-18	4340	32			
2020-06-19	4428	34			
2020-06-20	4428	34			
2020-06-21	4428	34			
2020-06-22	4739	39			
2020-06-23	4849	39			
2020-06-24	4956	39			
