# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	2	0			
2020-03-07	2	0			
2020-03-08	3	0			
2020-03-09	3	0			
2020-03-10	5	0			
2020-03-11	7	0			
2020-03-12	19	0			
2020-03-13	34	0			
2020-03-14	51	1			
2020-03-15	59	1			
2020-03-16	77	1			
2020-03-17	140	1			
2020-03-18	203	2			
2020-03-19	335	4			
2020-03-20	484	4			
2020-03-21	670	8			
2020-03-22	798	8			
2020-03-23	875	8			
2020-03-24	1099	8			
2020-03-25	1333	8			
2020-03-26	1453	9			
2020-03-27	1605	15			
2020-03-28	1831	18			
2020-03-29	1950	21			
2020-03-30	1988	22			
2020-03-31	2178	23			
2020-04-01	2319	29			
2020-04-02	2487	30			
2020-04-03	2612	31			
2020-04-04	2729	31			
2020-04-05	2804	36			
2020-04-06	2843	41			
2020-04-07	2970	44			
2020-04-08	3034	46			
2020-04-09	3115	52			
2020-04-10	3223	54			
2020-04-11	3270	62			
2020-04-12	3281	66			
2020-04-13	3292	69			
2020-04-14	3307	67			
2020-04-15	3373	69			
2020-04-16	3444	69			
2020-04-17	3480	72			
2020-04-18	3537	72			
2020-04-19	3550	73			
2020-04-20	3558	75			
2020-04-21	3618	78			
2020-04-22	3654	80			
2020-04-23	3665	83			
2020-04-24	3695	85			
2020-04-25	3711	85			
2020-04-26	3723	88			
2020-04-27	3729	88			
2020-04-28	3741	89			
2020-04-29	3769	89			
2020-04-30	3784	90			
2020-05-01	3802	92			
2020-05-02	3812	92			
2020-05-03	3824	96			
2020-05-04	3828	96			
2020-05-05	3840	96			
2020-05-06	3851	98			
2020-05-07	3859	100			
2020-05-08	3871	100			
2020-05-09	3877	101			
2020-05-10	3886	101			
2020-05-11	3888	101			
2020-05-12	3894	102			
2020-05-13	3904	103			
2020-05-14	3915	103			
2020-05-15	3923	104			
2020-05-16	3930	104			
2020-05-17	3945	107			
2020-05-18	3947	107			
2020-05-19	3958	109			
2020-05-20	3971	109			
2020-05-21	3980	109			
2020-05-22	3981	109			
2020-05-23	3990	109			
2020-05-24	3992	110			
2020-05-25	3993	110			
2020-05-26	3995	110			
2020-05-27	4001	110			
2020-05-28	4008	110			
2020-05-29	4012	110			
2020-05-30	4016	110			
2020-05-31	4018	110			
2020-06-01	4019	110			
2020-06-02	4020	110			
2020-06-03	4024	110			
2020-06-04	4027	110			
2020-06-05	4032	110			
2020-06-06	4035	110			
2020-06-07	4039	110			
2020-06-08	4040	110			
2020-06-09	4046	110			
2020-06-10	4049	110			
