# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	3	0			
2020-03-16	3	0			
2020-03-17	3	0			
2020-03-18	3	0			
2020-03-19	7	0			
2020-03-20	7	0			
2020-03-21	7	0			
2020-03-22	15	0			
2020-03-23	16	0			
2020-03-24	25	0			
2020-03-25	28	0			
2020-03-26	31	1			
2020-03-27	31	1			
2020-03-28	38	1			
2020-03-29	42	1			
2020-03-30	50	1			
2020-03-31	59	1			
2020-04-01	81	1			
2020-04-02	110	3			
2020-04-03	122	4			
2020-04-04	126	4			
2020-04-05	142	4			
2020-04-06	158	6			
2020-04-07	172	6			
2020-04-08	179	6			
2020-04-09	184	7			
2020-04-10	189	7			
2020-04-11	191	7			
2020-04-12	197	8			
2020-04-13	208	9			
2020-04-14	216	9			
2020-04-15	225	10			
2020-04-16	234	11			
2020-04-17	246	11			
2020-04-18	262	12			
2020-04-19	270	14			
2020-04-20	281	14			
2020-04-21	296	14			
2020-04-22	303	14			
2020-04-23	320	14			
2020-04-24	336	14			
2020-04-25	343	14			
2020-04-26	355	14			
2020-04-27	363	14			
2020-04-28	374	14			
2020-04-29	384	15			
2020-04-30	396	17			
2020-05-01	411	21			
2020-05-02	435	22			
2020-05-03	465	24			
2020-05-04	490	24			
2020-05-05	535	24			
2020-05-06	582	26			
2020-05-07	607	29			
2020-05-08	621	29			
2020-05-09	649	30			
2020-05-10	672	32			
2020-05-11	700	33			
2020-05-12	715	36			
2020-05-13	737	40			
2020-05-14	758	42			
2020-05-15	781	45			
2020-05-16	830	50			
2020-05-17	887	50			
2020-05-18	912	50			
2020-05-19	963	50			
2020-05-20	1029	50			
2020-05-21	1109	50			
2020-05-22	1161	50			
2020-05-23	1192	50			
2020-05-24	1214	51			
2020-05-25	1286	52			
2020-05-26	1348	52			
2020-05-27	1471	55			
2020-05-28	1618	58			
2020-05-29	1745	62			
2020-05-30	1888	63			
2020-05-31	1962	64			
2020-06-01	2021	69			
2020-06-02	2093	71			
2020-06-03	2216	74			
2020-06-04	2340	78			
2020-06-05	2474	79			
2020-06-06	2600	83			
2020-06-07	2767	84			
2020-06-08	2872	85			
2020-06-09	2989	88			
2020-06-10	3094	89			
2020-06-11	3215	92			
2020-06-12	3305	96			
2020-06-13	3457	100			
2020-06-14	3594	103			
2020-06-15	3727	104			
2020-06-16	3860	105			
2020-06-17	4044	107			
2020-06-18	4257	117			
2020-06-19	4374	119			
2020-06-20	4478	121			
2020-06-21	4738	123			
2020-06-22	4797	125			
2020-06-23	4952	128			
2020-06-24	5206	130			
2020-06-25	5384	132			
2020-06-26	5533	137			
2020-06-27	5811	141			
2020-06-28	6070	143			
2020-06-29	6190	144			
2020-06-30	6366	148			
2020-07-01	6673	149			
2020-07-02	6941	152			
2020-07-03	7188	154			
2020-07-04	7577	159			
2020-07-05	7886	160			
2020-07-06	8067	164			
2020-07-07	8250	167			
2020-07-08	8528	169			
2020-07-09	8975	173			
2020-07-10	9448	181			
2020-07-11	9726	184			
2020-07-12	10105	185			
2020-07-13	10294	197			
2020-07-14	10791	202			
2020-07-15	11252	209			
2020-07-16	11673	217			
2020-07-17	12062	222			
2020-07-18	12750	225			
2020-07-19	13353	234			
2020-07-20	13771	238			
2020-07-21	14168	250			
2020-07-22	14805	260			
2020-07-23	15601	263			
2020-07-24	16268	274			
2020-07-25	16643	278			
2020-07-26	17603	280			
2020-07-27	17975	285			
2020-07-28	18581	299			
2020-07-29	19125	311			
2020-07-30	19913	325			
2020-07-31	20636	341			
2020-08-01	21363	364			
2020-08-02	22053	369			
2020-08-03	22597	382			
2020-08-04	23202	388			
2020-08-05	23873	391			
2020-08-06	24411	399			
2020-08-07	25138	413			
2020-08-08	25837	418			
2020-08-09	26436	420			
2020-08-10	26928	423			
2020-08-11	27425	438			
2020-08-12	28104	456			
2020-08-13	28754	460			
2020-08-14	29334	465			
2020-08-15	29849	472			
2020-08-16	30120	474			
2020-08-17	30365	482			
2020-08-18	30636	487			
2020-08-19	31015	506			
2020-08-20	31441	516			
2020-08-21	31763	532			
2020-08-22	32118	542			
2020-08-23	32364	548			
2020-08-24	32557	554			
2020-08-25	32803	559			
2020-08-26	33016	564			
2020-08-27	33389	567			
2020-08-28	33630	567			
2020-08-29	33794	572			
2020-08-30	34057	574			
2020-08-31	34201	577			
2020-09-01	34315	577			
2020-09-02	34493	581			
2020-09-03	34705	585			
2020-09-04	34884	589			
2020-09-05	35020	594			
2020-09-06	35103	597			
2020-09-07	35205	599			
2020-09-08	35356	599			
2020-09-09	35460	607			
2020-09-10	35603	612			
2020-09-11	35793	616			
2020-09-12	35969	619			
2020-09-13	36157	622			
2020-09-14	36205	624			
2020-09-15	36301	634			
2020-09-16	36301	634			
2020-09-17	36576	642			
2020-09-18	36724	646			
2020-09-19	36829	646			
2020-09-20	36981	648			
2020-09-21	37079	650			
2020-09-22	37218	659			
2020-09-23	37348	664			
2020-09-24	37489	669			
2020-09-25	37707	682			
2020-09-26	37871	689			
2020-09-27	38115	691			
2020-09-28	38168	700			
2020-09-29	38378	707			
2020-09-30	38529	711			
2020-10-01	38713	711			
2020-10-02	38923	725			
2020-10-03	39184	728			
2020-10-04	39427	731			
2020-10-05	39449	735			
2020-10-06	39586	743			
2020-10-07	39907	748			
2020-10-08	40178	751			
2020-10-09	40620	755			
2020-10-10	41158	760			
2020-10-11	41546	766			
2020-10-12	41619	777			
2020-10-13	41937	787			
2020-10-14	42541	797			
2020-10-15	43143	805			
2020-10-16	43580	813			
2020-10-17	44196	825			
2020-10-18	44881	832			
2020-10-19	45076	839			
2020-10-20	45647	842			
2020-10-21	46144	858			
2020-10-22	47212	870			
2020-10-23	47843	884			
2020-10-24	48790	896			
2020-10-25	49721	902			
2020-10-26	49997	920			
2020-10-27	50833	934			
2020-10-28	51851	934			
2020-10-29	52612	964			
2020-10-30	53797	981			
2020-10-31	55192	981			
2020-11-01	55877	1013			
2020-11-02	56601	1027			
2020-11-03	57093	1039			
2020-11-04	58587	1051			
2020-11-05	59595	1072			
2020-11-06	60704	1093			
2020-11-07	61769	1103			
2020-11-08	62488	1111			
2020-11-09	63244	1130			
2020-11-10	64588	1154			
2020-11-11	65804	1180			
2020-11-12	66723	1203			
2020-11-13	68193	1228			
2020-11-14	69273	1228			
2020-11-15	70245	1269			
2020-11-16	70804	1287			
2020-11-17	71729	1302			
2020-11-18	72686	1313			
2020-11-19	74145	1330			
2020-11-20	75193	1349			
2020-11-21	76404	1366			
2020-11-22	77372	1380			
2020-11-23	77785	1392			
2020-11-24	78512	1409			
2020-11-25	79322	1417			
2020-11-26	80102	1427			
2020-11-27	81656	1441			
2020-11-28	82605	1445			
2020-11-29	83316	1452			
2020-11-30	83618	1469			
2020-12-01	84169	1474			
2020-12-02	85130	1484			
2020-12-03	86383	1500			
2020-12-04	87249	1506			
2020-12-05	87984	1518			
2020-12-06	88380	1526			
2020-12-07	88579	1531			
2020-12-08	89100	1545			
2020-12-09	89661	1552			
2020-12-10	90305	1568			
2020-12-11	90978	1582			
2020-12-12	91526	1586			
2020-12-13	91892	1587			
2020-12-14	92055	1593			
2020-12-15	92459	1604			
2020-12-16	92853	1614			
2020-12-17	93405	1618			
2020-12-18	93761	1629			
2020-12-19	94151	1633			
2020-12-20	94500	1639			
2020-12-21	94614	1644			
2020-12-22	94768	1647			
2020-12-23	95195	1648			
2020-12-24	95431	1652			
2020-12-25	95713	1653			
2020-12-26	95843	1655			
2020-12-27	95923	1658			
2020-12-28	95992	1664			
2020-12-29	96139	1665			
2020-12-30	96251	1667			
2020-12-31	96458	1670			
2021-01-01	96614	1681			
2021-01-02	96678	1685			
2021-01-03	96802	1685			
2021-01-04	96908	1686			
2021-01-05	97127	1690			
2021-01-06	97398	1694			
2021-01-07	97733	1702			
2021-01-08	97954	1703			
2021-01-09	98184	1704			
2021-01-10	98271	1710			
2021-01-11	98334	1713			
2021-01-12	98432	1716			
2021-01-13	98555	1720			
2021-01-14	98693	1723			
2021-01-15	98859	1726			
2021-01-16	99082	1728			
2021-01-17	99162	1731			
2021-01-18	99227	1734			
2021-01-19	99308	1734			
