# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-23	2	0			
2020-01-24	2	0			
2020-01-25	5	0			
2020-01-26	8	0			
2020-01-27	8	0			
2020-01-28	8	0			
2020-01-29	10	0			
2020-01-30	10	0			
2020-01-31	12	0			
2020-02-01	13	0			
2020-02-02	15	0			
2020-02-03	15	0			
2020-02-04	17	1			
2020-02-05	21	1			
2020-02-06	24	1			
2020-02-07	25	1			
2020-02-08	26	1			
2020-02-09	29	1			
2020-02-10	38	1			
2020-02-11	49	1			
2020-02-12	50	1			
2020-02-13	53	1			
2020-02-14	56	1			
2020-02-15	56	1			
2020-02-16	57	1			
2020-02-17	60	1			
2020-02-18	62	1			
2020-02-19	63	2			
2020-02-20	68	2			
2020-02-21	68	2			
2020-02-22	69	2			
2020-02-23	74	2			
2020-02-24	79	2			
2020-02-25	84	2			
2020-02-26	91	2			
2020-02-27	92	2			
2020-02-28	94	2			
2020-02-29	95	2			
2020-03-01	96	2			
2020-03-02	100	2			
2020-03-03	100	2			
2020-03-04	105	2			
2020-03-05	105	2			
2020-03-06	107	2			
2020-03-07	108	2			
2020-03-08	114	3			
2020-03-09	115	3			
2020-03-10	120	3			
2020-03-11	126	3			
2020-03-12	129	3			
2020-03-13	134	4			
2020-03-14	140	4			
2020-03-15	145	4			
2020-03-16	155	4			
2020-03-17	162	4			
2020-03-18	181	4			
2020-03-19	208	4			
2020-03-20	256	4			
2020-03-21	273	4			
2020-03-22	317	4			
2020-03-23	356	4			
2020-03-24	386	4			
2020-03-25	410	4			
2020-03-26	453	4			
2020-03-27	519	4			
2020-03-28	561	4			
2020-03-29	641	4			
2020-03-30	682	4			
2020-03-31	714	4			
2020-04-01	765	4			
2020-04-02	802	4			
2020-04-03	845	4			
2020-04-04	862	4			
2020-04-05	890	4			
2020-04-06	914	4			
2020-04-07	935	4			
2020-04-08	960	4			
2020-04-09	973	4			
2020-04-10	989	4			
2020-04-11	1000	4			
2020-04-12	1004	4			
2020-04-13	1009	4			
2020-04-14	1012	4			
2020-04-15	1017	4			
2020-04-16	1017	4			
2020-04-17	1021	4			
2020-04-18	1024	4			
2020-04-19	1025	4			
2020-04-20	1025	4			
2020-04-21	1029	4			
2020-04-22	1033	4			
2020-04-23	1035	4			
2020-04-24	1035	4			
2020-04-25	1037	4			
2020-04-26	1037	4			
2020-04-27	1037	4			
2020-04-28	1037	4			
2020-04-29	1037	4			
2020-04-30	1037	4			
2020-05-01	1039	4			
2020-05-02	1039	4			
2020-05-03	1039	4			
2020-05-04	1040	4			
2020-05-05	1040	4			
2020-05-06	1040	4			
2020-05-07	1044	4			
2020-05-08	1044	4			
2020-05-09	1044	4			
2020-05-10	1047	4			
2020-05-11	1047	4			
2020-05-12	1047	4			
2020-05-13	1050	4			
2020-05-14	1051	4			
2020-05-15	1052	4			
2020-05-16	1052	4			
2020-05-17	1055	4			
2020-05-18	1055	4			
2020-05-19	1055	4			
2020-05-20	1055	4			
2020-05-21	1055	4			
2020-05-22	1065	4			
2020-05-23	1065	4			
2020-05-24	1065	4			
2020-05-25	1065	4			
2020-05-26	1065	4			
2020-05-27	1066	4			
2020-05-28	1066	4			
2020-05-29	1079	4			
2020-05-30	1082	4			
2020-05-31	1084	4			
2020-06-01	1087	4			
2020-06-02	1093	4			
2020-06-03	1093	4			
2020-06-04	1099	4			
2020-06-05	1102	4			
2020-06-06	1105	4			
2020-06-07	1106	4			
2020-06-08	1107	4			
2020-06-09	1107	4			
2020-06-10	1107	4			
2020-06-11	1107	4			
2020-06-12	1108	4			
2020-06-13	1109	4			
2020-06-14	1109	4			
2020-06-15	1112	4			
2020-06-16	1112	4			
2020-06-17	1120	4			
2020-06-18	1124	4			
2020-06-19	1124	4			
2020-06-20	1128	5			
2020-06-21	1131	5			
2020-06-22	1161	5			
2020-06-23	1177	6			
2020-06-24	1179	6			
2020-06-25	1193	7			
2020-06-26	1196	7			
2020-06-27	1197	7			
2020-06-28	1199	7			
2020-06-29	1203	7			
2020-06-30	1205	7			
2020-07-01	1233	7			
2020-07-02	1242	7			
2020-07-03	1247	7			
2020-07-04	1258	7			
2020-07-05	1268	7			
2020-07-06	1285	7			
2020-07-07	1299	7			
2020-07-08	1323	7			
2020-07-09	1365	7			
2020-07-10	1365	7			
2020-07-11	1431	7			
2020-07-12	1469	7			
2020-07-13	1469	7			
2020-07-14	1569	8			
2020-07-15	1588	10			
2020-07-16	1655	10			
2020-07-17	1713	11			
2020-07-18	1713	12			
2020-07-19	1777	12			
2020-07-20	1885	12			
2020-07-21	1958	14			
2020-07-22	2131	14			
2020-07-23	2249	15			
2020-07-24	2372	16			
2020-07-25	2505	18			
2020-07-26	2633	18			
2020-07-27	2778	22			
2020-07-28	2884	23			
2020-07-29	3002	24			
2020-07-30	3151	25			
2020-07-31	3272	27			
2020-08-01	3396	33			
2020-08-02	3511	35			
2020-08-03	3589	38			
2020-08-04	3669	42			
2020-08-05	3754	43			
2020-08-06	3849	46			
2020-08-07	3938	47			
2020-08-08	4007	47			
2020-08-09	4079	52			
2020-08-10	4148	55			
2020-08-11	4181	59			
2020-08-12	4243	63			
2020-08-13	4312	66			
2020-08-14	4360	67			
2020-08-15	4406	69			
2020-08-16	4480	69			
2020-08-17	4524	69			
2020-08-18	4560	71			
2020-08-19	4586	72			
2020-08-20	4604	75			
2020-08-21	4631	75			
2020-08-22	4657	77			
2020-08-23	4682	77			
2020-08-24	4691	77			
2020-08-25	4710	78			
2020-08-26	4734	79			
2020-08-27	4755	81			
2020-08-28	4768	84			
2020-08-29	4786	87			
2020-08-30	4801	88			
2020-08-31	4810	89			
2020-09-01	4822	90			
2020-09-02	4830	93			
2020-09-03	4838	94			
2020-09-04	4850	94			
2020-09-05	4857	94			
2020-09-06	4878	96			
2020-09-07	4889	98			
2020-09-08	4895	99			
2020-09-09	4901	99			
2020-09-10	4913	99			
2020-09-11	4925	99			
2020-09-12	4938	100			
2020-09-13	4957	100			
2020-09-14	4971	101			
2020-09-15	4975	102			
2020-09-16	4984	102			
2020-09-17	4993	102			
2020-09-18	4996	103			
2020-09-19	5009	103			
2020-09-20	5032	103			
2020-09-21	5038	103			
2020-09-22	5046	103			
2020-09-23	5049	104			
2020-09-24	5056	104			
2020-09-25	5058	105			
2020-09-26	5059	105			
2020-09-27	5065	105			
2020-09-28	5075	105			
2020-09-29	5079	105			
2020-09-30	5087	105			
2020-10-01	5097	105			
2020-10-02	5104	105			
2020-10-03	5108	105			
2020-10-04	5113	105			
2020-10-05	5124	105			
2020-10-06	5132	105			
2020-10-07	5143	105			
2020-10-08	5161	105			
2020-10-09	5169	105			
2020-10-10	5175	105			
2020-10-11	5182	105			
2020-10-12	5193	105			
2020-10-13	5201	105			
2020-10-14	5201	105			
2020-10-15	5213	105			
2020-10-16	5220	105			
2020-10-17	5237	105			
2020-10-18	5241	105			
2020-10-19	5256	105			
2020-10-20	5261	105			
2020-10-21	5269	105			
2020-10-22	5280	105			
2020-10-23	5284	105			
2020-10-24	5289	105			
2020-10-25	5295	105			
2020-10-26	5303	105			
2020-10-27	5308	105			
2020-10-28	5310	105			
2020-10-29	5313	105			
2020-10-30	5320	105			
2020-10-31	5323	105			
2020-11-01	5330	105			
2020-11-02	5336	105			
2020-11-03	5345	105			
2020-11-04	5348	106			
2020-11-05	5355	107			
2020-11-06	5361	107			
2020-11-07	5364	107			
2020-11-08	5374	107			
2020-11-09	5380	107			
2020-11-10	5389	108			
2020-11-11	5407	108			
2020-11-12	5430	108			
2020-11-13	5436	108			
2020-11-14	5444	108			
2020-11-15	5458	108			
2020-11-16	5466	108			
2020-11-17	5470	108			
2020-11-18	5479	108			
2020-11-19	5491	108			
2020-11-20	5517	108			
2020-11-21	5560	108			
2020-11-22	5628	108			
2020-11-23	5701	108			
2020-11-24	5781	108			
2020-11-25	5866	108			
2020-11-26	5947	108			
2020-11-27	6039	108			
2020-11-28	6123	109			
2020-11-29	6238	109			
2020-11-30	6314	109			
2020-12-01	6396	109			
2020-12-02	6499	110			
2020-12-03	6589	111			
2020-12-04	6701	112			
2020-12-05	6802	112			
2020-12-06	6897	112			
2020-12-07	6975	112			
2020-12-08	7075	112			
2020-12-09	7179	114			
2020-12-10	7291	114			
2020-12-11	7377	114			
2020-12-12	7446	115			
2020-12-13	7541	117			
2020-12-14	7623	120			
2020-12-15	7721	123			
2020-12-16	7803	123			
2020-12-17	7899	125			
2020-12-18	7969	129			
2020-12-19	8078	129			
2020-12-20	8152	130			
2020-12-21	8237	131			
2020-12-22	8300	132			
2020-12-23	8353	133			
2020-12-24	8424	135			
2020-12-25	8481	136			
2020-12-26	8540	136			
2020-12-27	8610	137			
2020-12-28	8671	141			
2020-12-29	8724	143			
2020-12-30	8778	147			
2020-12-31	8846	148			
2021-01-01	8888	148			
2021-01-02	8923	150			
2021-01-03	8964	150			
2021-01-04	9017	153			
2021-01-05	9049	153			
2021-01-06	9074	154			
2021-01-07	9107	154			
2021-01-08	9152	155			
2021-01-09	9211	157			
2021-01-10	9242	158			
2021-01-11	9283	159			
2021-01-12	9343	160			
2021-01-13	9385	161			
2021-01-14	9414	161			
2021-01-15	9452	161			
2021-01-16	9502	162			
2021-01-17	9557	162			
2021-01-18	9664	163			
2021-01-19	9720	165			
2021-01-20	9797	166			
2021-01-21	9928	168			
2021-01-22	9928	168			
2021-01-23	10009	168			
2021-01-24	10085	169			
2021-01-25	10158	171			
2021-01-26	10222	173			
2021-01-27	10282	175			
2021-01-28	10321	177			
2021-01-29	10371	178			
2021-01-30	10399	179			
2021-01-31	10452	181			
2021-02-01	10486	182			
2021-02-02	10511	184			
2021-02-03	10530	185			
2021-02-04	10552	186			
2021-02-05	10589	186			
2021-02-06	10608	186			
2021-02-07	10635	186			
2021-02-08	10667	186			
2021-02-09	10693	188			
2021-02-10	10710	189			
2021-02-11	10731	191			
2021-02-12	10755	192			
2021-02-13	10767	193			
2021-02-14	10779	193			
2021-02-15	10788	193			
2021-02-16	10796	195			
2021-02-17	10812	197			
2021-02-18	10820	197			
2021-02-19	10833	197			
2021-02-20	10848	197			
2021-02-21	10868	197			
2021-02-22	10884	197			
2021-02-23	10896	197			
2021-02-24	10913	198			
2021-02-25	10926	198			
2021-02-26	10950	198			
2021-02-27	10983	198			
2021-02-28	11005	199			
2021-03-01	11019	200			
2021-03-02	11032	200			
2021-03-03	11046	200			
2021-03-04	11055	201			
2021-03-05	11066	201			
2021-03-06	11074	202			
2021-03-07	11090	202			
2021-03-08	11099	202			
2021-03-09	11120	202			
2021-03-10	11128	203			
2021-03-11	11150	203			
2021-03-12	11210	203			
2021-03-13	11257	203			
2021-03-14	11281	203			
2021-03-15	11311	203			
2021-03-16	11329	203			
2021-03-17	11340	203			
2021-03-18	11350	203			
2021-03-19	11363	203			
2021-03-20	11371	203			
2021-03-21	11379	203			
2021-03-22	11397	203			
2021-03-23	11409	204			
2021-03-24	11419	204			
2021-03-25	11428	204			
