# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-17	5	0			
2020-03-18	6	0			
2020-03-19	6	0			
2020-03-20	6	0			
2020-03-21	3	0			
2020-03-22	3	0			
2020-03-23	3	0			
2020-03-24	3	0			
2020-03-25	3	0			
2020-03-26	3	0			
2020-03-27	3	0			
2020-03-28	3	0			
2020-03-29	3	0			
2020-03-30	3	0			
2020-03-31	3	0			
2020-04-01	6	0			
2020-04-02	6	0			
2020-04-03	6	0			
2020-04-04	7	0			
2020-04-05	10	1			
2020-04-06	13	3			
2020-04-07	14	3			
2020-04-08	14	3			
2020-04-09	31	4			
2020-04-10	31	4			
2020-04-11	37	5			
2020-04-12	48	5			
2020-04-13	50	5			
2020-04-14	51	6			
2020-04-15	59	6			
2020-04-16	59	6			
2020-04-17	73	6			
2020-04-18	76	7			
2020-04-19	81	7			
2020-04-20	91	8			
2020-04-21	99	8			
2020-04-22	101	8			
2020-04-23	101	8			
2020-04-24	101	8			
2020-04-25	117	8			
2020-04-26	120	11			
2020-04-27	124	12			
2020-04-28	133	16			
2020-04-29	141	16			
2020-04-30	141	16			
2020-05-01	141	16			
2020-05-02	152	18			
2020-05-03	154	18			
2020-05-04	158	18			
2020-05-05	166	18			
2020-05-06	170	20			
2020-05-07	178	20			
2020-05-08	189	20			
2020-05-09	199	20			
2020-05-10	199	20			
2020-05-11	204	20			
2020-05-12	211	20			
2020-05-13	212	20			
2020-05-14	213	20			
2020-05-15	215	20			
2020-05-16	219	20			
2020-05-17	223	20			
2020-05-18	226	21			
2020-05-19	229	22			
2020-05-20	233	23			
2020-05-21	238	23			
2020-05-22	240	23			
2020-05-23	249	24			
2020-05-24	255	26			
2020-05-25	265	26			
2020-05-26	265	26			
2020-05-27	266	26			
2020-05-28	266	27			
2020-05-29	269	27			
2020-05-30	273	27			
2020-05-31	280	27			
2020-06-01	288	27			
2020-06-02	296	27			
2020-06-03	311	28			
2020-06-04	316	28			
2020-06-05	321	28			
2020-06-06	334	30			
2020-06-07	345	30			
2020-06-08	359	30			
2020-06-09	370	30			
2020-06-10	383	31			
2020-06-11	397	31			
2020-06-12	410	31			
2020-06-13	421	32			
2020-06-14	446	32			
2020-06-15	458	32			
2020-06-16	498	33			
2020-06-17	509	33			
2020-06-18	516	33			
2020-06-19	542	33			
2020-06-20	581	33			
2020-06-21	601	33			
2020-06-22	626	34			
2020-06-23	650	34			
2020-06-24	652	34			
2020-06-25	662	34			
2020-06-26	681	34			
2020-06-27	684	34			
2020-06-28	684	34			
2020-06-29	768	34			
2020-06-30	770	36			
2020-07-01	780	36			
2020-07-02	804	37			
2020-07-03	819	37			
2020-07-04	833	37			
2020-07-05	833	37			
2020-07-06	874	37			
2020-07-07	891	39			
2020-07-08	917	41			
2020-07-09	926	41			
2020-07-10	957	42			
2020-07-11	963	47			
2020-07-12	998	47			
2020-07-13	1010	51			
2020-07-14	1024	51			
2020-07-15	1038	51			
2020-07-16	1056	66			
2020-07-17	1070	68			
2020-07-18	1070	68			
2020-07-19	1088	70			
2020-07-20	1091	70			
2020-07-21	1107	70			
2020-07-22	1108	70			
2020-07-23	1114	70			
2020-07-24	1117	71			
2020-07-25	1135	71			
2020-07-26	1135	71			
2020-07-27	1162	72			
2020-07-28	1167	72			
2020-07-29	1167	72			
2020-07-30	1179	72			
2020-07-31	1181	73			
2020-08-01	1186	75			
2020-08-02	1189	75			
2020-08-03	1207	77			
2020-08-04	1214	78			
2020-08-05	1216	78			
2020-08-06	1221	78			
2020-08-07	1224	78			
2020-08-08	1230	78			
2020-08-09	1234	79			
2020-08-10	1237	79			
2020-08-11	1240	79			
2020-08-12	1240	79			
2020-08-13	1252	82			
2020-08-14	1252	82			
2020-08-15	1254	82			
2020-08-16	1257	82			
2020-08-17	1257	82			
2020-08-18	1277	82			
2020-08-19	1277	82			
2020-08-20	1282	82			
2020-08-21	1284	82			
2020-08-22	1285	82			
2020-08-23	1285	82			
2020-08-24	1286	82			
2020-08-25	1286	82			
2020-08-26	1290	82			
2020-08-27	1290	82			
2020-08-28	1290	82			
2020-08-29	1290	82			
2020-08-30	1303	82			
2020-08-31	1303	82			
2020-09-01	1305	82			
2020-09-02	1305	82			
2020-09-03	1305	82			
2020-09-04	1306	82			
2020-09-05	1306	82			
2020-09-06	1306	82			
2020-09-07	1306	82			
2020-09-08	1311	82			
2020-09-09	1311	82			
2020-09-10	1311	82			
2020-09-11	1311	82			
2020-09-12	1311	82			
2020-09-13	1311	82			
2020-09-14	1311	82			
2020-09-15	1311	82			
2020-09-16	1327	82			
2020-09-17	1327	82			
2020-09-18	1333	82			
2020-09-19	1334	82			
2020-09-20	1335	82			
2020-09-21	1336	82			
2020-09-22	1336	82			
2020-09-23	1336	82			
2020-09-24	1337	82			
2020-09-25	1338	82			
2020-09-26	1338	82			
2020-09-27	1338	82			
2020-09-28	1339	82			
2020-09-29	1339	82			
2020-09-30	1339	82			
2020-10-01	1343	82			
2020-10-02	1343	82			
2020-10-03	1343	82			
2020-10-04	1347	82			
2020-10-05	1348	82			
2020-10-06	1354	82			
2020-10-07	1354	82			
2020-10-08	1354	82			
2020-10-09	1360	82			
2020-10-10	1360	82			
2020-10-11	1363	82			
2020-10-12	1370	82			
2020-10-13	1370	82			
2020-10-14	1372	82			
2020-10-15	1372	82			
2020-10-16	1372	82			
2020-10-17	1377	82			
2020-10-18	1377	82			
2020-10-19	1380	82			
2020-10-20	1381	82			
2020-10-21	1384	82			
2020-10-22	1385	82			
2020-10-23	1385	82			
2020-10-24	1393	82			
2020-10-25	1395	82			
2020-10-26	1395	82			
2020-10-27	1416	82			
2020-10-28	1419	82			
2020-10-29	1419	82			
2020-10-30	1426	82			
2020-10-31	1426	82			
2020-11-01	1426	82			
2020-11-02	1426	82			
2020-11-03	1426	82			
2020-11-04	1436	82			
2020-11-05	1436	82			
2020-11-06	1436	82			
2020-11-07	1436	82			
2020-11-08	1442	82			
2020-11-09	1448	82			
2020-11-10	1448	82			
2020-11-11	1461	82			
2020-11-12	1461	82			
2020-11-13	1468	82			
2020-11-14	1491	82			
2020-11-15	1498	82			
2020-11-16	1507	82			
2020-11-17	1512	82			
2020-11-18	1512	82			
2020-11-19	1517	82			
2020-11-20	1539	82			
2020-11-21	1539	82			
2020-11-22	1554	82			
2020-11-23	1554	82			
2020-11-24	1554	82			
2020-11-25	1554	82			
2020-11-26	1578	83			
2020-11-27	1591	83			
2020-11-28	1595	83			
2020-11-29	1595	83			
2020-11-30	1598	83			
2020-12-01	1598	83			
2020-12-02	1598	83			
2020-12-03	1598	83			
2020-12-04	1598	83			
2020-12-05	1663	83			
2020-12-06	1676	83			
