# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	4	0			
2020-03-13	8	0			
2020-03-14	18	0			
2020-03-15	26	0			
2020-03-16	52	0			
2020-03-17	78	0			
2020-03-18	84	0			
2020-03-19	115	0			
2020-03-20	136	0			
2020-03-21	160	0			
2020-03-22	194	0			
2020-03-23	235	0			
2020-03-24	249	0			
2020-03-25	265	0			
2020-03-26	290	1			
2020-03-27	329	1			
2020-03-28	407	1			
2020-03-29	424	3			
2020-03-30	482	3			
2020-03-31	532	3			
2020-04-01	571	4			
2020-04-02	663	7			
2020-04-03	736	7			
2020-04-04	770	7			
2020-04-05	822	7			
2020-04-06	833	8			
2020-04-07	853	8			
2020-04-08	881	9			
2020-04-09	921	10			
2020-04-10	937	12			
2020-04-11	967	13			
2020-04-12	1013	13			
2020-04-13	1039	14			
2020-04-14	1067	16			
2020-04-15	1111	17			
2020-04-16	1159	18			
2020-04-17	1201	19			
2020-04-18	1248	20			
2020-04-19	1291	20			
2020-04-20	1339	22			
2020-04-21	1401	24			
2020-04-22	1473	24			
2020-04-23	1523	24			
2020-04-24	1596	27			
2020-04-25	1677	28			
2020-04-26	1746	28			
2020-04-27	1808	29			
2020-04-28	1867	30			
2020-04-29	1932	30			
2020-04-30	2066	32			
2020-05-01	2148	33			
2020-05-02	2273	33			
2020-05-03	2386	35			
2020-05-04	2507	39			
2020-05-05	2619	40			
2020-05-06	2782	40			
2020-05-07	2884	42			
2020-05-08	3029	43			
2020-05-09	3175	44			
2020-05-10	3313	45			
2020-05-11	3392	46			
2020-05-12	3538	47			
2020-05-13	3718	48			
2020-05-14	3860	49			
2020-05-15	4044	52			
2020-05-16	4283	55			
2020-05-17	4472	60			
2020-05-18	4823	61			
2020-05-19	5041	64			
2020-05-20	5271	67			
2020-05-21	5606	70			
2020-05-22	5928	74			
2020-05-23	6302	77			
2020-05-24	6661	81			
2020-05-25	7113	87			
2020-05-26	7402	91			
2020-05-27	7774	98			
2020-05-28	8216	113			
2020-05-29	8676	120			
2020-05-30	8927	127			
2020-05-31	9282	131			
2020-06-01	9492	139			
2020-06-02	10009	158			
2020-06-03	10524	170			
2020-06-04	11221	176			
2020-06-05	11817	183			
2020-06-06	12364	190			
2020-06-07	13130	200			
2020-06-08	13325	211			
2020-06-09	13675	217			
2020-06-10	14103	227			
2020-06-11	14669	245			
2020-06-12	15281	258			
2020-06-13	16004	264			
2020-06-14	16667	269			
2020-06-15	17064	285			
2020-06-16	17489	293			
2020-06-17	18033	302			
2020-06-18	18698	309			
2020-06-19	19157	319			
2020-06-20	19708	332			
2020-06-21	20268	350			
2020-06-22	20588	360			
2020-06-23	21006	372			
2020-06-24	21717	386			
2020-06-25	22488	397			
2020-06-26	23247	410			
2020-06-27	23909	421			
2020-06-28	24645	426			
2020-06-29	25127	433			
2020-06-30	25542	443			
2020-07-01	26065	453			
2020-07-02	26658	459			
2020-07-03	27320	469			
2020-07-04	27900	477			
2020-07-05	28606	484			
2020-07-06	28936	491			
2020-07-07	29285	503			
2020-07-08	29820	521			
2020-07-09	30346	535			
2020-07-10	30903	546			
2020-07-11	31392	559			
2020-07-12	31969	565			
2020-07-13	32151	573			
2020-07-14	32490	581			
2020-07-15	33005	592			
2020-07-16	33559	607			
2020-07-17	34001	620			
2020-07-18	34462	631			
2020-07-19	34877	641			
2020-07-20	34981	650			
2020-07-21	35254	662			
2020-07-22	35693	678			
2020-07-23	36162	688			
2020-07-24	36613	692			
2020-07-25	36996	700			
2020-07-26	37317	705			
2020-07-27	37390	711			
2020-07-28	37629	719			
2020-07-29	37937	723			
2020-07-30	38196	728			
2020-07-31	38550	738			
2020-08-01	38841	749			
2020-08-02	39050	754			
2020-08-03	39102	762			
2020-08-04	39298	768			
2020-08-05	39586	770			
2020-08-06	39819	772			
