# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-31	2	0			
2020-02-01	2	0			
2020-02-02	2	0			
2020-02-03	2	0			
2020-02-04	2	0			
2020-02-05	2	0			
2020-02-06	2	0			
2020-02-07	2	0			
2020-02-08	2	0			
2020-02-09	2	0			
2020-02-10	2	0			
2020-02-11	2	0			
2020-02-12	2	0			
2020-02-13	2	0			
2020-02-14	2	0			
2020-02-15	2	0			
2020-02-16	2	0			
2020-02-17	2	0			
2020-02-18	2	0			
2020-02-19	2	0			
2020-02-20	2	0			
2020-02-21	2	0			
2020-02-22	2	0			
2020-02-23	2	0			
2020-02-24	2	0			
2020-02-25	2	0			
2020-02-26	2	0			
2020-02-27	2	0			
2020-02-28	2	0			
2020-02-29	2	0			
2020-03-01	2	0			
2020-03-02	3	0			
2020-03-03	3	0			
2020-03-04	3	0			
2020-03-05	4	0			
2020-03-06	13	0			
2020-03-07	13	0			
2020-03-08	17	0			
2020-03-09	17	0			
2020-03-10	20	0			
2020-03-11	20	0			
2020-03-12	28	0			
2020-03-13	45	0			
2020-03-14	59	0			
2020-03-15	63	0			
2020-03-16	90	0			
2020-03-17	114	0			
2020-03-18	147	0			
2020-03-19	199	1			
2020-03-20	253	1			
2020-03-21	306	1			
2020-03-22	367	1			
2020-03-23	438	1			
2020-03-24	495	1			
2020-03-25	658	3			
2020-03-26	840	3			
2020-03-27	1036	4			
2020-03-28	1264	4			
2020-03-29	1534	8			
2020-03-30	1836	9			
2020-03-31	2337	17			
2020-04-01	2777	24			
2020-04-02	3548	30			
2020-04-03	4149	34			
2020-04-04	4731	43			
2020-04-05	5389	45			
2020-04-06	6343	47			
2020-04-07	7497	58			
2020-04-08	8672	63			
2020-04-09	10131	76			
2020-04-10	11917	94			
2020-04-11	13584	106			
2020-04-12	15770	130			
2020-04-13	18328	148			
2020-04-14	21102	170			
2020-04-15	24490	198			
2020-04-16	27938	232			
2020-04-17	32008	273			
2020-04-18	36793	313			
2020-04-19	42853	361			
2020-04-20	47121	405			
2020-04-21	52763	456			
2020-04-22	57999	513			
2020-04-23	62773	555			
2020-04-24	68622	615			
2020-04-25	74588	681			
2020-04-26	80949	747			
2020-04-27	87147	794			
2020-04-28	93558	867			
2020-04-29	99399	972			
2020-04-30	106498	1073			
2020-05-01	114431	1169			
2020-05-02	124054	1222			
2020-05-03	134687	1280			
2020-05-04	145268	1356			
2020-05-05	155370	1451			
2020-05-06	165929	1537			
2020-05-07	177160	1625			
2020-05-08	187859	1723			
2020-05-09	198676	1827			
2020-05-10	209688	1915			
2020-05-11	221344	2009			
2020-05-12	232243	2116			
2020-05-13	242271	2212			
2020-05-14	252245	2305			
2020-05-15	262843	2418			
2020-05-16	272043	2537			
2020-05-17	281752	2631			
2020-05-18	290678	2722			
2020-05-19	299941	2837			
2020-05-20	308705	2972			
2020-05-21	317554	3099			
2020-05-22	326448	3249			
2020-05-23	335882	3388			
2020-05-24	344481	3541			
2020-05-25	353427	3633			
2020-05-26	362342	3807			
2020-05-27	370680	3968			
2020-05-28	379051	4142			
2020-05-29	387623	4374			
2020-05-30	396575	4555			
2020-05-31	405843	4693			
2020-06-01	414328	4849			
2020-06-02	423186	5031			
2020-06-03	431715	5208			
2020-06-04	440538	5376			
2020-06-05	449256	5520			
2020-06-06	458102	5717			
2020-06-07	467073	5851			
2020-06-08	476043	5963			
2020-06-09	484630	6134			
2020-06-10	493023	6350			
2020-06-11	501800	6522			
2020-06-12	510761	6705			
2020-06-13	519458	6819			
2020-06-14	528267	6938			
2020-06-15	536484	7081			
2020-06-16	544725	7274			
2020-06-17	552549	7468			
2020-06-18	560321	7650			
2020-06-19	568292	7831			
2020-06-20	576162	7992			
2020-06-21	583879	8101			
2020-06-22	591465	8196			
2020-06-23	598878	8349			
2020-06-24	606043	8503			
2020-06-25	613148	8594			
2020-06-26	619936	8770			
2020-06-27	626779	8958			
2020-06-28	633563	9060			
2020-06-29	640246	9152			
2020-06-30	646929	9306			
2020-07-01	653479	9521			
2020-07-02	660231	9668			
2020-07-03	666941	9844			
2020-07-04	673564	10011			
2020-07-05	680283	10145			
2020-07-06	686852	10280			
2020-07-07	693215	10478			
2020-07-08	699749	10650			
2020-07-09	706240	10826			
2020-07-10	712863	11000			
2020-07-11	719449	11188			
2020-07-12	726036	11318			
2020-07-13	732547	11422			
2020-07-14	738787	11597			
2020-07-15	745197	11753			
2020-07-16	751612	11920			
2020-07-17	758001	12106			
2020-07-18	764215	12228			
2020-07-19	770311	12323			
2020-07-20	776212	12408			
2020-07-21	782040	12561			
2020-07-22	787890	12726			
2020-07-23	793720	12873			
2020-07-24	799499	13026			
2020-07-25	805332	13172			
2020-07-26	811073	13249			
2020-07-27	816680	13334			
2020-07-28	822060	13483			
2020-07-29	827509	13650			
2020-07-30	832993	13778			
2020-07-31	838461	13939			
2020-08-01	843890	14034			
2020-08-02	849277	14104			
2020-08-03	854641	14183			
2020-08-04	859762	14327			
2020-08-05	864948	14465			
2020-08-06	870187	14579			
2020-08-07	875378	14698			
2020-08-08	880563	14827			
2020-08-09	885718	14903			
2020-08-10	890799	14973			
2020-08-11	895691	15103			
2020-08-12	900745	15231			
2020-08-13	905762	15353			
2020-08-14	910778	15467			
2020-08-15	915808	15585			
2020-08-16	920719	15653			
2020-08-17	925558	15707			
2020-08-18	930276	15836			
2020-08-19	935066	15951			
2020-08-20	939833	16058			
2020-08-21	944671	16148			
2020-08-22	949531	16268			
2020-08-23	954328	16341			
2020-08-24	959016	16406			
2020-08-25	963655	16524			
2020-08-26	968297	16638			
2020-08-27	972972	16758			
2020-08-28	977730	16866			
2020-08-29	982573	16977			
2020-08-30	987470	17045			
2020-08-31	992402	17128			
2020-09-01	997072	17250			
2020-09-02	1001965	17365			
2020-09-03	1006923	17479			
2020-09-04	1011987	17598			
2020-09-05	1017131	17707			
2020-09-06	1022228	17768			
2020-09-07	1027334	17818			
2020-09-08	1032354	17939			
2020-09-09	1037526	18080			
2020-09-10	1042836	18207			
2020-09-11	1048257	18309			
2020-09-12	1053663	18426			
2020-09-13	1059024	18517			
2020-09-14	1064438	18573			
2020-09-15	1069873	18723			
2020-09-16	1075485	18853			
2020-09-17	1081152	18996			
2020-09-18	1086955	19128			
2020-09-19	1092915	19270			
2020-09-20	1098958	19349			
2020-09-21	1105048	19420			
2020-09-22	1111157	19575			
2020-09-23	1117487	19720			
2020-09-24	1123976	19867			
2020-09-25	1131088	19973			
2020-09-26	1138509	20140			
2020-09-27	1146273	20239			
2020-09-28	1154299	20299			
2020-09-29	1162428	20456			
2020-09-30	1170799	20630			
2020-10-01	1179634	20796			
2020-10-02	1188928	20981			
2020-10-03	1198663	21153			
2020-10-04	1209039	21260			
2020-10-05	1219796	21375			
2020-10-06	1231277	21559			
2020-10-07	1242258	21755			
2020-10-08	1253603	21939			
2020-10-09	1265572	22137			
2020-10-10	1278245	22331			
2020-10-11	1291687	22471			
2020-10-12	1305093	22594			
2020-10-13	1318783	22834			
2020-10-14	1332824	23069			
2020-10-15	1346380	23350			
2020-10-16	1361317	23580			
2020-10-17	1376020	23857			
2020-10-18	1390824	24039			
2020-10-19	1406667	24205			
2020-10-20	1422775	24473			
2020-10-21	1438219	24786			
2020-10-22	1453923	25072			
2020-10-23	1471000	25353			
2020-10-24	1487260	25647			
2020-10-25	1503652	25875			
2020-10-26	1520800	26092			
2020-10-27	1537142	26409			
2020-10-28	1553028	26752			
2020-10-29	1570446	27111			
2020-10-30	1588433	27462			
2020-10-31	1606267	27787			
2020-11-01	1624648	28026			
2020-11-02	1642665	28264			
2020-11-03	1661096	28611			
2020-11-04	1680579	28996			
2020-11-05	1699695	29285			
2020-11-06	1720063	29654			
2020-11-07	1740172	30010			
2020-11-08	1760420	30292			
2020-11-09	1781997	30546			
2020-11-10	1802762	30899			
2020-11-11	1822345	31326			
2020-11-12	1843678	31755			
2020-11-13	1865395	32156			
2020-11-14	1887836	32536			
2020-11-15	1910149	32885			
2020-11-16	1932711	33184			
2020-11-17	1954912	33619			
2020-11-18	1975629	34068			
2020-11-19	1998966	34525			
2020-11-20	2023025	34980			
2020-11-21	2047563	35442			
2020-11-22	2071858	35838			
2020-11-23	2096749	36192			
2020-11-24	2120836	36675			
2020-11-25	2144229	37173			
2020-11-26	2169424	37688			
2020-11-27	2196691	38175			
2020-11-28	2223500	38676			
2020-11-29	2249890	39127			
2020-11-30	2275936	39491			
2020-12-01	2302062	40050			
2020-12-02	2327105	40630			
2020-12-03	2354934	41173			
2020-12-04	2382012	41730			
2020-12-05	2410462	42228			
2020-12-06	2439163	42675			
2020-12-07	2466961	43122			
2020-12-08	2492713	43674			
2020-12-09	2518551	44220			
2020-12-10	2546113	44769			
2020-12-11	2574319	45370			
2020-12-12	2602048	45923			
2020-12-13	2629699	46404			
2020-12-14	2656601	46846			
2020-12-15	2682866	47410			
2020-12-16	2708940	47994			
2020-12-17	2736727	48568			
2020-12-18	2764843	49170			
2020-12-19	2792615	49744			
2020-12-20	2821125	50242			
2020-12-21	2850042	50723			
2020-12-22	2878382	51274			
2020-12-23	2905196	51810			
2020-12-24	2934695	52434			
2020-12-25	2963290	52985			
2020-12-26	2992123	53539			
2020-12-27	3019972	54080			
2020-12-28	3047335	54559			
2020-12-29	3073923	55107			
2020-12-30	3100018	55692			
2020-12-31	3127347	56271			
2021-01-01	3153960	56798			
2021-01-02	3179898	57235			
2021-01-03	3203743	57730			
2021-01-04	3226758	58203			
2021-01-05	3250713	58706			
2021-01-06	3274615	59137			
2021-01-07	3297833	59628			
2021-01-08	3321163	60067			
2021-01-09	3344175	60523			
2021-01-10	3366715	60963			
2021-01-11	3389733	61389			
2021-01-12	3412390	61908			
2021-01-13	3434934	62463			
2021-01-14	3459237	63016			
2021-01-15	3483531	63558			
2021-01-16	3507201	64134			
2021-01-17	3530379	64601			
2021-01-18	3552888	65059			
2021-01-19	3574330	65632			
2021-01-20	3595136	66214			
2021-01-21	3616680	66810			
2021-01-22	3637862	67376			
2021-01-23	3658447	67919			
2021-01-24	3679247	68397			
2021-01-25	3698246	68841			
2021-01-26	3716228	69391			
2021-01-27	3733692	69971			
