# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	1	0			
2020-02-11	1	0			
2020-02-12	1	0			
2020-02-13	1	0			
2020-02-14	1	0			
2020-02-15	1	0			
2020-02-16	1	0			
2020-02-17	1	0			
2020-02-18	1	0			
2020-02-19	1	0			
2020-02-20	1	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	2	0			
2020-03-02	8	0			
2020-03-03	13	0			
2020-03-04	23	0			
2020-03-05	50	0			
2020-03-06	109	0			
2020-03-07	169	0			
2020-03-08	200	0			
2020-03-09	239	0			
2020-03-10	267	0			
2020-03-11	314	3			
2020-03-12	314	3			
2020-03-13	559	3			
2020-03-14	689	4			
2020-03-15	886	4			
2020-03-16	1058	5			
2020-03-17	1243	10			
2020-03-18	1486	14			
2020-03-19	1795	21			
2020-03-20	2257	37			
2020-03-21	2815	67			
2020-03-22	3401	75			
2020-03-23	3743	88			
2020-03-24	4269	122			
2020-03-25	4937	178			
2020-03-26	6235	220			
2020-03-27	7284	289			
2020-03-28	9134	353			
2020-03-29	10836	431			
2020-03-30	11899	513			
2020-03-31	12775	705			
2020-04-01	13964	828			
2020-04-02	15348	1011			
2020-04-03	16770	1143			
2020-04-04	18431	1283			
2020-04-05	19691	1447			
2020-04-06	20814	1632			
2020-04-07	22194	2035			
2020-04-08	23403	2240			
2020-04-09	24983	2523			
2020-04-10	26667	3019			
2020-04-11	28018	3346			
2020-04-12	29647	3600			
2020-04-13	30589	3903			
2020-04-14	31119	4157			
2020-04-15	33573	4440			
2020-04-16	34809	4857			
2020-04-17	36138	5163			
2020-04-18	37183	5453			
2020-04-19	38496	5683			
2020-04-20	39983	5828			
2020-04-21	40956	5998			
2020-04-22	41889	6262			
2020-04-23	42797	6490			
2020-04-24	44293	6679			
2020-04-25	45325	6917			
2020-04-26	46134	7094			
2020-04-27	46687	7207			
2020-04-28	47334	7331			
2020-04-29	47859	7501			
2020-04-30	48519	7594			
2020-05-01	49032	7703			
2020-05-02	49517	7765			
2020-05-03	49906	7844			
2020-05-04	50267	7924			
2020-05-05	50509	8016			
2020-05-06	50781	8339			
2020-05-07	51420	8415			
2020-05-08	52011	8521			
2020-05-09	52596	8581			
2020-05-10	53081	8656			
2020-05-11	53449	8707			
2020-05-12	53779	8761			
2020-05-13	53981	8843			
2020-05-14	54288	8903			
2020-05-15	54644	8959			
2020-05-16	54989	9005			
2020-05-17	55280	9052			
2020-05-18	55559	9080			
2020-05-19	55791	9108			
2020-05-20	55983	9150			
2020-05-21	56235	9186			
2020-05-22	56511	9212			
2020-05-23	56810	9237			
2020-05-24	57092	9280			
2020-05-25	57342	9312			
2020-05-26	57455	9334			
2020-05-27	57592	9364			
2020-05-28	57849	9388			
2020-05-29	58061	9430			
2020-05-30	58186	9453			
2020-05-31	58381	9467			
2020-06-01	58517	9486			
2020-06-02	58615	9505			
2020-06-03	58685	9522			
2020-06-04	58767	9548			
2020-06-05	58907	9566			
2020-06-06	59072	9580			
2020-06-07	59226	9595			
2020-06-08	59348	9606			
2020-06-09	59437	9619			
2020-06-10	59569	9629			
2020-06-11	59711	9636			
2020-06-12	59819	9646			
2020-06-13	59918	9650			
2020-06-14	60029	9655			
2020-06-15	60100	9661			
2020-06-16	60155	9663			
2020-06-17	60244	9675			
2020-06-18	60348	9683			
2020-06-19	60476	9695			
