# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	8	0			
2020-03-16	17	0			
2020-03-17	34	0			
2020-03-18	52	0			
2020-03-19	69	0			
2020-03-20	85	0			
2020-03-21	85	0			
2020-03-22	112	0			
2020-03-23	127	0			
2020-03-24	154	0			
2020-03-25	172	0			
2020-03-26	212	0			
2020-03-27	235	1			
2020-03-28	246	1			
2020-03-29	259	3			
2020-03-30	268	5			
2020-03-31	274	5			
2020-04-01	278	5			
2020-04-02	299	5			
2020-04-03	310	5			
2020-04-04	323	5			
2020-04-05	345	5			
2020-04-06	349	6			
2020-04-07	353	6			
2020-04-08	358	6			
2020-04-09	372	7			
2020-04-10	372	7			
2020-04-11	381	7			
2020-04-12	389	7			
2020-04-13	391	7			
2020-04-14	397	7			
2020-04-15	401	7			
2020-04-16	402	7			
2020-04-17	407	7			
2020-04-18	413	7			
2020-04-19	417	7			
2020-04-20	425	7			
2020-04-21	428	7			
2020-04-22	435	7			
2020-04-23	437	7			
2020-04-24	441	7			
2020-04-25	444	7			
2020-04-26	447	7			
2020-04-27	449	7			
2020-04-28	449	8			
2020-04-29	451	8			
2020-04-30	453	8			
2020-05-01	459	8			
2020-05-02	460	9			
2020-05-03	461	9			
2020-05-04	465	9			
2020-05-05	471	9			
2020-05-06	473	9			
2020-05-07	494	9			
2020-05-08	508	9			
2020-05-09	522	9			
2020-05-10	540	9			
2020-05-11	562	9			
2020-05-12	576	9			
2020-05-13	582	9			
2020-05-14	586	9			
2020-05-15	596	9			
2020-05-16	607	9			
2020-05-17	613	9			
2020-05-18	629	9			
2020-05-19	649	9			
2020-05-20	672	9			
2020-05-21	684	9			
2020-05-22	700	9			
2020-05-23	704	9			
2020-05-24	708	9			
2020-05-25	711	9			
2020-05-26	718	9			
2020-05-27	720	9			
2020-05-28	728	9			
2020-05-29	730	9			
2020-05-30	734	9			
2020-05-31	739	9			
2020-06-01	746	9			
2020-06-02	755	9			
2020-06-03	757	9			
2020-06-04	765	9			
2020-06-05	784	9			
2020-06-06	795	9			
2020-06-07	808	9			
2020-06-08	831	9			
2020-06-09	845	9			
2020-06-10	863	9			
2020-06-11	890	9			
2020-06-12	915	9			
2020-06-13	953	9			
2020-06-14	961	9			
2020-06-15	979	9			
2020-06-16	981	9			
2020-06-17	987	9			
2020-06-18	1001	9			
2020-06-19	1008	9			
2020-06-20	1015	9			
2020-06-21	1033	9			
2020-06-22	1042	9			
2020-06-23	1047	9			
2020-06-24	1071	9			
2020-06-25	1086	9			
2020-06-26	1104	9			
2020-06-27	1111	9			
2020-06-28	1121	9			
2020-06-29	1128	9			
2020-06-30	1132	9			
2020-07-01	1133	9			
2020-07-02	1136	9			
2020-07-03	1147	10			
2020-07-04	1150	10			
2020-07-05	1164	10			
2020-07-06	1167	10			
2020-07-07	1169	10			
2020-07-08	1169	10			
2020-07-09	1169	10			
2020-07-10	1173	10			
2020-07-11	1176	10			
2020-07-12	1179	10			
2020-07-13	1183	10			
2020-07-14	1198	10			
2020-07-15	1201	10			
2020-07-16	1206	10			
2020-07-17	1209	10			
2020-07-18	1214	11			
2020-07-19	1218	11			
2020-07-20	1223	11			
2020-07-21	1113	11			
2020-07-22	1120	11			
2020-07-23	1131	11			
2020-07-24	1146	11			
2020-07-25	1154	11			
2020-07-26	1168	11			
2020-07-27	1176	11			
2020-07-28	1182	11			
2020-07-29	1187	11			
2020-07-30	1191	11			
2020-07-31	1193	11			
2020-08-01	1208	11			
2020-08-02	1213	11			
2020-08-03	1218	11			
2020-08-04	1224	11			
2020-08-05	1231	11			
2020-08-06	1232	11			
2020-08-07	1237	11			
2020-08-08	1246	11			
2020-08-09	1252	11			
2020-08-10	1268	11			
2020-08-11	1283	11			
2020-08-12	1303	11			
2020-08-13	1320	11			
2020-08-14	1329	11			
2020-08-15	1339	11			
2020-08-16	1378	11			
2020-08-17	1398	11			
2020-08-18	1438	11			
2020-08-19	1482	11			
2020-08-20	1498	11			
2020-08-21	1532	11			
2020-08-22	1576	11			
2020-08-23	1609	12			
2020-08-24	1639	14			
2020-08-25	1716	14			
2020-08-26	1756	15			
2020-08-27	1801	15			
2020-08-28	1869	15			
2020-08-29	1893	15			
2020-08-30	1966	15			
2020-08-31	2034	15			
2020-09-01	2097	15			
2020-09-02	2161	15			
2020-09-03	2233	15			
2020-09-04	2301	16			
2020-09-05	2353	16			
2020-09-06	2411	16			
2020-09-07	2478	17			
2020-09-08	2581	19			
2020-09-09	2659	19			
2020-09-10	2739	20			
2020-09-11	2945	21			
2020-09-12	3062	22			
2020-09-13	3314	24			
2020-09-14	3528	26			
2020-09-15	3677	26			
2020-09-16	3852	26			
2020-09-17	4131	26			
2020-09-18	4344	29			
2020-09-19	4540	30			
2020-09-20	4779	30			
2020-09-21	5045	32			
2020-09-22	5679	33			
2020-09-23	6042	35			
2020-09-24	6591	36			
2020-09-25	7211	39			
2020-09-26	8061	43			
2020-09-27	8492	45			
2020-09-28	9226	51			
2020-09-29	10049	57			
2020-09-30	11825	61			
2020-10-01	13101	69			
2020-10-02	13650	79			
2020-10-03	14749	88			
2020-10-04	15640	101			
2020-10-05	17464	110			
2020-10-06	19001	122			
2020-10-07	20200	131			
2020-10-08	21517	144			
2020-10-09	22763	166			
2020-10-10	23998	181			
2020-10-11	24926	191			
2020-10-12	26073	207			
2020-10-13	28127	225			
2020-10-14	30550	257			
2020-10-15	33009	282			
2020-10-16	34548	310			
2020-10-17	36053	330			
2020-10-18	37573	345			
2020-10-19	38937	380			
2020-10-20	40972	414			
2020-10-21	43620	443			
2020-10-22	46441	481			
2020-10-23	48930	508			
2020-10-24	50750	540			
2020-10-25	53087	579			
2020-10-26	55055	624			
2020-10-27	58855	668			
2020-10-28	61942	700			
2020-10-29	65385	740			
2020-10-30	69306	772			
2020-10-31	72607	829			
2020-11-01	75866	866			
2020-11-02	81743	913			
2020-11-03	86576	967			
2020-11-04	91234	1029			
2020-11-05	95864	1069			
2020-11-06	101248	1136			
2020-11-07	104802	1181			
2020-11-08	109321	1233			
2020-11-09	114986	1295			
2020-11-10	120982	1386			
2020-11-11	126401	1467			
2020-11-12	132086	1547			
2020-11-13	136555	1618			
2020-11-14	141305	1704			
2020-11-15	143678	1772			
2020-11-16	149539	1843			
2020-11-17	155993	1909			
2020-11-18	163926	1969			
2020-11-19	169395	2053			
2020-11-20	174335	2116			
2020-11-21	178161	2172			
2020-11-22	183429	2236			
2020-11-23	188410	2302			
2020-11-24	192996	2380			
2020-11-25	198021	2442			
2020-11-26	203021	2509			
2020-11-27	207601	2570			
2020-11-28	210709	2626			
2020-11-29	214307	2694			
2020-11-30	219430	2751			
2020-12-01	223617	2802			
2020-12-02	227208	2854			
2020-12-03	231237	2909			
2020-12-04	234353	2960			
2020-12-05	237513	3010			
2020-12-06	240089	3056			
2020-12-07	244069	3116			
2020-12-08	247131	3162			
2020-12-09	250219	3206			
2020-12-10	253121	3250			
2020-12-11	255459	3286			
2020-12-12	257275	3335			
2020-12-13	259614	3365			
2020-12-14	262477	3407			
2020-12-15	265024	3437			
2020-12-16	267585	3465			
2020-12-17	269806	3496			
2020-12-18	271514	3518			
2020-12-19	272797	3545			
2020-12-20	274949	3568			
2020-12-21	277448	3604			
2020-12-22	279892	3627			
2020-12-23	281983	3652			
2020-12-24	283690	3681			
2020-12-25	285306	3711			
2020-12-26	286356	3729			
2020-12-27	287946	3758			
2020-12-28	289748	3778			
2020-12-29	291393	3801			
2020-12-30	293067	3815			
2020-12-31	294494	3834			
2021-01-01	295765	3851			
2021-01-02	296668	3877			
2021-01-03	298208	3903			
2021-01-04	299831	3919			
2021-01-05	301303	3940			
2021-01-06	302856	3955			
2021-01-07	304071	3968			
2021-01-08	305163	3989			
2021-01-09	305959	4009			
2021-01-10	307209	4024			
2021-01-11	308670	4043			
2021-01-12	309846	4076			
2021-01-13	310968	4091			
2021-01-14	312043	4107			
2021-01-15	312851	4121			
2021-01-16	313557	4137			
2021-01-17	314514	4145			
2021-01-18	315544	4153			
2021-01-19	316427	4170			
2021-01-20	317405	4187			
2021-01-21	318181	4198			
2021-01-22	318911	4207			
2021-01-23	319519	4217			
2021-01-24	320453	4224			
2021-01-25	321298	4239			
2021-01-26	322241	4248			
2021-01-27	323111	4262			
