# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	2	0			
2020-03-27	3	0			
2020-03-28	3	0			
2020-03-29	3	0			
2020-03-30	3	0			
2020-03-31	5	0			
2020-04-01	5	0			
2020-04-02	5	0			
2020-04-03	7	0			
2020-04-04	7	0			
2020-04-05	7	0			
2020-04-06	7	0			
2020-04-07	8	0			
2020-04-08	12	1			
2020-04-09	12	1			
2020-04-10	21	1			
2020-04-11	21	1			
2020-04-12	25	1			
2020-04-13	60	2			
2020-04-14	60	2			
2020-04-15	80	5			
2020-04-16	80	5			
2020-04-17	116	6			
2020-04-18	135	7			
2020-04-19	164	7			
2020-04-20	237	8			
2020-04-21	286	8			
2020-04-22	286	8			
2020-04-23	328	16			
2020-04-24	328	16			
2020-04-25	390	18			
2020-04-26	436	23			
2020-04-27	480	26			
2020-04-28	528	28			
2020-04-29	582	28			
2020-04-30	601	28			
2020-05-01	601	28			
2020-05-02	671	31			
2020-05-03	722	32			
2020-05-04	756	35			
2020-05-05	835	38			
2020-05-06	873	39			
2020-05-07	928	44			
2020-05-08	928	44			
2020-05-09	997	48			
2020-05-10	1054	51			
2020-05-11	1089	52			
2020-05-12	1170	52			
2020-05-13	1219	52			
2020-05-14	1284	53			
2020-05-15	1284	53			
2020-05-16	1357	55			
2020-05-17	1421	56			
2020-05-18	1455	57			
2020-05-19	1502	59			
2020-05-20	1573	61			
2020-05-21	1594	61			
2020-05-22	1594	61			
2020-05-23	1594	61			
2020-05-24	1594	61			
2020-05-25	1689	66			
2020-05-26	1711	67			
2020-05-27	1731	67			
2020-05-28	1828	72			
2020-05-29	1828	72			
2020-05-30	1916	73			
2020-05-31	1976	78			
2020-06-01	2023	79			
2020-06-02	2089	79			
2020-06-03	2146	79			
2020-06-04	2204	79			
2020-06-05	2204	79			
2020-06-06	2289	82			
2020-06-07	2334	83			
2020-06-08	2368	84			
2020-06-09	2416	85			
