# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	2	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	2	0	0	0	0
2020-03-05	3	0	0	0	0
2020-03-06	4	0	0	0	0
2020-03-07	5	0	0	0	0
2020-03-08	8	0	0	0	0
2020-03-09	10	0	0	0	0
2020-03-10	15	0	0	0	0
2020-03-11	20	0	0	0	0
2020-03-12	26	0	0	0	0
2020-03-13	34	0	0	0	0
2020-03-14	41	0	0	0	0
2020-03-15	70	0	0	0	0
2020-03-16	95	0	0	0	0
2020-03-17	106	0	0	0	0
2020-03-18	120	0	0	0	0
2020-03-19	136	0	0	0	0
2020-03-20	157	0	0	0	0
2020-03-21	173	0	0	0	0
2020-03-22	177	0	0	0	0
2020-03-23	192	0	0	0	0
2020-03-24	205	1	0	0	0
2020-03-25	222	1	0	0	0
2020-03-26	241	2	0	0	0
2020-03-27	252	2	0	0	0
2020-03-28	264	2	0	0	0
2020-03-29	282	2	0	0	0
2020-03-30	296	2	0	0	0
2020-03-31	310	2	0	0	0
2020-04-01	327	3	0	0	0
2020-04-02	337	4	0	0	0
2020-04-03	352	4	0	0	0
2020-04-04	361	4	0	0	0
2020-04-05	365	4	0	0	0
2020-04-06	375	5	0	0	0
2020-04-07	384	6	0	0	0
2020-04-08	395	7	0	0	0
2020-04-09	410	7	0	0	0
2020-04-10	418	7	0	0	0
2020-04-11	423	7	0	0	0
2020-04-12	430	8	0	0	0
2020-04-13	442	9	1	0	0
2020-04-14	453	9	19	36	0
2020-04-15	463	9	14	41	0
2020-04-16	472	10	16	41	0
2020-04-17	479	10	15	40	0
2020-04-18	487	10	7	41	0
2020-04-19	495	11	5	38	0
2020-04-20	503	11	10	23	0
2020-04-21	509	12	26	34	0
2020-04-22	520	12	15	30	0
2020-04-23	528	12	17	32	0
2020-04-24	538	13	13	34	0
2020-04-25	544	14	16	33	0
2020-04-26	554	16	13	35	0
2020-04-27	566	16	14	32	0
2020-04-28	575	16	18	34	0
2020-04-29	585	17	19	35	0
2020-04-30	594	17	18	30	0
2020-05-01	609	17	15	29	0
2020-05-02	618	18	14	32	0
2020-05-03	635	20	11	34	0
2020-05-04	654	20	33	34	0
2020-05-05	670	21	37	26	0
2020-05-06	687	21	35	29	0
2020-05-07	713	21	37	37	0
2020-05-08	741	22	29	34	0
2020-05-09	762	22	30	35	0
2020-05-10	786	22	32	43	0
2020-05-11	810	24	25	35	0
2020-05-12	831	26	27	35	0
2020-05-13	854	29	29	34	0
2020-05-14	892	30	41	32	0
2020-05-15	930	30	43	42	0
2020-05-16	959	31	41	45	0
2020-05-17	986	31	64	42	0
2020-05-18	1023	35	41	46	0
2020-05-19	1053	37	56	45	0
2020-05-20	1088	37	47	43	0
2020-05-21	1106	38	53	45	0
2020-05-22	1149	39	53	48	0
2020-05-23	1177	41	54	49	0
2020-05-24	1207	46	60	47	0
2020-05-25	1257	48	61	45	0
2020-05-26	1284	49	64	45	0
2020-05-27	1310	50	63	48	0
2020-05-28	1347	51	59	47	0
2020-05-29	1388	52	61	46	0
2020-05-30	1425	54	59	51	0
2020-05-31	1454	56	60	50	0
2020-06-01	1555	59	67	43	0
2020-06-02	1619	62	71	45	0
2020-06-03	1722	63	78	49	0
2020-06-04	1830	64	88	47	0
2020-06-05	1917	66	94	51	0
2020-06-06	2014	66	80	50	0
2020-06-07	2086	68	85	54	0
2020-06-08	2176	73	81	62	0
2020-06-09	2287	75	81	63	0
2020-06-10	2407	79	101	69	0
2020-06-11	2489	81	93	63	0
2020-06-12	2566	82	108	69	0
2020-06-13	2634	86	111	75	0
2020-06-14	2705	87	104	78	0
2020-06-15	2814	92	108	86	0
2020-06-16	2903	94	113	81	0
2020-06-17	3070	101	135	80	0
2020-06-18	3177	107	144	80	0
2020-06-19	3294	112	144	87	0
2020-06-20	3434	114	151	93	0
2020-06-21	3548	118	165	99	0
2020-06-22	3686	122	164	105	0
2020-06-23	3795	127	182	105	0
2020-06-24	3900	133	190	113	0
2020-06-25	3988	135	196	124	0
2020-06-26	4081	136	209	126	0
2020-06-27	4135	144	234	128	0
2020-06-28	4190	155	211	140	0
2020-06-29	4222	161	239	145	0
2020-06-30	4271	166	215	146	0
2020-07-01	4300	171	221	154	0
2020-07-02	4313	177	219	170	0
2020-07-03	4321	191	235	181	0
2020-07-04	4322	196	280	183	0
2020-07-05	4322	206	287	188	0
2020-07-06	4322	210	305	190	0
2020-07-07	4322	210	0	0	0
