# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	1	0	0	0	0
2020-03-14	1	0	0	0	0
2020-03-15	2	0	0	0	0
2020-03-16	7	0	0	0	0
2020-03-17	10	0	0	0	0
2020-03-18	13	0	0	0	0
2020-03-19	13	0	0	0	0
2020-03-20	14	0	0	0	0
2020-03-21	16	0	0	0	0
2020-03-22	16	0	0	0	0
2020-03-23	16	0	0	0	0
2020-03-24	17	0	0	0	0
2020-03-25	18	0	0	0	0
2020-03-26	20	0	0	0	0
2020-03-27	21	0	0	0	0
2020-03-28	22	0	0	0	0
2020-03-29	22	0	0	0	0
2020-03-30	23	0	0	0	0
2020-03-31	24	0	0	0	0
2020-04-01	24	0	0	0	0
2020-04-02	25	0	0	0	0
2020-04-03	25	0	0	0	0
2020-04-04	26	0	0	0	0
2020-04-05	27	0	0	0	0
2020-04-06	30	0	0	0	0
2020-04-07	30	0	1	0	0
2020-04-08	31	0	1	0	0
2020-04-09	33	0	1	1	0
2020-04-10	35	0	0	1	0
2020-04-11	37	0	1	2	0
2020-04-12	40	0	1	2	0
2020-04-13	41	0	0	1	0
2020-04-14	44	0	0	2	0
2020-04-15	44	0	0	2	0
2020-04-16	45	0	1	2	0
2020-04-17	47	0	1	2	0
2020-04-18	48	0	1	2	0
2020-04-19	48	0	4	1	0
2020-04-20	49	0	0	4	0
2020-04-21	51	0	4	1	0
2020-04-22	53	0	4	0	0
2020-04-23	54	0	4	1	0
2020-04-24	55	0	4	0	0
2020-04-25	57	0	5	1	0
2020-04-26	58	0	4	0	0
2020-04-27	58	0	5	0	0
2020-04-28	59	0	7	3	0
2020-04-29	61	0	2	3	0
2020-04-30	62	1	2	3	0
2020-05-01	65	1	1	3	0
2020-05-02	66	1	1	3	0
2020-05-03	69	1	1	3	0
2020-05-04	72	2	1	4	0
2020-05-05	76	2	1	5	0
2020-05-06	77	2	1	6	0
2020-05-07	81	2	3	7	0
2020-05-08	83	2	3	7	0
2020-05-09	86	2	2	9	0
2020-05-10	90	2	2	9	0
2020-05-11	95	2	1	10	0
2020-05-12	107	2	1	10	0
2020-05-13	109	3	3	10	0
2020-05-14	122	4	5	9	0
2020-05-15	130	5	7	8	0
2020-05-16	135	5	8	7	0
2020-05-17	148	5	11	8	0
2020-05-18	157	5	9	8	0
2020-05-19	166	5	11	8	0
2020-05-20	170	6	15	8	0
2020-05-21	178	7	20	6	0
2020-05-22	183	7	22	7	0
2020-05-23	188	7	24	7	0
2020-05-24	200	8	23	7	0
2020-05-25	210	8	23	5	0
2020-05-26	225	8	19	7	0
2020-05-27	233	8	18	10	0
2020-05-28	247	8	13	14	0
2020-05-29	258	8	13	16	0
2020-05-30	271	8	16	14	0
2020-05-31	284	8	21	17	0
2020-06-01	296	9	18	17	0
2020-06-02	311	9	26	16	0
2020-06-03	322	10	22	14	0
2020-06-04	338	12	20	14	0
2020-06-05	365	13	26	13	0
2020-06-06	388	14	26	15	0
2020-06-07	404	15	22	19	0
2020-06-08	429	17	17	19	0
2020-06-09	455	20	18	21	0
2020-06-10	482	22	25	27	0
2020-06-11	500	22	29	29	0
2020-06-12	522	25	30	24	0
2020-06-13	536	26	30	31	0
2020-06-14	550	27	35	28	0
2020-06-15	567	28	38	26	0
2020-06-16	580	33	36	24	0
2020-06-17	595	35	35	26	0
2020-06-18	613	36	32	30	0
2020-06-19	630	38	35	22	0
2020-06-20	648	40	53	21	0
2020-06-21	663	40	47	19	0
2020-06-22	679	43	52	22	0
2020-06-23	685	44	39	18	0
2020-06-24	699	46	43	17	0
2020-06-25	708	47	30	20	0
2020-06-26	723	48	33	19	0
2020-06-27	732	48	29	19	0
2020-06-28	746	48	28	18	0
2020-06-29	754	48	24	19	0
2020-06-30	762	48	20	21	0
2020-07-01	767	48	19	20	0
2020-07-02	769	48	29	20	0
2020-07-03	769	48	20	17	0
2020-07-04	770	49	22	19	0
2020-07-05	770	50	18	16	0
2020-07-06	770	51	17	17	0
2020-07-07	770	51	0	0	0
