# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	1	0	0	0	0
2020-03-14	3	0	0	0	0
2020-03-15	3	0	0	0	0
2020-03-16	6	0	0	0	0
2020-03-17	10	0	0	0	0
2020-03-18	10	0	0	0	0
2020-03-19	11	0	0	0	0
2020-03-20	11	0	0	0	0
2020-03-21	11	0	0	0	0
2020-03-22	11	0	0	0	0
2020-03-23	11	0	0	0	0
2020-03-24	12	0	0	0	0
2020-03-25	12	0	0	0	0
2020-03-26	17	0	0	0	0
2020-03-27	18	0	0	0	0
2020-03-28	18	0	0	0	0
2020-03-29	18	0	0	0	0
2020-03-30	19	0	0	0	0
2020-03-31	21	0	0	0	0
2020-04-01	22	0	0	0	0
2020-04-02	24	0	0	0	0
2020-04-03	24	0	0	0	0
2020-04-04	24	0	0	0	0
2020-04-05	24	0	0	0	0
2020-04-06	24	0	0	0	0
2020-04-07	26	0	0	0	0
2020-04-08	27	0	0	0	0
2020-04-09	27	0	0	0	0
2020-04-10	27	0	0	0	0
2020-04-11	27	0	0	1	0
2020-04-12	28	0	0	1	0
2020-04-13	29	0	0	2	0
2020-04-14	31	0	0	2	0
2020-04-15	31	0	1	2	0
2020-04-16	31	0	1	2	0
2020-04-17	32	0	1	1	0
2020-04-18	32	0	1	1	0
2020-04-19	32	0	1	1	0
2020-04-20	32	0	1	1	0
2020-04-21	33	0	1	1	0
2020-04-22	33	0	1	1	0
2020-04-23	33	0	0	1	0
2020-04-24	33	0	0	2	0
2020-04-25	34	0	0	2	0
2020-04-26	35	0	0	2	0
2020-04-27	38	0	1	2	0
2020-04-28	38	0	2	1	0
2020-04-29	38	0	1	1	0
2020-04-30	40	1	1	0	0
2020-05-01	42	1	1	0	0
2020-05-02	44	1	1	0	0
2020-05-03	46	1	0	0	0
2020-05-04	50	1	5	0	0
2020-05-05	52	1	0	0	0
2020-05-06	54	1	0	0	0
2020-05-07	57	1	0	0	0
2020-05-08	58	1	0	0	0
2020-05-09	60	1	0	0	0
2020-05-10	63	1	0	0	0
2020-05-11	65	1	0	1	0
2020-05-12	66	1	0	1	0
2020-05-13	68	1	0	1	0
2020-05-14	70	1	2	1	0
2020-05-15	73	1	2	1	0
2020-05-16	74	1	3	0	0
2020-05-17	78	1	3	0	0
2020-05-18	80	1	1	0	0
2020-05-19	80	1	2	0	0
2020-05-20	81	1	2	1	0
2020-05-21	81	1	3	1	0
2020-05-22	84	1	1	1	0
2020-05-23	85	1	1	1	0
2020-05-24	87	1	2	1	0
2020-05-25	87	1	1	1	0
2020-05-26	89	1	5	2	0
2020-05-27	89	1	5	2	0
2020-05-28	91	1	5	2	0
2020-05-29	93	1	6	2	0
2020-05-30	95	1	6	2	0
2020-05-31	97	1	4	2	0
2020-06-01	103	1	7	2	0
2020-06-02	109	1	6	2	0
2020-06-03	110	1	1	3	0
2020-06-04	120	1	2	3	0
2020-06-05	127	2	0	3	0
2020-06-06	131	2	1	2	0
2020-06-07	135	2	1	2	0
2020-06-08	138	2	2	2	0
2020-06-09	145	2	3	2	0
2020-06-10	151	3	4	2	0
2020-06-11	154	3	3	2	0
2020-06-12	159	3	2	2	0
2020-06-13	171	3	2	2	0
2020-06-14	181	3	2	3	0
2020-06-15	196	3	3	3	0
2020-06-16	202	3	5	2	0
2020-06-17	210	3	3	3	0
2020-06-18	221	3	8	1	0
2020-06-19	226	3	7	1	0
2020-06-20	235	4	5	1	0
2020-06-21	246	4	6	1	0
2020-06-22	257	6	6	3	0
2020-06-23	258	6	5	9	0
2020-06-24	260	6	8	8	0
2020-06-25	262	6	8	9	0
2020-06-26	263	6	7	8	0
2020-06-27	264	7	10	8	0
2020-06-28	264	10	16	10	0
2020-06-29	264	11	14	8	0
2020-06-30	264	13	13	7	0
2020-07-01	264	14	15	10	0
2020-07-02	264	14	0	0	0
