# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	2	0	0	0	0
2020-03-15	2	0	0	0	0
2020-03-16	3	0	0	0	0
2020-03-17	3	0	0	0	0
2020-03-18	3	0	0	0	0
2020-03-19	4	0	0	0	0
2020-03-20	4	0	0	0	0
2020-03-21	4	0	0	0	0
2020-03-22	4	0	0	0	0
2020-03-23	4	0	0	0	0
2020-03-24	4	0	0	0	0
2020-03-25	5	0	0	0	0
2020-03-26	5	0	0	0	0
2020-03-27	5	0	0	0	0
2020-03-28	5	0	0	0	0
2020-03-29	5	0	0	0	0
2020-03-30	5	0	0	0	0
2020-03-31	5	0	0	0	0
2020-04-01	5	0	0	0	0
2020-04-02	5	0	0	0	0
2020-04-03	5	0	0	0	0
2020-04-04	5	0	0	0	0
2020-04-05	5	0	0	0	0
2020-04-06	6	0	0	0	0
2020-04-07	6	0	0	0	0
2020-04-08	6	0	0	0	0
2020-04-09	6	0	0	0	0
2020-04-10	6	0	0	0	0
2020-04-11	6	0	0	0	0
2020-04-12	6	0	0	0	0
2020-04-13	6	0	0	0	0
2020-04-14	6	0	0	0	0
2020-04-15	7	0	0	0	0
2020-04-16	8	0	0	0	0
2020-04-17	8	0	0	0	0
2020-04-18	9	0	0	0	0
2020-04-19	10	0	0	0	0
2020-04-20	10	0	0	0	0
2020-04-21	10	0	0	0	0
2020-04-22	11	0	0	0	0
2020-04-23	11	0	2	0	0
2020-04-24	13	0	1	1	0
2020-04-25	13	0	1	1	0
2020-04-26	13	0	1	2	0
2020-04-27	13	0	2	2	0
2020-04-28	14	0	6	2	0
2020-04-29	15	0	4	2	0
2020-04-30	15	0	4	2	0
2020-05-01	16	0	2	2	0
2020-05-02	17	0	2	2	0
2020-05-03	19	0	3	2	0
2020-05-04	20	1	3	2	0
2020-05-05	24	1	3	2	0
2020-05-06	24	1	2	2	0
2020-05-07	26	1	3	2	0
2020-05-08	27	1	1	4	0
2020-05-09	27	2	3	4	0
2020-05-10	30	2	5	3	0
2020-05-11	33	2	2	6	0
2020-05-12	35	2	3	4	0
2020-05-13	38	2	1	4	0
2020-05-14	42	2	6	4	0
2020-05-15	45	2	8	4	0
2020-05-16	51	2	7	4	0
2020-05-17	55	2	10	2	0
2020-05-18	57	2	4	6	0
2020-05-19	61	2	7	5	0
2020-05-20	73	2	6	5	0
2020-05-21	77	2	11	4	0
2020-05-22	78	2	7	4	0
2020-05-23	81	2	6	3	0
2020-05-24	86	2	5	4	0
2020-05-25	96	2	4	4	0
2020-05-26	99	2	9	4	0
2020-05-27	102	2	9	5	0
2020-05-28	106	2	13	4	0
2020-05-29	107	2	14	4	0
2020-05-30	111	2	16	4	0
2020-05-31	120	3	12	5	0
2020-06-01	124	3	10	6	0
2020-06-02	132	4	13	5	0
2020-06-03	134	4	11	5	0
2020-06-04	137	4	12	6	0
2020-06-05	140	4	16	6	0
2020-06-06	141	5	14	6	0
2020-06-07	142	5	15	6	0
2020-06-08	146	5	13	8	0
2020-06-09	147	5	10	8	0
2020-06-10	151	5	10	8	0
2020-06-11	152	5	10	5	0
2020-06-12	154	5	7	4	0
2020-06-13	155	5	6	3	0
2020-06-14	158	5	8	4	0
2020-06-15	166	5	8	3	0
2020-06-16	171	5	7	3	0
2020-06-17	177	5	7	7	0
2020-06-18	185	7	5	6	0
2020-06-19	191	7	5	7	0
2020-06-20	197	7	5	8	0
2020-06-21	208	8	4	7	0
2020-06-22	211	8	8	7	0
2020-06-23	218	9	7	7	0
2020-06-24	223	9	9	6	0
2020-06-25	229	9	10	6	0
2020-06-26	235	10	7	5	0
2020-06-27	239	10	5	5	0
2020-06-28	240	11	7	3	0
2020-06-29	246	11	8	5	0
2020-06-30	248	11	9	5	0
2020-07-01	249	11	8	6	0
2020-07-02	249	12	11	6	0
2020-07-03	249	12	10	7	0
2020-07-04	249	12	10	8	0
2020-07-05	249	12	8	8	0
2020-07-06	249	12	11	7	0
2020-07-07	249	13	0	0	0
