# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	2	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	2	0	0	0	0
2020-03-05	3	0	0	0	0
2020-03-06	4	0	0	0	0
2020-03-07	5	0	0	0	0
2020-03-08	8	0	0	0	0
2020-03-09	10	0	0	0	0
2020-03-10	15	0	0	0	0
2020-03-11	20	0	0	0	0
2020-03-12	26	0	0	0	0
2020-03-13	34	0	0	0	0
2020-03-14	41	0	0	0	0
2020-03-15	70	0	0	0	0
2020-03-16	95	0	0	0	0
2020-03-17	106	0	0	0	0
2020-03-18	120	0	0	0	0
2020-03-19	136	0	0	0	0
2020-03-20	157	0	0	0	0
2020-03-21	173	0	0	0	0
2020-03-22	177	0	0	0	0
2020-03-23	192	0	0	0	0
2020-03-24	205	1	0	0	0
2020-03-25	222	1	0	0	0
2020-03-26	241	2	0	0	0
2020-03-27	252	2	0	0	0
2020-03-28	264	2	0	0	0
2020-03-29	282	2	0	0	0
2020-03-30	295	2	0	0	0
2020-03-31	309	2	0	0	0
2020-04-01	326	3	0	0	0
2020-04-02	336	4	0	0	0
2020-04-03	351	4	0	0	0
2020-04-04	360	4	0	0	0
2020-04-05	364	4	0	0	0
2020-04-06	374	5	0	0	0
2020-04-07	383	6	0	0	0
2020-04-08	394	7	0	0	0
2020-04-09	409	7	0	0	0
2020-04-10	416	7	0	0	0
2020-04-11	421	7	0	0	0
2020-04-12	428	8	0	0	0
2020-04-13	440	9	1	0	0
2020-04-14	451	9	19	36	0
2020-04-15	461	9	14	41	0
2020-04-16	470	10	16	41	0
2020-04-17	477	10	15	40	0
2020-04-18	485	10	7	41	0
2020-04-19	493	11	5	38	0
2020-04-20	500	11	10	23	0
2020-04-21	506	12	26	34	0
2020-04-22	517	12	15	30	0
2020-04-23	525	12	17	32	0
2020-04-24	534	13	13	34	0
2020-04-25	540	14	16	33	0
2020-04-26	550	16	13	35	0
2020-04-27	562	16	14	32	0
2020-04-28	571	16	18	34	0
2020-04-29	581	17	19	35	0
2020-04-30	590	17	18	30	0
2020-05-01	605	17	15	29	0
2020-05-02	614	18	14	32	0
2020-05-03	631	20	11	34	0
2020-05-04	650	20	33	34	0
2020-05-05	666	21	37	26	0
2020-05-06	683	21	35	29	0
2020-05-07	709	21	37	37	0
2020-05-08	737	22	29	34	0
2020-05-09	758	22	30	35	0
2020-05-10	782	22	32	43	0
2020-05-11	806	24	25	35	0
2020-05-12	827	26	27	35	0
2020-05-13	850	28	29	34	0
2020-05-14	888	29	41	32	0
2020-05-15	926	29	43	42	0
2020-05-16	955	30	41	45	0
2020-05-17	982	30	64	42	0
2020-05-18	1019	34	41	46	0
2020-05-19	1049	36	56	45	0
2020-05-20	1086	36	47	43	0
2020-05-21	1104	37	53	45	0
2020-05-22	1147	38	53	48	0
2020-05-23	1175	40	54	49	0
2020-05-24	1204	45	60	47	0
2020-05-25	1254	47	61	45	0
2020-05-26	1280	48	64	45	0
2020-05-27	1306	49	63	48	0
2020-05-28	1344	50	59	47	0
2020-05-29	1385	51	61	46	0
2020-05-30	1423	53	59	51	0
2020-05-31	1452	55	60	50	0
2020-06-01	1553	58	67	43	0
2020-06-02	1616	61	71	45	0
2020-06-03	1719	62	78	49	0
2020-06-04	1827	63	88	47	0
2020-06-05	1909	65	94	51	0
2020-06-06	2002	65	80	50	0
2020-06-07	2065	67	85	54	0
2020-06-08	2145	72	81	62	0
2020-06-09	2247	74	81	63	0
2020-06-10	2367	78	101	69	0
2020-06-11	2441	80	93	63	0
2020-06-12	2503	81	108	69	0
2020-06-13	2564	85	111	75	0
2020-06-14	2623	86	104	78	0
2020-06-15	2705	91	108	86	0
2020-06-16	2775	93	113	81	0
2020-06-17	2907	100	135	80	0
2020-06-18	2968	105	144	80	0
2020-06-19	3039	110	144	87	0
2020-06-20	3101	112	151	93	0
2020-06-21	3160	116	165	99	0
2020-06-22	3225	120	164	105	0
2020-06-23	3260	125	182	105	0
2020-06-24	3283	131	190	113	0
2020-06-25	3300	132	196	124	0
2020-06-26	3311	133	209	126	0
2020-06-27	3315	138	234	128	0
2020-06-28	3319	147	211	140	0
2020-06-29	3321	152	239	145	0
2020-06-30	3322	157	215	146	0
2020-07-01	3322	159	221	154	0
2020-07-02	3322	161	0	0	0
