# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-07	3	0			
2020-03-11	7	0			
2020-03-13	9	0			
2020-03-14	13	0			
2020-03-16	13	0			
2020-03-17	19	0			
2020-03-18	31	0			
2020-03-19	42	0			
2020-03-20	48	0			
2020-03-21	70	0			
2020-03-22	85	0			
2020-03-23	114	1			
2020-03-24	136	2			
2020-03-25	148	2			
2020-03-26	177	2			
2020-03-27	201	3			
2020-03-28	219	3			
2020-03-29	241	4			
2020-03-30	259	6			
2020-03-31	285	7			
2020-04-01	329	9			
2020-04-02	354	10			
2020-04-03	354	11			
2020-04-04	430	12			
2020-04-05	483	17			
2020-04-06	483	17			
2020-04-07	570	21			
2020-04-08	599	26			
2020-04-09	617	30			
2020-04-10	663	32			
2020-04-11	711	32			
2020-04-12	760	34			
2020-04-13	828	34			
2020-04-14	854	38			
2020-04-15	908	44			
2020-04-16	974	45			
2020-04-17	1081	46			
2020-04-18	1117	49			
2020-04-19	1170	49			
2020-04-20	1207	51			
2020-04-21	1225	54			
2020-04-22	1231	55			
2020-04-23	1259	56			
2020-04-24	1300	56			
2020-04-25	1326	57			
2020-04-26	1367	59			
2020-04-27	1386	61			
2020-04-28	1399	65			
2020-04-29	1421	71			
2020-04-30	1442	73			
2020-05-01	1465	77			
