# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	3	0			
2020-01-25	3	0			
2020-01-26	4	0			
2020-01-27	4	0			
2020-01-28	5	0			
2020-01-29	7	0			
2020-01-30	10	0			
2020-01-31	13	0			
2020-02-01	16	0			
2020-02-02	18	0			
2020-02-03	18	0			
2020-02-04	18	0			
2020-02-05	24	0			
2020-02-06	28	0			
2020-02-07	30	0			
2020-02-08	33	0			
2020-02-09	40	0			
2020-02-10	43	0			
2020-02-11	45	0			
2020-02-12	47	0			
2020-02-13	50	0			
2020-02-14	58	0			
2020-02-15	67	0			
2020-02-16	72	0			
2020-02-17	75	0			
2020-02-18	77	0			
2020-02-19	81	0			
2020-02-20	84	0			
2020-02-21	85	0			
2020-02-22	86	0			
2020-02-23	89	0			
2020-02-24	89	0			
2020-02-25	90	0			
2020-02-26	91	0			
2020-02-27	93	0			
2020-02-28	96	0			
2020-02-29	98	0			
2020-03-01	102	0			
2020-03-02	106	0			
2020-03-03	108	0			
2020-03-04	110	0			
2020-03-05	112	0			
2020-03-06	117	0			
2020-03-07	130	0			
2020-03-08	138	0			
2020-03-09	150	0			
2020-03-10	160	0			
2020-03-11	166	0			
2020-03-12	178	0			
2020-03-13	187	0			
2020-03-14	200	0			
2020-03-15	214	0			
2020-03-16	226	0			
2020-03-17	243	0			
2020-03-18	266	0			
2020-03-19	313	0			
2020-03-20	345	0			
2020-03-21	385	0			
2020-03-22	432	2			
2020-03-23	455	2			
2020-03-24	509	2			
2020-03-25	558	2			
2020-03-26	568	2			
2020-03-27	594	2			
2020-03-28	732	2			
2020-03-29	803	3			
2020-03-30	844	3			
2020-03-31	844	3			
2020-04-01	879	3			
2020-04-02	1000	4			
2020-04-03	1049	5			
2020-04-04	1114	5			
2020-04-05	1189	6			
2020-04-06	1309	6			
2020-04-07	1375	6			
2020-04-08	1481	6			
2020-04-09	1623	6			
2020-04-10	1909	6			
2020-04-11	1909	6			
2020-04-12	2299	8			
2020-04-13	2532	8			
2020-04-14	2918	9			
2020-04-15	3252	10			
2020-04-16	3699	10			
2020-04-17	4427	10			
2020-04-18	5050	11			
2020-04-19	5992	11			
2020-04-20	6588	11			
2020-04-21	8014	11			
2020-04-22	9125	11			
2020-04-23	10141	12			
2020-04-24	11178	12			
2020-04-25	11178	12			
2020-04-26	12693	12			
2020-04-27	13624	12			
2020-04-28	14423	14			
2020-04-29	14951	14			
2020-04-30	15641	14			
2020-05-01	16169	15			
