# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-04	2	0			
2020-03-06	5	0			
2020-03-07	10	0			
2020-03-11	13	0			
2020-03-12	16	0			
2020-03-13	27	0			
2020-03-14	79	0			
2020-03-15	115	0			
2020-03-16	171	0			
2020-03-17	205	0			
2020-03-18	225	0			
2020-03-19	258	0			
2020-03-20	267	0			
2020-03-21	283	0			
2020-03-22	306	0			
2020-03-23	326	0			
2020-03-24	352	0			
2020-03-25	369	0			
2020-03-26	404	1			
2020-03-27	538	1			
2020-03-28	575	1			
2020-03-29	640	1			
2020-03-30	679	3			
2020-03-31	715	3			
2020-04-01	745	4			
2020-04-02	779	5			
2020-04-03	858	11			
2020-04-04	961	12			
2020-04-05	1018	13			
2020-04-06	1097	15			
2020-04-07	1108	19			
2020-04-08	1149	21			
2020-04-09	1185	24			
2020-04-10	1207	24			
2020-04-11	1258	24			
2020-04-12	1304	24			
2020-04-13	1309	25			
2020-04-14	1332	28			
2020-04-15	1373	31			
2020-04-16	1402	35			
2020-04-17	1434	36			
2020-04-18	1459	38			
2020-04-19	1512	38			
2020-04-20	1528	40			
2020-04-21	1535	40			
2020-04-22	1552	43			
2020-04-23	1559	44			
2020-04-24	1592	45			
2020-04-25	1605	46			
2020-04-26	1635	46			
2020-04-27	1643	49			
2020-04-28	1647	50			
2020-04-29	1660	50			
2020-04-30	1666	50			
2020-05-01	1689	52			
2020-05-02	1694	52			
2020-05-03	1699	53			
2020-05-04	1700	55			
2020-05-05	1703	55			
2020-05-06	1711	55			
2020-05-07	1713	55			
2020-05-08	1720	56			
2020-05-09	1725	56			
2020-05-10	1733	60			
2020-05-11	1739	60			
2020-05-12	1741	61			
2020-05-13	1746	61			
2020-05-14	1751	61			
2020-05-15	1758	62			
2020-05-16	1766	63			
2020-05-17	1770	63			
2020-05-18	1774	63			
2020-05-19	1784	64			
2020-05-20	1791	64			
2020-05-21	1794	64			
2020-05-22	1800	64			
2020-05-23	1807	64			
2020-05-24	1821	64			
2020-05-25	1823	64			
2020-05-26	1824	65			
2020-05-27	1834	65			
2020-05-28	1840	66			
2020-05-29	1851	66			
2020-05-30	1859	67			
2020-05-31	1865	67			
2020-06-01	1869	68			
2020-06-02	1870	68			
2020-06-03	1870	68			
2020-06-04	1880	69			
2020-06-05	1890	69			
2020-06-06	1910	69			
2020-06-07	1931	69			
2020-06-08	1939	69			
2020-06-09	1940	69			
2020-06-10	1947	69			
2020-06-11	1958	69			
2020-06-12	1965	69			
2020-06-13	1970	69			
2020-06-14	1973	69			
2020-06-15	1973	69			
2020-06-16	1974	69			
2020-06-17	1975	69			
2020-06-18	1977	69			
2020-06-19	1977	69			
2020-06-20	1979	69			
2020-06-21	1981	69			
2020-06-22	1981	69			
2020-06-23	1981	69			
2020-06-24	1982	69			
2020-06-25	1983	69			
2020-06-26	1984	69			
2020-06-27	1986	69			
2020-06-28	1986	69			
