# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	1	0			
2020-01-28	1	0			
2020-01-29	1	0			
2020-01-30	4	0			
2020-01-31	4	0			
2020-02-01	4	0			
2020-02-02	5	0			
2020-02-03	5	0			
2020-02-04	5	0			
2020-02-05	5	0			
2020-02-06	5	0			
2020-02-07	5	0			
2020-02-08	7	0			
2020-02-09	7	0			
2020-02-10	7	0			
2020-02-11	8	0			
2020-02-12	8	0			
2020-02-13	8	0			
2020-02-14	8	0			
2020-02-15	8	0			
2020-02-16	8	0			
2020-02-17	9	0			
2020-02-18	9	0			
2020-02-19	9	0			
2020-02-20	9	0			
2020-02-21	9	0			
2020-02-22	11	0			
2020-02-23	13	0			
2020-02-24	13	0			
2020-02-25	13	0			
2020-02-26	13	0			
2020-02-27	13	0			
2020-02-28	19	0			
2020-02-29	21	0			
2020-03-01	21	0			
2020-03-02	21	0			
2020-03-04	27	0			
2020-03-06	29	0			
2020-03-08	45	0			
2020-03-10	59	0			
2020-03-11	74	0			
2020-03-13	85	0			
2020-03-15	86	0			
2020-03-16	98	0			
2020-03-17	98	0			
2020-03-18	113	0			
2020-03-19	113	0			
2020-03-20	140	0			
2020-03-21	140	0			
2020-03-22	153	2			
2020-03-23	153	2			
2020-03-24	198	2			
2020-03-25	248	2			
2020-03-26	333	2			
2020-03-27	333	2			
2020-03-28	405	2			
2020-03-29	468	2			
2020-03-30	570	3			
2020-03-31	611	5			
2020-04-01	664	6			
2020-04-02	814	8			
2020-04-03	1024	8			
2020-04-04	1264	9			
2020-04-05	1505	10			
2020-04-06	1783	10			
2020-04-07	2045	11			
2020-04-08	2313	12			
2020-04-09	2597	12			
2020-04-10	2910	14			
2020-04-11	3260	16			
2020-04-12	3616	20			
2020-04-13	3982	22			
2020-04-14	4359	25			
2020-04-15	4749	28			
2020-04-16	5158	33			
2020-04-17	5593	35			
2020-04-18	6045	37			
2020-04-19	6490	37			
2020-04-20	6943	41			
2020-04-21	7401	43			
2020-04-22	7865	46			
2020-04-23	8322	52			
2020-04-24	8812	56			
2020-04-25	9309	64			
2020-04-26	9813	71			
2020-04-27	10349	76			
2020-04-28	10839	82			
2020-04-29	11380	89			
2020-04-30	11929	98			
2020-05-01	12481	105			
2020-05-02	13038	111			
2020-05-03	13599	119			
2020-05-04	14163	126			
2020-05-05	14730	137			
2020-05-06	15192	146			
2020-05-07	15738	157			
2020-05-08	16240	165			
2020-05-09	16793	174			
2020-05-10	17417	185			
2020-05-11	18198	198			
2020-05-12	18878	201			
2020-05-13	19661	203			
2020-05-14	20386	206			
2020-05-15	21084	208			
2020-05-16	21831	210			
2020-05-17	22627	214			
2020-05-18	23358	220			
2020-05-19	24190	224			
2020-05-20	25063	227			
2020-05-21	26004	233			
2020-05-22	26898	237			
2020-05-23	27892	241			
2020-05-24	28704	244			
2020-05-25	29485	245			
2020-05-26	30307	248			
2020-05-27	31086	253			
2020-05-28	31969	255			
2020-05-29	32532	258			
2020-05-30	33170	260			
2020-05-31	33896	262			
2020-06-01	34557	264			
2020-06-02	35192	266			
2020-06-03	35788	269			
2020-06-04	36359	270			
2020-06-05	37018	273			
2020-06-06	37642	274			
2020-06-07	38268	275			
2020-06-08	38808	276			
2020-06-09	39376	281			
2020-06-10	39904	283			
2020-06-11	40507	284			
2020-06-12	40986	286			
2020-06-13	41499	287			
2020-06-14	41990	288			
2020-06-15	42294	289			
2020-06-16	42636	291			
2020-06-17	42982	293			
2020-06-18	43364	295			
2020-06-19	43752	298			
2020-06-20	44145	300			
2020-06-21	44533	301			
2020-06-22	44925	302			
2020-06-23	45303	303			
2020-06-24	45683	305			
2020-06-25	46133	307			
2020-06-26	46563	308			
2020-06-27	46973	310			
2020-06-28	47360	311			
2020-06-29	47797	313			
2020-06-30	48246	314			
2020-07-01	48667	315			
2020-07-02	49069	316			
2020-07-03	49469	317			
2020-07-04	50141	318			
2020-07-05	50857	321			
2020-07-06	51540	323			
2020-07-07	52068	324			
2020-07-08	52600	326			
2020-07-09	53045	327			
2020-07-10	53577	328			
2020-07-11	54050	330			
2020-07-12	54453	331			
2020-07-13	54854	333			
2020-07-14	55198	334			
2020-07-15	55573	335			
2020-07-16	55848	335			
2020-07-17	56129	335			
2020-07-18	56422	337			
2020-07-19	56711	338			
2020-07-20	56922	339			
2020-07-21	57193	340			
2020-07-22	57498	341			
2020-07-23	57734	342			
2020-07-24	57988	342			
2020-07-25	58249	343			
2020-07-26	58562	343			
2020-07-27	58913	344			
2020-07-28	59177	345			
2020-07-29	59546	347			
2020-07-30	59921	347			
2020-07-31	60506	351			
2020-08-01	60506	351			
2020-08-02	60760	351			
2020-08-03	60999	351			
2020-08-04	61163	351			
2020-08-05	61352	351			
2020-08-06	61606	353			
2020-08-07	61845	354			
2020-08-08	62061	356			
2020-08-09	62300	356			
2020-08-10	62525	357			
2020-08-11	62704	357			
2020-08-12	62966	357			
2020-08-13	63212	357			
2020-08-14	63489	358			
2020-08-15	63819	359			
2020-08-16	64102	361			
2020-08-17	64312	364			
2020-08-18	64541	364			
2020-08-19	64906	366			
2020-08-20	65341	367			
2020-08-21	65802	369			
2020-08-22	66193	370			
2020-08-23	66617	372			
2020-08-24	67007	375			
2020-08-25	67282	376			
2020-08-26	67621	377			
2020-08-27	68020	378			
2020-08-28	68511	378			
2020-08-29	68901	379			
2020-08-30	69328	379			
2020-08-31	69690	382			
2020-09-01	70231	384			
2020-09-02	70805	384			
2020-09-03	71540	387			
2020-09-04	72154	387			
2020-09-05	72766	387			
2020-09-06	73471	388			
2020-09-07	73984	388			
2020-09-08	74454	390			
2020-09-09	75098	391			
2020-09-10	75981	393			
2020-09-11	76911	398			
2020-09-12	77842	398			
2020-09-13	78849	399			
2020-09-14	79489	399			
2020-09-15	80266	399			
2020-09-16	80940	401			
2020-09-17	81782	402			
2020-09-18	82568	402			
2020-09-19	83433	403			
2020-09-20	84242	404			
2020-09-21	84916	404			
2020-09-22	85595	405			
2020-09-23	86447	405			
2020-09-24	87530	406			
2020-09-25	88532	407			
2020-09-26	89540	409			
2020-09-27	90618	411			
2020-09-28	91469	412			
2020-09-29	92095	413			
2020-09-30	93090	416			
2020-10-01	94190	419			
2020-10-02	95348	421			
2020-10-03	96529	424			
2020-10-04	97760	426			
2020-10-05	98801	426			
2020-10-06	99733	429			
2020-10-07	100794	435			
2020-10-08	101840	436			
2020-10-09	102929	438			
2020-10-10	104004	442			
2020-10-11	105133	443			
2020-10-12	106229	445			
2020-10-13	107293	446			
2020-10-14	108608	448			
2020-10-15	110039	450			
2020-10-16	111437	452			
2020-10-17	112849	455			
2020-10-18	114387	459			
2020-10-19	115602	463			
2020-10-20	116517	466			
2020-10-21	117594	470			
2020-10-22	119132	472			
2020-10-23	120710	474			
2020-10-24	122273	475			
2020-10-25	123764	475			
2020-10-26	125123	477			
2020-10-27	126234	480			
2020-10-28	127624	482			
2020-10-29	129024	485			
2020-10-30	130336	488			
2020-10-31	131508	490			
2020-11-01	132629	495			
2020-11-02	133907	496			
2020-11-03	135141	497			
2020-11-04	136149	503			
2020-11-05	137310	505			
2020-11-06	138599	508			
2020-11-07	139891	510			
2020-11-08	141032	514			
2020-11-09	142143	514			
2020-11-10	143289	515			
2020-11-11	144385	518			
2020-11-12	145599	520			
2020-11-13	146735	523			
2020-11-14	147961	528			
2020-11-15	149135	528			
2020-11-16	150345	530			
2020-11-17	151554	534			
2020-11-18	152809	538			
2020-11-19	154101	542			
2020-11-20	155254	544			
2020-11-21	156523	547			
2020-11-22	157785	548			
2020-11-23	158990	552			
2020-11-24	160055	554			
2020-11-25	161365	559			
2020-11-26	162662	563			
2020-11-27	163967	564			
2020-11-28	165250	567			
2020-11-29	166502	569			
