# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	2	0			
2020-02-28	2	0			
2020-02-29	2	0			
2020-03-01	4	0			
2020-03-02	4	0			
2020-03-04	5	0			
2020-03-07	6	0			
2020-03-10	16	0			
2020-03-11	16	0			
2020-03-12	20	0			
2020-03-13	21	0			
2020-03-14	21	0			
2020-03-15	30	0			
2020-03-16	31	0			
2020-03-17	187	0			
2020-03-18	187	0			
2020-03-19	302	0			
2020-03-20	478	2			
2020-03-21	495	3			
2020-03-22	646	3			
2020-03-23	784	5			
2020-03-24	887	6			
2020-03-25	991	7			
2020-03-26	1057	8			
2020-03-27	1197	9			
2020-03-28	1197	9			
2020-03-29	1408	11			
2020-03-30	1526	13			
2020-03-31	1625	18			
2020-04-01	2039	26			
2020-04-02	2291	31			
2020-04-03	2291	31			
2020-04-04	2291	31			
2020-04-05	2450	35			
2020-04-06	3277	50			
2020-04-07	3864	54			
2020-04-08	4072	58			
2020-04-09	4322	63			
2020-04-10	4601	66			
2020-04-11	4788	71			
2020-04-12	5038	86			
2020-04-13	5374	93			
2020-04-14	5716	96			
2020-04-15	5988	107			
2020-04-16	6505	124			
2020-04-17	7025	135			
2020-04-18	7481	143			
2020-04-19	7993	159			
2020-04-20	8418	176			
2020-04-21	9216	192			
2020-04-22	9749	209			
2020-04-23	9749	209			
2020-04-24	11155	237			
2020-04-25	11940	253			
2020-04-26	12723	269			
2020-04-27	13328	281			
2020-04-28	14079	301			
2020-04-29	14885	327			
2020-04-30	15759	346			
2020-05-01	16817	385			
2020-05-02	18114	417			
2020-05-03	19103	440			
2020-05-04	20186	462			
2020-05-05	21501	486			
2020-05-06	22550	526			
2020-05-07	24073	564			
2020-05-08	25837	594			
2020-05-09	27474	618			
2020-05-10	29465	639			
2020-05-11	30941	667			
2020-05-12	32081	706			
2020-05-13	34336	737			
2020-05-14	35788	770			
2020-05-15	37218	803			
2020-05-16	38799	834			
2020-05-17	40151	873			
2020-05-18	42125	903			
2020-05-19	43966	939			
2020-05-20	45898	985			
2020-05-21	48091	1017			
2020-05-22	50694	1067			
2020-05-23	52437	1101			
2020-05-24	54601	1133			
2020-05-25	56349	1167			
2020-05-26	57705	1197			
2020-05-27	59151	1225			
2020-05-28	61227	1260			
2020-05-29	64028	1317			
2020-05-30	66457	1395			
2020-05-31	69496	1483			
2020-06-01	72460	1543			
2020-06-02	76398	1621			
2020-06-03	80463	1688			
2020-06-04	85264	1770			
2020-06-05	89249	1838			
2020-06-06	93983	1935			
2020-06-07	98943	2002			
2020-06-08	103671	2067			
2020-06-09	108317	2172			
2020-06-10	113702	2255			
2020-06-11	119536	2356			
2020-06-12	125933	2463			
2020-06-13	132405	2551			
2020-06-14	139230	2632			
2020-06-15	144478	2729			
2020-06-16	148921	2839			
2020-06-17	154760	2975			
2020-06-18	160118	3093			
2020-06-19	165062	3229			
2020-06-20	171666	3382			
2020-06-21	176617	3501			
2020-06-22	181088	3590			
2020-06-23	185034	3695			
2020-06-24	188926	3755			
2020-06-25	192970	3903			
2020-06-26	195745	3962			
2020-06-27	198883	4035			
2020-06-28	202955	4118			
2020-06-29	206512	4167			
2020-06-30	209337	4304			
2020-07-01	213470	4395			
2020-07-02	217809	4473			
2020-07-03	221896	4551			
2020-07-04	225283	4619			
2020-07-05	228474	4712			
2020-07-06	231818	4762			
2020-07-07	234509	4839			
2020-07-08	237489	4922			
2020-07-09	240848	4983			
2020-07-10	243599	5058			
2020-07-11	246351	5123			
2020-07-12	248872	5197			
2020-07-13	251625	5266			
2020-07-14	253604	5320			
2020-07-15	255769	5386			
2020-07-16	257914	5426			
2020-07-17	259999	5475			
2020-07-18	261917	5522			
2020-07-19	263496	5568			
2020-07-20	265083	5599			
2020-07-21	266096	5639			
2020-07-22	267428	5677			
2020-07-23	269191	5709			
2020-07-24	270400	5763			
2020-07-25	271887	5787			
2020-07-26	273113	5822			
2020-07-27	274289	5842			
2020-07-28	275225	5865			
2020-07-29	276288	5892			
2020-07-30	277402	5924			
2020-07-31	278305	5951			
2020-08-01	278305	5951			
2020-08-02	278305	5951			
2020-08-03	280029	5984			
2020-08-04	280461	5999			
2020-08-05	281136	6014			
2020-08-06	281863	6035			
2020-08-07	282645	6052			
2020-08-08	283487	6068			
2020-08-09	284121	6082			
2020-08-10	284660	6097			
2020-08-11	285191	6112			
2020-08-12	285921	6129			
2020-08-13	286674	6139			
2020-08-14	287300	6153			
2020-08-15	288047	6162			
2020-08-16	288717	6168			
2020-08-17	289215	6175			
2020-08-18	289832	6190			
2020-08-19	289832	6190			
2020-08-20	290958	6209			
2020-08-21	291588	6219			
2020-08-22	292174	6231			
2020-08-23	292765	6235			
2020-08-24	292765	6235			
2020-08-25	293711	6255			
2020-08-26	294193	6267			
2020-08-27	294638	6274			
2020-08-28	295053	6283			
2020-08-29	295372	6284			
2020-08-30	295636	6288			
2020-08-31	295849	6294			
2020-09-01	296149	6298			
2020-09-02	296590	6318			
2020-09-03	297014	6328			
2020-09-04	297512	6335			
2020-09-05	298025	6340			
2020-09-06	298509	6342			
2020-09-07	298903	6345			
2020-09-08	299233	6350			
2020-09-09	299659	6359			
2020-09-10	299855	6365			
2020-09-11	300371	6370			
2020-09-12	300955	6373			
2020-09-13	301481	6379			
2020-09-14	302020	6383			
2020-09-15	302424	6389			
2020-09-16	303089	6393			
2020-09-17	303634	6399			
2020-09-18	304386	6408			
2020-09-19	305031	6415			
2020-09-20	305671	6416			
2020-09-21	306304	6420			
2020-09-22	306886	6424			
2020-09-23	307418	6432			
2020-09-24	308217	6437			
2020-09-25	309015	6444			
2020-09-26	309581	6451			
2020-09-27	310275	6457			
2020-09-28	310841	6466			
2020-09-29	311516	6474			
2020-09-30	312263	6479			
2020-10-01	312806	6484			
2020-10-02	313431	6499			
2020-10-03	313984	6507			
2020-10-04	314616	6513			
2020-10-05	314616	6513			
2020-10-06	315727	6523			
2020-10-07	316351	6535			
2020-10-08	316934	6544			
2020-10-09	317595	6552			
2020-10-10	318266	6558			
2020-10-11	318932	6570			
2020-10-12	318932	6570			
2020-10-13	319848	6588			
2020-10-14	320463	6601			
2020-10-15	321218	6614			
2020-10-16	321877	6621			
2020-10-17	322452	6638			
2020-10-18	323019	6654			
2020-10-19	323452	6659			
2020-10-20	323452	6659			
2020-10-21	324744	6692			
2020-10-22	325480	6702			
2020-10-23	326216	6715			
2020-10-24	327063	6727			
2020-10-25	327895	6736			
2020-10-26	328602	6739			
