# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-15	3	0			
2020-03-16	7	0			
2020-03-17	9	0			
2020-03-18	9	0			
2020-03-19	9	0			
2020-03-20	11	0			
2020-03-21	12	0			
2020-03-22	18	0			
2020-03-23	23	0			
2020-03-24	23	0			
2020-03-25	27	0			
2020-03-26	31	0			
2020-03-27	33	0			
2020-03-28	42	0			
2020-03-29	43	0			
2020-03-30	46	0			
2020-03-31	49	0			
2020-04-01	52	0			
2020-04-02	55	0			
2020-04-03	60	0			
2020-04-04	64	0			
2020-04-05	66	2			
2020-04-06	73	2			
2020-04-07	77	2			
2020-04-08	79	2			
2020-04-09	81	2			
2020-04-10	84	2			
2020-04-11	90	2			
2020-04-12	92	2			
2020-04-13	93	2			
2020-04-14	93	2			
2020-04-15	93	2			
2020-04-16	93	3			
2020-04-17	93	3			
2020-04-18	94	3			
2020-04-19	94	3			
2020-04-20	94	3			
2020-04-21	94	3			
2020-04-22	94	3			
2020-04-23	94	3			
2020-04-24	94	4			
2020-04-25	94	4			
2020-04-26	94	4			
2020-04-27	94	4			
2020-04-28	95	4			
2020-04-29	95	4			
2020-04-30	95	4			
2020-05-01	95	4			
