# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	1	0			
2020-02-02	1	0			
2020-02-03	1	0			
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	1	0			
2020-02-11	1	0			
2020-02-12	1	0			
2020-02-13	1	0			
2020-02-14	1	0			
2020-02-15	1	0			
2020-02-16	1	0			
2020-02-17	1	0			
2020-02-18	1	0			
2020-02-19	1	0			
2020-02-20	1	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	2	0			
2020-02-29	3	0			
2020-03-01	11	0			
2020-03-02	14	0			
2020-03-03	14	0			
2020-03-04	19	0			
2020-03-05	32	0			
2020-03-06	62	0			
2020-03-07	87	0			
2020-03-08	146	0			
2020-03-09	179	0			
2020-03-10	225	0			
2020-03-11	326	0			
2020-03-12	424	6			
2020-03-13	620	6			
2020-03-14	771	6			
2020-03-15	923	7			
2020-03-16	994	8			
2020-03-17	1063	10			
2020-03-18	1146	12			
2020-03-19	1265	13			
2020-03-20	1410	19			
2020-03-21	1553	26			
2020-03-22	1733	35			
2020-03-23	1869	43			
2020-03-24	1987	54			
2020-03-25	2169	65			
2020-03-26	2399	86			
2020-03-27	2713	108			
2020-03-28	2999	139			
2020-03-29	3364	171			
2020-03-30	3664	206			
2020-03-31	3944	244			
2020-04-01	4360	289			
2020-04-02	4835	337			
2020-04-03	5321	390			
2020-04-04	5875	460			
2020-04-05	6476	540			
2020-04-06	6833	610			
2020-04-07	7173	695			
2020-04-08	7562	785			
2020-04-09	8300	869			
2020-04-10	8954	984			
2020-04-11	9599	1070			
2020-04-12	10053	1160			
2020-04-13	10448	1263			
2020-04-14	10912	1360			
2020-04-15	11349	1445			
2020-04-16	11828	1536			
2020-04-17	12432	1651			
2020-04-18	13055	1762			
2020-04-19	13743	1844			
2020-04-20	14275	1930			
2020-04-21	14663	2018			
2020-04-22	15124	2102			
2020-04-23	15831	2164			
2020-04-24	16553	2241			
2020-04-25	17311	2327			
2020-04-26	18091	2416			
2020-04-27	18564	2489			
2020-04-28	18864	2564			
2020-04-29	19427	2637			
2020-04-30	20169	2719			
2020-05-01	20968	2803			
2020-05-02	21603	2881			
2020-05-03	22135	2959			
2020-05-04	22434	3032			
2020-05-05	22695	3107			
2020-05-06	23172	3191			
2020-05-07	23829	3263			
2020-05-08	24574	3336			
2020-05-09	25358	3416			
2020-05-10	26058	3476			
2020-05-11	26567	3545			
2020-05-12	26846	3619			
2020-05-13	27301	3683			
2020-05-14	28055	3744			
2020-05-15	28753	3794			
2020-05-16	29410	3840			
2020-05-17	30098	3898			
2020-05-18	30456	3947			
2020-05-19	30715	4000			
2020-05-20	31145	4061			
2020-05-21	31811	4102			
2020-05-22	32619	4155			
2020-05-23	33229	4209			
2020-05-24	33761	4265			
2020-05-25	34164	4321			
2020-05-26	34374	4365			
2020-05-27	34865	4407			
2020-05-28	35611	4435			
2020-05-29	36411	4474			
2020-05-30	37185	4514			
2020-05-31	37958	4554			
2020-06-01	38390	4593			
2020-06-02	38655	4638			
2020-06-03	39303	4678			
2020-06-04	40204	4715			
2020-06-05	41250	4741			
2020-06-06	42289	4786			
2020-06-07	43435	4824			
2020-06-08	44215	4855			
2020-06-09	44677	4888			
2020-06-10	45354	4926			
2020-06-11	46290	4959			
2020-06-12	47727	4999			
2020-06-13	49020	5035			
2020-06-14	50349	5065			
2020-06-15	51381	5098			
2020-06-16	51799	5125			
2020-06-17	52484	5156			
2020-06-18	53693	5184			
2020-06-19	55150	5217			
2020-06-20	56644	5246			
2020-06-21	57853	5275			
2020-06-22	58551	5304			
2020-06-23	58872	5325			
2020-06-24	59672	5346			
2020-06-25	60982	5371			
2020-06-26	62680	5393			
2020-06-27	63959	5417			
2020-06-28	65163	5428			
2020-06-29	65918	5442			
2020-06-30	66333	5464			
2020-07-01	67060	5482			
2020-07-02	67863	5503			
2020-07-03	68547	5520			
2020-07-04	69234	5535			
2020-07-05	69928	5543			
2020-07-06	70292	5558			
2020-07-07	70607	5567			
2020-07-08	70858	5583			
2020-07-09	71136	5595			
2020-07-10	71669	5606			
2020-07-11	72003	5621			
2020-07-12	72372	5635			
2020-07-13	72680	5645			
2020-07-14	72786	5654			
2020-07-15	72956	5668			
2020-07-16	73268	5676			
2020-07-17	73555	5682			
2020-07-18	73823	5689			
2020-07-19	74107	5696			
2020-07-20	74298	5707			
2020-07-21	74408	5715			
2020-07-22	74539	5722			
2020-07-23	74765	5729			
2020-07-24	75062	5735			
2020-07-25	75282	5740			
2020-07-26	75544	5743			
2020-07-27	75682	5744			
2020-07-28	75724	5746			
2020-07-29	75795	5752			
2020-07-30	76078	5758			
2020-07-31	76379	5760			
2020-08-01	76681	5760			
2020-08-02	76939	5763			
2020-08-03	77242	5766			
2020-08-04	77280	5769			
2020-08-05	77445	5773			
2020-08-06	77778	5775			
2020-08-07	78203	5778			
2020-08-08	78581	5782			
2020-08-09	78961	5785			
2020-08-10	79221	5786			
2020-08-11	79294	5790			
2020-08-12	79490	5792			
2020-08-13	79907	5796			
2020-08-14	80351	5799			
2020-08-15	80714	5805			
2020-08-16	81058	5807			
2020-08-17	81284	5808			
2020-08-18	81347	5808			
2020-08-19	81521	5811			
2020-08-20	81835	5816			
2020-08-21	82186	5817			
2020-08-22	82519	5819			
2020-08-23	82817	5824			
2020-08-24	82977	5825			
2020-08-25	83034	5828			
2020-08-26	83208	5829			
2020-08-27	83431	5831			
2020-08-28	83675	5833			
2020-08-29	83877	5834			
2020-08-30	84056	5835			
2020-08-31	84187	5836			
2020-09-01	84235	5839			
2020-09-02	84397	5841			
2020-09-03	84568	5844			
2020-09-04	84781	5847			
2020-09-05	85067	5849			
2020-09-06	85329	5849			
2020-09-07	85500	5849			
2020-09-08	85567	5852			
2020-09-09	85752	5853			
2020-09-10	85988	5854			
2020-09-11	86302	5854			
2020-09-12	86559	5857			
2020-09-13	86851	5863			
2020-09-14	87057	5865			
2020-09-15	87163	5866			
2020-09-16	87383	5869			
2020-09-17	87676	5869			
2020-09-18	88007	5871			
2020-09-19	88397	5872			
2020-09-20	88834	5873			
2020-09-21	89113	5873			
2020-09-22	89246	5876			
2020-09-23	89514	5878			
2020-09-24	89952	5878			
2020-09-25	90506	5880			
2020-09-26	90923	5880			
