# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	3	0			
2020-01-26	4	0			
2020-01-27	4	0			
2020-01-28	4	0			
2020-01-29	7	0			
2020-01-30	7	0			
2020-01-31	8	0			
2020-02-01	8	0			
2020-02-02	8	0			
2020-02-03	8	0			
2020-02-04	8	0			
2020-02-05	10	0			
2020-02-06	12	0			
2020-02-07	14	0			
2020-02-08	15	0			
2020-02-09	16	0			
2020-02-10	18	0			
2020-02-11	18	0			
2020-02-12	18	0			
2020-02-13	18	0			
2020-02-14	19	0			
2020-02-15	21	0			
2020-02-16	22	0			
2020-02-17	22	0			
2020-02-18	22	0			
2020-02-19	22	0			
2020-02-20	22	0			
2020-02-21	22	0			
2020-02-22	22	0			
2020-02-23	22	0			
2020-02-24	22	0			
2020-02-25	22	0			
2020-02-26	22	0			
2020-02-27	22	0			
2020-02-28	23	0			
2020-02-29	25	0			
2020-03-01	25	0			
2020-03-02	29	0			
2020-03-04	36	0			
2020-03-05	50	0			
2020-03-06	50	0			
2020-03-07	83	0			
2020-03-08	93	0			
2020-03-09	99	0			
2020-03-10	117	0			
2020-03-11	129	0			
2020-03-12	149	0			
2020-03-13	158	0			
2020-03-14	197	0			
2020-03-15	238	0			
2020-03-16	428	0			
2020-03-17	553	0			
2020-03-18	673	2			
2020-03-19	790	2			
2020-03-20	900	2			
2020-03-21	1030	2			
2020-03-22	1183	4			
2020-03-23	1306	10			
2020-03-24	1518	14			
2020-03-25	1624	15			
2020-03-26	1796	19			
2020-03-27	2031	23			
2020-03-28	2161	26			
2020-03-29	2320	27			
2020-03-30	2470	34			
2020-03-31	2626	37			
2020-04-01	2766	43			
2020-04-02	2908	45			
2020-04-03	3116	50			
2020-04-04	3333	53			
2020-04-05	3483	57			
2020-04-06	3662	61			
2020-04-07	3793	62			
2020-04-08	3963	63			
2020-04-09	4119	65			
2020-04-10	4228	67			
2020-04-11	4346	70			
2020-04-12	4530	73			
2020-04-13	4683	76			
2020-04-14	4817	77			
2020-04-15	4987	82			
2020-04-16	5072	83			
2020-04-17	5182	84			
2020-04-18	5251	86			
2020-04-19	5305	88			
2020-04-20	5389	89			
2020-04-21	5425	89			
2020-04-22	5482	92			
2020-04-23	5532	93			
2020-04-24	5603	95			
2020-04-25	5691	96			
2020-04-26	5742	98			
2020-04-27	5780	98			
2020-04-28	5820	99			
2020-04-29	5851	100			
2020-04-30	5945	100			
2020-05-01	6002	102			
2020-05-02	6071	103			
2020-05-03	6176	103			
2020-05-04	6298	105			
2020-05-05	6353	105			
2020-05-06	6383	106			
2020-05-07	6428	107			
2020-05-08	6467	107			
2020-05-09	6535	107			
2020-05-10	6589	108			
2020-05-11	6656	108			
2020-05-12	6726	109			
2020-05-13	6742	109			
2020-05-14	6779	111			
2020-05-15	6819	112			
2020-05-16	6855	112			
2020-05-17	6872	113			
2020-05-18	6894	113			
2020-05-19	6941	113			
2020-05-20	6978	114			
2020-05-21	7009	114			
2020-05-22	7059	114			
2020-05-23	7137	115			
2020-05-24	7185	115			
2020-05-25	7245	115			
2020-05-26	7417	115			
2020-05-27	7604	115			
2020-05-28	7619	115			
2020-05-29	7629	115			
2020-05-30	7732	115			
2020-05-31	7762	115			
2020-06-01	7819	115			
2020-06-02	7857	115			
2020-06-03	7877	115			
2020-06-04	7970	115			
2020-06-05	7970	115			
2020-06-06	8266	116			
2020-06-07	8303	117			
2020-06-08	8322	117			
2020-06-09	8329	117			
2020-06-10	8336	117			
2020-06-11	8338	118			
2020-06-12	8369	118			
2020-06-13	8402	119			
2020-06-14	8445	120			
2020-06-15	8453	121			
2020-06-16	8494	121			
2020-06-17	8505	121			
2020-06-18	8515	121			
2020-06-19	8529	121			
2020-06-20	8535	121			
2020-06-21	8556	121			
2020-06-22	8572	121			
2020-06-23	8587	121			
2020-06-24	8590	121			
2020-06-25	8596	121			
2020-06-26	8600	121			
2020-06-27	8606	121			
2020-06-28	8616	121			
