# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	2	0			
2020-02-25	2	0			
2020-02-26	2	0			
2020-02-27	2	0			
2020-02-28	3	0			
2020-02-29	7	0			
2020-03-01	7	0			
2020-03-02	10	0			
2020-03-05	15	0			
2020-03-06	17	0			
2020-03-07	19	0			
2020-03-08	25	0			
2020-03-09	39	0			
2020-03-11	70	0			
2020-03-12	82	0			
2020-03-13	96	0			
2020-03-14	116	0			
2020-03-15	178	0			
2020-03-16	250	0			
2020-03-17	260	0			
2020-03-18	427	0			
2020-03-19	433	0			
2020-03-20	677	0			
2020-03-21	712	1			
2020-03-22	883	1			
2020-03-23	1071	1			
2020-03-24	1442	1			
2020-03-25	1930	3			
2020-03-26	2369	5			
2020-03-27	2666	8			
2020-03-28	3035	10			
2020-03-29	3619	12			
2020-03-30	4247	15			
2020-03-31	4473	17			
2020-04-01	4916	20			
2020-04-02	5591	21			
2020-04-03	6252	34			
2020-04-04	7428	39			
2020-04-05	8018	46			
2020-04-06	8430	49			
2020-04-07	8904	57			
2020-04-08	9248	65			
2020-04-09	9404	71			
2020-04-10	9968	86			
2020-04-11	10408	95			
2020-04-12	10743	101			
2020-04-13	11145	103			
2020-04-14	11586	116			
2020-04-15	12046	123			
2020-04-16	12501	130			
2020-04-17	12758	142			
2020-04-18	12982	151			
2020-04-19	13265	164			
2020-04-20	13491	172			
2020-04-21	13713	177			
2020-04-22	13942	184			
2020-04-23	14592	191			
2020-04-24	14882	193			
2020-04-25	15058	194			
2020-04-26	15298	199			
2020-04-27	15398	199			
2020-04-28	15466	202			
2020-04-29	15589	208			
2020-04-30	15834	215			
2020-05-01	15946	222			
2020-05-02	16101	225			
2020-05-03	16185	229			
2020-05-04	16208	232			
2020-05-05	16246	235			
2020-05-06	16289	238			
2020-05-07	16310	239			
2020-05-08	16381	240			
2020-05-09	16436	245			
2020-05-10	16454	247			
2020-05-11	16477	252			
2020-05-12	16506	258			
2020-05-13	16529	260			
2020-05-14	16548	264			
2020-05-15	16579	265			
2020-05-16	16589	266			
2020-05-17	16608	268			
2020-05-18	16617	272			
2020-05-19	16621	272			
2020-05-20	16650	277			
2020-05-21	16670	279			
2020-05-22	16690	279			
2020-05-23	16690	279			
2020-05-24	16690	279			
2020-05-25	16720	280			
2020-05-26	16734	281			
2020-05-27	16757	281			
2020-05-28	16793	281			
2020-05-29	16872	284			
2020-05-30	16987	284			
2020-05-31	17012	284			
2020-06-01	17071	285			
2020-06-02	17219	287			
2020-06-03	17342	290			
2020-06-04	17429	291			
2020-06-05	17562	291			
2020-06-06	17706	292			
2020-06-07	17783	297			
2020-06-08	17915	298			
2020-06-09	18089	298			
2020-06-10	18268	299			
2020-06-11	18355	299			
2020-06-12	18701	300			
2020-06-13	18876	300			
2020-06-14	19008	300			
2020-06-15	19121	302			
2020-06-16	19338	302			
2020-06-17	19637	303			
2020-06-18	19894	303			
2020-06-19	20036	303			
2020-06-20	20339	304			
2020-06-21	20633	305			
2020-06-22	20778	306			
2020-06-23	21082	307			
2020-06-24	21512	308			
2020-06-25	22044	308			
2020-06-26	22400	309			
2020-06-27	22800	314			
2020-06-28	23421	317			
2020-06-29	23755	318			
2020-06-30	24441	319			
2020-07-01	25244	320			
2020-07-02	26257	322			
2020-07-03	27542	325			
2020-07-04	28055	326			
2020-07-05	29170	330			
2020-07-06	29958	331			
2020-07-07	31186	338			
2020-07-08	32222	342			
2020-07-09	33557	344			
2020-07-10	34825	348			
2020-07-11	36266	351			
2020-07-12	37463	354			
2020-07-13	38670	362			
2020-07-14	40632	365			
2020-07-15	42360	371			
2020-07-16	44714	380			
2020-07-17	46059	384			
2020-07-18	47459	392			
2020-07-19	49365	401			
2020-07-20	50289	409			
2020-07-21	51676	415			
2020-07-22	54042	425			
2020-07-23	56085	430			
2020-07-24	57982	442			
2020-07-25	59475	448			
2020-07-26	60678	457			
2020-07-27	61956	470			
2020-07-28	64458	474			
2020-07-29	66555	486			
2020-07-30	68556	491			
2020-07-31	70379	503			
2020-08-01	70970	512			
2020-08-02	72283	527			
2020-08-03	73025	536			
2020-08-04	74903	546			
2020-08-05	76642	561			
2020-08-06	78324	565			
2020-08-07	80054	576			
2020-08-08	80991	581			
2020-08-09	82465	594			
2020-08-10	83002	600			
2020-08-11	85222	613			
2020-08-12	86959	622			
2020-08-13	88554	639			
2020-08-14	89822	651			
2020-08-15	91080	665			
2020-08-16	92343	674			
2020-08-17	92680	685			
2020-08-18	95129	692			
2020-08-19	96409	708			
2020-08-20	97969	779			
2020-08-21	99599	795			
2020-08-22	100716	809			
2020-08-23	102080	819			
2020-08-24	103151	834			
2020-08-25	105063	847			
2020-08-26	107078	859			
2020-08-27	108964	875			
2020-08-28	110403	884			
2020-08-29	112000	894			
2020-08-30	113623	906			
2020-08-31	114020	919			
2020-09-01	117030	939			
2020-09-02	119265	957			
2020-09-03	122539	969			
2020-09-04	125260	985			
2020-09-05	126419	993			
2020-09-06	129173	1007			
2020-09-07	130644	1019			
2020-09-08	135043	1026			
2020-09-09	138719	1040			
2020-09-10	142582	1054			
2020-09-11	146542	1077			
2020-09-12	148564	1090			
2020-09-13	153217	1103			
2020-09-14	156596	1119			
2020-09-15	160368	1136			
2020-09-16	166794	1147			
2020-09-17	171768	1165			
2020-09-18	176933	1169			
2020-09-19	179071	1196			
2020-09-20	183602	1226			
2020-09-21	188427	1256			
2020-09-22	192579	1273			
2020-09-23	193374	1285			
2020-09-24	204690	1325			
2020-09-25	214458	1378			
2020-09-26	215273	1405			
2020-09-27	227100	1441			
2020-09-28	231026	1466			
2020-09-29	233265	1507			
2020-09-30	236926	1528			
2020-10-01	248133	1571			
2020-10-02	255771	1622			
2020-10-03	258902	1633			
2020-10-04	264857	1682			
2020-10-05	268175	1719			
2020-10-06	272309	1757			
2020-10-07	277026	1797			
2020-10-08	281481	1824			
2020-10-09	286393	1864			
2020-10-10	287858	1886			
2020-10-11	290003	1941			
2020-10-12	291828	1983			
2020-10-13	295037	2021			
2020-10-14	297274	2055			
2020-10-15	299253	2099			
2020-10-16	300201	2127			
2020-10-17	301896	2141			
2020-10-18	302832	2190			
2020-10-19	303846	2209			
2020-10-20	304876	2263			
2020-10-21	306503	2278			
2020-10-22	307335	2291			
2020-10-23	308572	2319			
2020-10-24	308840	2329			
2020-10-25	309413	2372			
2020-10-26	310148	2397			
2020-10-27	310851	2453			
2020-10-28	312024	2483			
2020-10-29	312787	2494			
2020-10-30	313590	2511			
2020-10-31	313701	2514			
2020-11-01	314498	2541			
2020-11-02	315131	2554			
2020-11-03	315983	2580			
2020-11-04	316792	2592			
2020-11-05	317556	2597			
2020-11-06	318111	2639			
2020-11-07	318402	2644			
2020-11-08	319022	2644			
2020-11-09	319562	2674			
2020-11-10	320184	2678			
