# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	1	0			
2020-02-11	1	0			
2020-02-12	1	0			
2020-02-13	1	0			
2020-02-14	1	0			
2020-02-15	1	0			
2020-02-16	1	0			
2020-02-17	1	0			
2020-02-18	1	0			
2020-02-19	1	0			
2020-02-20	1	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	19	0			
2020-03-03	38	0			
2020-03-04	72	0			
2020-03-05	125	0			
2020-03-06	206	0			
2020-03-07	316	0			
2020-03-08	343	0			
2020-03-09	408	0			
2020-03-10	502	0			
2020-03-11	601	1			
2020-03-12	775	4			
2020-03-13	1025	5			
2020-03-14	1363	8			
2020-03-15	1542	13			
2020-03-16	1756	19			
2020-03-17	2143	30			
2020-03-18	2565	42			
2020-03-19	3099	64			
2020-03-20	3812	92			
2020-03-21	4475	122			
2020-03-22	4945	161			
2020-03-23	5431	202			
2020-03-24	6759	280			
2020-03-25	7954	354			
2020-03-26	9153	450			
2020-03-27	10516	552			
2020-03-28	12035	675			
2020-03-29	12879	808			
2020-03-30	13562	947			
2020-03-31	15300	1116			
2020-04-01	16981	1303			
2020-04-02	18484	1554			
2020-04-03	19944	1767			
2020-04-04	21640	2000			
2020-04-05	22562	2274			
2020-04-06	23227	2509			
2020-04-07	25161	2781			
2020-04-08	26676	3084			
2020-04-09	28274	3401			
2020-04-10	30513	3671			
2020-04-11	32849	3990			
2020-04-12	33878	4278			
2020-04-13	34402	4620			
2020-04-14	34939	4900			
2020-04-15	36499	5175			
2020-04-16	38132	5450			
2020-04-17	39806	5701			
2020-04-18	41200	5906			
2020-04-19	41922	6114			
2020-04-20	42366	6325			
2020-04-21	43642	6523			
2020-04-22	44913	6725			
2020-04-23	45690	6917			
2020-04-24	46666	7093			
2020-04-25	47477	7241			
2020-04-26	47865	7396			
2020-04-27	48070	7572			
2020-04-28	48825	7699			
2020-04-29	49395	7814			
2020-04-30	49917	7912			
2020-05-01	50503	7996			
2020-05-02	50740	8094			
2020-05-03	51026	8167			
2020-05-04	51166	8263			
2020-05-05	51836	8361			
2020-05-06	52382	8442			
2020-05-07	52934	8517			
2020-05-08	53376	8595			
2020-05-09	53859	8665			
2020-05-10	54099	8733			
2020-05-11	54217	8806			
2020-05-12	54693	8868			
2020-05-13	55088	8916			
2020-05-14	55409	8970			
2020-05-15	55714	9016			
2020-05-16	56060	9054			
2020-05-17	56207	9082			
2020-05-18	56288	9117			
2020-05-19	56605	9152			
2020-05-20	56897	9182			
2020-05-21	57282	9214			
2020-05-22	57352	9243			
2020-05-23	57600	9281			
2020-05-24	57723	9305			
2020-05-25	57798	9339			
2020-05-26	58112	9363			
2020-05-27	58314	9403			
2020-05-28	58496	9427			
2020-05-29	58667	9449			
2020-05-30	58832	9462			
2020-05-31	58893	9487			
2020-06-01	58942	9506			
2020-06-02	59001	9528			
2020-06-03	59182	9548			
2020-06-04	59341	9568			
2020-06-05	59513	9582			
2020-06-06	59667	9594			
2020-06-07	59736	9605			
2020-06-08	59789	9617			
2020-06-09	59941	9626			
2020-06-10	60087	9638			
2020-06-11	60206	9650			
2020-06-12	60301	9657			
2020-06-13	60390	9667			
2020-06-14	60439	9672			
2020-06-15	60461	9675			
2020-06-16	60608	9683			
2020-06-17	60707	9690			
2020-06-18	60830	9697			
2020-06-19	60938	9702			
2020-06-20	61059	9706			
2020-06-21	61109	9709			
2020-06-22	61129	9718			
2020-06-23	61272	9730			
2020-06-24	61382	9734			
2020-06-25	61482	9737			
2020-06-26	61558	9742			
2020-06-27	61671	9744			
2020-06-28	61712	9752			
2020-06-29	61736	9757			
2020-06-30	61863	9760			
2020-07-01	61963	9768			
2020-07-02	62098	9770			
2020-07-03	62191	9775			
2020-07-04	62285	9777			
2020-07-05	62349	9780			
2020-07-06	62373	9782			
2020-07-07	62486	9783			
2020-07-08	62585	9786			
2020-07-09	62722	9787			
2020-07-10	62846	9789			
2020-07-11	62973	9789			
2020-07-12	63035	9791			
2020-07-13	63078	9795			
2020-07-14	63302	9795			
2020-07-15	63509	9798			
2020-07-16	63769	9803			
2020-07-17	63995	9808			
2020-07-18	64269	9810			
2020-07-19	64398	9813			
2020-07-20	64463	9814			
2020-07-21	64906	9816			
2020-07-22	65051	9817			
2020-07-23	65604	9819			
2020-07-24	66043	9821			
2020-07-25	66539	9826			
2020-07-26	66768	9827			
2020-07-27	66953	9829			
2020-07-28	67548	9833			
2020-07-29	68233	9834			
2020-07-30	68936	9837			
2020-07-31	69571	9839			
2020-08-01	70255	9842			
2020-08-02	70561	9844			
2020-08-03	70709	9849			
2020-08-04	71503	9852			
2020-08-05	72315	9857			
2020-08-06	73076	9862			
2020-08-07	73843	9866			
2020-08-08	74620	9872			
2020-08-09	74923	9874			
2020-08-10	75044	9879			
2020-08-11	75915	9890			
2020-08-12	76632	9903			
2020-08-13	77243	9914			
2020-08-14	77912	9926			
2020-08-15	78499	9938			
2020-08-16	78662	9947			
2020-08-17	78796	9954			
2020-08-18	79490	9961			
2020-08-19	80198	9973			
2020-08-20	80658	9982			
2020-08-21	80799	9985			
2020-08-22	80800	9985			
