# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	ICU	recovered
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	4	0			
2020-03-15	4	0			
2020-03-16	8	0			
2020-03-17	8	0			
2020-03-18	11	0			
2020-03-19	13	0			
2020-03-20	16	0			
2020-03-21	26	0			
2020-03-22	26	0			
2020-03-23	33	0			
2020-03-24	40	0			
