# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	3				
2020-03-12	3				
2020-03-13	3				
2020-03-14	3				
2020-03-15	3				
2020-03-16	3				
2020-03-17	3				
2020-03-18	3	0			2
2020-03-19	3	0			2
2020-03-20	3	0			2
2020-03-21	3	0			2
2020-03-22	3	0			2
2020-03-23	3	0			2
2020-03-24	4	0			2
2020-03-25	4	0			2
2020-03-26	4	0			2
2020-03-27	6	0			2
2020-03-28	6	0			2
2020-03-29	8	0			2
2020-03-30	9	0			2
2020-03-31	9	0			2
2020-04-01	9	0			2
2020-04-02	9	0			2
2020-04-03	9	0			2
2020-04-04	9	0			2
2020-04-05	9	0			2
2020-04-06	15	0			2
2020-04-07	27	0			2
2020-04-08	32	0			3
2020-04-09	42	0			3
2020-04-10	49	0			3
2020-04-11	49	0			3
2020-04-12	66	0			3
2020-04-13	72	0			3
2020-04-14	76	0			3
2020-04-15	86	0			3
2020-04-16	86	1			6
2020-04-17	101	1			6
2020-04-18	101	1			6
2020-04-19	110	1			6
2020-04-20	121	3			11
2020-04-21	125	3			11
2020-04-22	130	3			11
2020-04-23	132	3			11
2020-04-24	133	4			11
2020-04-25	133	4			11
2020-04-26	133	4			11
2020-04-27	137	4			23
2020-04-28	141	4			24
2020-04-29	141	4			24
2020-04-30	142	4			24
2020-05-01	142	4			24
2020-05-02	142	4			24
2020-05-03	142	4			24
2020-05-04	142	4			24
2020-05-05	142	4			24
2020-05-06	142	4			24
2020-05-07	142	4			24
2020-05-08	142	5			82
2020-05-09	142	5			82
2020-05-10	142	5			92
2020-05-11	142	5			96
2020-05-12	142	6			106
2020-05-13	142	6			111
2020-05-14	142	6			115
2020-05-15	142	6			115
2020-05-16	142	6			124
2020-05-17	142	6			123
2020-05-18	142	6			125
2020-05-19	142	6			127
2020-05-20	142	6			130
2020-05-21	142	6			131
2020-05-22	142	6			132
2020-05-23	142	6			132
2020-05-24	142	6			133
2020-05-25	142	6			134
2020-05-26	142	6			135
2020-05-27	142	6			135
2020-05-28	142	6			136
2020-05-29	142	6			136
2020-05-30	142	6			137
2020-05-31	142	6			137
2020-06-01	142	6			137
2020-06-02	142	6			137
2020-06-03	142	7			137
2020-06-04	142	7			137
2020-06-05	142	7			137
2020-06-06	142	7			137
2020-06-07	142	7			137
2020-06-08	142	7			137
2020-06-09	142	7			139
2020-06-10	142	7			139
2020-06-11	142	7			139
2020-06-12	142	7			139
2020-06-13	142	7			139
2020-06-14	142	7			139
2020-06-15	142	7			139
2020-06-16	142	7			139
2020-06-17	142	7			139
2020-06-18	142	7			139
2020-06-19	142	7			139
2020-06-20	142	7			139
2020-06-21	142	7			139
2020-06-22	142	7			139
2020-06-23	142	7			139
2020-06-24	142	7			139
2020-06-25	142	7			139
2020-06-26	142	7			139
2020-06-27	142	7			139
2020-06-28	142	7			139
2020-06-29	142	7			139
2020-06-30	142	7			139
2020-07-01	142	7			139
2020-07-02	142	7			139
2020-07-03	142	7			139
2020-07-04	142	7			139
2020-07-05	142	7			139
2020-07-06	142	7			139
2020-07-07	142	7			139
2020-07-08	144	7			139
2020-07-09	145	7			139
2020-07-10	145	7			139
