# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	1				
2020-03-12	1				
2020-03-13	1				
2020-03-14	1				
2020-03-15	1				
2020-03-16	1				
2020-03-17	1				
2020-03-18	1	0			1
2020-03-19	1	0			1
2020-03-20	1	0			1
2020-03-21	1	0			1
2020-03-22	1	0			1
2020-03-23	1	0			1
2020-03-24	1	0			1
2020-03-25	1	0			1
2020-03-26	2	0			1
2020-03-27	2	0			1
2020-03-28	2	0			1
2020-03-29	2	0			1
2020-03-30	6	0			1
2020-03-31	7	0			1
2020-04-01	7	0			1
2020-04-02	12	0			1
2020-04-03	13	0			1
2020-04-04	20	0			1
2020-04-05	23	0			1
2020-04-06	26	0			1
2020-04-07	27	0			1
2020-04-08	34	0			1
2020-04-09	36	0			1
2020-04-10	37	0			1
2020-04-11	46	0			1
2020-04-12	52	0			2
2020-04-13	54	0			5
2020-04-14	64	0			5
2020-04-15	65	0			6
2020-04-16	75	0			8
2020-04-17	79	0			8
2020-04-18	83	0			8
2020-04-19	83	0			8
2020-04-20	84	0			8
2020-04-21	84	0			8
2020-04-22	84	0			14
2020-04-23	84	0			23
2020-04-24	84	0			29
2020-04-25	85	0			31
2020-04-26	85	0			31
2020-04-27	86	0			32
2020-04-28	87	0			32
2020-04-29	88	0			32
2020-04-30	88	0			32
2020-05-01	88	0			50
2020-05-02	88	0			61
2020-05-03	88	0			61
2020-05-04	88	0			61
2020-05-05	88	0			65
2020-05-06	88	0			69
2020-05-07	88	0			72
2020-05-08	88	0			75
2020-05-09	88	1			79
2020-05-10	88	1			80
2020-05-11	88	1			80
2020-05-12	88	1			80
2020-05-13	88	1			81
2020-05-14	88	1			82
2020-05-15	88	1			82
2020-05-16	88	1			84
2020-05-17	88	1			85
2020-05-18	88	1			85
2020-05-19	88	1			85
2020-05-20	88	1			86
2020-05-21	88	1			86
2020-05-22	88	1			86
2020-05-23	88	1			86
2020-05-24	88	1			86
2020-05-25	88	1			86
2020-05-26	88	1			86
2020-05-27	88	1			87
2020-05-28	88	1			87
2020-05-29	88	1			87
2020-05-30	88	1			87
2020-05-31	88	1			87
2020-06-01	88	1			87
2020-06-02	88	1			87
2020-06-03	88	1			87
2020-06-04	88	1			87
2020-06-05	88	1			87
2020-06-06	88	1			87
2020-06-07	88	1			87
2020-06-08	88	1			87
2020-06-09	88	1			87
2020-06-10	88	1			87
2020-06-11	88	1			87
2020-06-12	88	1			87
2020-06-13	88	1			87
2020-06-14	88	1			87
2020-06-15	88	1			87
2020-06-16	88	1			87
2020-06-17	88	1			87
2020-06-18	88	1			87
2020-06-19	89	1			87
2020-06-20	89	1			87
2020-06-21	89	1			87
2020-06-22	89	1			87
2020-06-23	90	1			87
2020-06-24	90	1			87
2020-06-25	91	1			87
2020-06-26	91	1			87
2020-06-27	92	1			87
