# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	3				
2020-03-12	3				
2020-03-13	3				
2020-03-14	4				
2020-03-15	4				
2020-03-16	4				
2020-03-17	4				
2020-03-18	4	0			0
2020-03-19	4	0			0
2020-03-20	4	0			1
2020-03-21	4	0			1
2020-03-22	4	0			1
2020-03-23	4	0			1
2020-03-24	5	0			2
2020-03-25	5	0			2
2020-03-26	5	0			2
2020-03-27	6	0			2
2020-03-28	6	0			3
2020-03-29	8	0			3
2020-03-30	8	0			3
2020-03-31	8	0			3
2020-04-01	9	0			3
2020-04-02	9	0			3
2020-04-03	10	0			3
2020-04-04	11	0			3
2020-04-05	12	0			3
2020-04-06	14	0			3
2020-04-07	14	0			3
2020-04-08	19	0			3
2020-04-09	21	0			3
2020-04-10	28	0			3
2020-04-11	28	0			3
2020-04-12	29	0			3
2020-04-13	34	0			4
2020-04-14	35	0			4
2020-04-15	36	0			4
2020-04-16	45	0			4
2020-04-17	47	0			4
2020-04-18	47	0			4
2020-04-19	52	0			4
2020-04-20	52	0			6
2020-04-21	54	0			6
2020-04-22	56	0			6
2020-04-23	59	0			8
2020-04-24	66	0			8
2020-04-25	66	0			8
2020-04-26	66	0			17
2020-04-27	66	0			17
2020-04-28	66	0			17
2020-04-29	66	0			17
2020-04-30	66	0			17
2020-05-01	66	0			17
2020-05-02	69	0			23
2020-05-03	70	0			23
2020-05-04	70	0			28
2020-05-05	72	0			28
2020-05-06	73	0			32
2020-05-07	73	0			34
2020-05-08	74				37
2020-05-09	74				37
2020-05-10	74				37
2020-05-11	75				48
2020-05-12	75				50
2020-05-13	76				51
2020-05-14	76				51
2020-05-15	76				52
2020-05-16	76				52
2020-05-17	76				52
2020-05-18	76				54
2020-05-19	76				55
2020-05-20	76				55
2020-05-21	76				59
2020-05-22	76				60
2020-05-23	76				60
2020-05-24	76				60
2020-05-25	76				64
2020-05-26	76				65
2020-05-27	76				65
2020-05-28	76				66
2020-05-29	76				67
2020-05-30	76				69
2020-05-31	76				69
2020-06-01	76				69
2020-06-02	76				71
2020-06-03	76				71
2020-06-04	76				71
2020-06-05	76				71
2020-06-06	76				71
2020-06-07	76				71
2020-06-08	76				71
2020-06-09	76				71
2020-06-10	76				72
2020-06-11	76				72
2020-06-12	76				72
2020-06-13	76				73
2020-06-14	76				73
2020-06-15	76				75
2020-06-16	76				75
2020-06-17	76				75
2020-06-18	76				75
2020-06-19	77				75
2020-06-20	77				75
2020-06-21	77				75
2020-06-22	77				75
2020-06-23	77				75
2020-06-24	77				75
2020-06-25	77				75
2020-06-26	77				76
2020-06-27	77				76
2020-06-28	77				76
2020-06-29	77				76
2020-06-30	77				76
2020-07-01	77				76
2020-07-02	77				76
2020-07-03	77				76
2020-07-04	77				76
2020-07-05	77				76
2020-07-06	77				76
2020-07-07	77				76
2020-07-08	77				76
2020-07-09	77				76
2020-07-10	77				76
2020-07-11	77				76
2020-07-12	78				76
2020-07-13	79				76
2020-07-14	79				76
2020-07-15	80				76
2020-07-16	81				76
2020-07-17	83				76
2020-07-18	84				76
2020-07-19	84				76
2020-07-20	84				77
2020-07-21	86				77
2020-07-22	86				77
2020-07-23	86				77
2020-07-24	87				77
2020-07-25	88				77
2020-07-26	92				79
2020-07-27	92				80
2020-07-28	98				81
2020-07-29	102				82
2020-07-30	103				82
2020-07-31	105				83
2020-08-01	111				83
2020-08-02	117				83
2020-08-03	119				83
2020-08-04	122				90
2020-08-05	125				90
2020-08-06	126				92
2020-08-07	127				95
2020-08-08	127				95
2020-08-09	131				97
2020-08-10	132				97
2020-08-11	134				100
2020-08-12	139				104
2020-08-13	140				111
2020-08-14	145				111
