# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	8				
2020-03-12	8				
2020-03-13	8				
2020-03-14	8				
2020-03-15	8				
2020-03-16	8				
2020-03-17	8				
2020-03-18	8	0			2
2020-03-19	8	0			2
2020-03-20	8	0			2
2020-03-21	8	0			2
2020-03-22	9	0			2
2020-03-23	9	0			3
2020-03-24	9	0			3
2020-03-25	9	0			3
2020-03-26	9	0			3
2020-03-27	9	0			3
2020-03-28	11	0			8
2020-03-29	11	0			8
2020-03-30	11	0			8
2020-03-31	11	0			8
2020-04-01	15	0			8
2020-04-02	19	0			8
2020-04-03	21	0			8
2020-04-04	24	0			8
2020-04-05	25	0			8
2020-04-06	26	0			8
2020-04-07	28	0			8
2020-04-08	30	0			8
2020-04-09	34	0			8
2020-04-10	37	0			8
2020-04-11	39	0			8
2020-04-12	41	0			8
2020-04-13	44	0			8
2020-04-14	47	0			8
2020-04-15	53	1			9
2020-04-16	54	1			9
2020-04-17	56	1			12
2020-04-18	60	1			12
2020-04-19	62	1			14
2020-04-20	64	1			14
2020-04-21	73	1			14
2020-04-22	75	1			14
2020-04-23	76	1			14
2020-04-24	76	1			14
2020-04-25	76	1			14
2020-04-26	76	1			14
2020-04-27	78	1			14
2020-04-28	80	1			14
2020-04-29	82	1			14
2020-04-30	82	1			14
2020-05-01	85	1			14
2020-05-02	86	1			38
2020-05-03	87	1			38
2020-05-04	87	2			38
2020-05-05	88	2			38
2020-05-06	88	2			38
2020-05-07	89	2			52
2020-05-08	89	2			62
2020-05-09	90	2			66
2020-05-10	90	2			67
2020-05-11	90	2			67
2020-05-12	90	2			68
2020-05-13	90	2			70
2020-05-14	90	2			74
2020-05-15	90	2			76
2020-05-16	90	2			77
2020-05-17	90	2			79
2020-05-18	90	2			79
2020-05-19	90	2			81
2020-05-20	91	2			81
2020-05-21	91	2			82
2020-05-22	91	2			82
2020-05-23	91	2			82
2020-05-24	91	2			82
2020-05-25	91	2			82
2020-05-26	91	2			84
2020-05-27	92	2			84
2020-05-28	92	2			85
2020-05-29	92	2			86
2020-05-30	92	2			88
2020-05-31	92	2			88
2020-06-01	92	2			88
2020-06-02	92	2			88
2020-06-03	92	2			89
2020-06-04	92	2			89
2020-06-05	92	2			89
2020-06-06	92	2			89
2020-06-07	92	2			89
2020-06-08	92	2			89
2020-06-09	92	2			89
2020-06-10	92	2			89
2020-06-11	92	2			89
2020-06-12	92	2			89
2020-06-13	92	2			90
2020-06-14	92	2			90
2020-06-15	92	2			90
2020-06-16	92	2			90
2020-06-17	92	2			90
2020-06-18	92	2			90
2020-06-19	92	2			90
2020-06-20	92	2			90
2020-06-21	92	2			90
2020-06-22	92	2			90
2020-06-23	92	2			90
2020-06-24	92	2			90
2020-06-25	92	2			90
2020-06-26	92	2			90
2020-06-27	92	2			90
