# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0				
2020-03-12	0				
2020-03-13	0				
2020-03-14	0				
2020-03-15	0				
2020-03-16	0				
2020-03-17	1				
2020-03-18	1	0			0
2020-03-19	1	0			0
2020-03-20	1	0			0
2020-03-21	1	0			0
2020-03-22	1	0			0
2020-03-23	1	0			0
2020-03-24	1	0			0
2020-03-25	1	0			0
2020-03-26	1	0			0
2020-03-27	1	0			0
2020-03-28	1	0			0
2020-03-29	1	0			0
2020-03-30	1	0			0
2020-03-31	2	0			0
2020-04-01	2	0			0
2020-04-02	2	0			0
2020-04-03	2	0			0
2020-04-04	2	0			0
2020-04-05	2	0			0
2020-04-06	2	0			0
2020-04-07	2	0			0
2020-04-08	3	0			0
2020-04-09	3	0			0
2020-04-10	4	0			0
2020-04-11	4	0			1
2020-04-12	8	0			1
2020-04-13	16	0			1
2020-04-14	20	0			1
2020-04-15	20	0			1
2020-04-16	21	0			1
2020-04-17	24	0			1
2020-04-18	24	0			1
2020-04-19	25	0			1
2020-04-20	26	0			1
2020-04-21	26	0			1
2020-04-22	26	0			2
2020-04-23	28	0			4
2020-04-24	28	0			4
2020-04-25	28	0			5
2020-04-26	28	0			5
2020-04-27	28	0			5
2020-04-28	28	0			6
2020-04-29	28	0			7
2020-04-30	28	0			7
2020-05-01	28	0			7
2020-05-02	28	0			7
2020-05-03	28	0			9
2020-05-04	28	0			11
2020-05-05	28	0			11
2020-05-06	28	0			11
2020-05-07	28	0			12
2020-05-08	28	0			13
2020-05-09	28	0			13
2020-05-10	28	0			20
2020-05-11	28	0			21
2020-05-12	28	0			21
2020-05-13	28	0			22
2020-05-14	28	0			26
2020-05-15	28	0			26
2020-05-16	28	0			26
2020-05-17	28	0			27
2020-05-18	28	0			27
2020-05-19	28	0			27
2020-05-20	28	0			27
2020-05-21	28	0			27
2020-05-22	28	0			27
2020-05-23	28	0			27
2020-05-24	28	0			28
2020-05-25	28	0			28
2020-05-26	28	0			28
2020-05-27	28	0			28
2020-05-28	28	0			28
2020-05-29	28	0			28
2020-05-30	28	0			28
2020-05-31	28	0			28
2020-06-01	28	0			28
2020-06-02	28	0			28
2020-06-03	28	0			28
2020-06-04	28	0			28
2020-06-05	28	0			28
2020-06-06	28	0			28
2020-06-07	28	0			28
2020-06-08	28	0			28
2020-06-09	28	0			28
2020-06-10	28	0			28
2020-06-11	28	0			28
2020-06-12	28	0			28
2020-06-13	28	0			28
2020-06-14	28	0			28
2020-06-15	28	0			28
2020-06-16	28	0			28
2020-06-17	28	0			28
2020-06-18	28	0			28
2020-06-19	28	0			28
2020-06-20	28	0			28
2020-06-21	28	0			28
2020-06-22	28	0			28
2020-06-23	28	0			28
2020-06-24	28	0			28
2020-06-25	28	0			28
2020-06-26	28	0			28
2020-06-27	28	0			28
2020-06-28	28	0			28
2020-06-29	28	0			28
2020-06-30	28	0			28
2020-07-01	28	0			28
2020-07-02	28	0			28
2020-07-03	28	0			28
2020-07-04	28	0			28
2020-07-05	28	0			28
2020-07-06	28	0			28
2020-07-07	28	0			28
2020-07-08	28	0			28
2020-07-09	28	0			28
2020-07-10	28	0			28
