# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0				
2020-03-12	0				
2020-03-13	0				
2020-03-14	0				
2020-03-15	0				
2020-03-16	0				
2020-03-17	1				
2020-03-18	2	0			0
2020-03-19	3	0			0
2020-03-20	3	0			0
2020-03-21	3	0			0
2020-03-22	3	0			0
2020-03-23	5	0			0
2020-03-24	5	0			0
2020-03-25	9	0			0
2020-03-26	10	0			0
2020-03-27	11	0			0
2020-03-28	13	0			0
2020-03-29	16	0			0
2020-03-30	20	0			0
2020-03-31	24	0			0
2020-04-01	24	1			0
2020-04-02	26	2			0
2020-04-03	54	2			1
2020-04-04	59	2			1
2020-04-05	64	2			1
2020-04-06	71	2			1
2020-04-07	77	2			1
2020-04-08	77	2			4
2020-04-09	81	2			4
2020-04-10	82	3			7
2020-04-11	91	3			8
2020-04-12	109	3			9
2020-04-13	110	3			10
2020-04-14	116	3			10
2020-04-15	119	5			10
2020-04-16	123	5			10
2020-04-17	131	5			11
2020-04-18	135	5			14
2020-04-19	139	5			16
2020-04-20	143	6			16
2020-04-21	146	6			16
2020-04-22	151	6			18
2020-04-23	153	6			21
2020-04-24	157	6			24
2020-04-25	158	6			24
2020-04-26	161	6			24
2020-04-27	161	6			31
2020-04-28	162	6			31
2020-04-29	162	6			33
2020-04-30	163	7			35
2020-05-01	165	7			35
2020-05-02	165	7			38
2020-05-03	165	7			45
2020-05-04	165	8			61
2020-05-05	168	9			69
2020-05-06	168	9			71
2020-05-07	168	9			73
2020-05-08	168	9			78
2020-05-09	168	9			78
2020-05-10	168	9			78
2020-05-11	168	9			92
2020-05-12	168	9			93
2020-05-13	168	9			94
2020-05-14	168	9			98
2020-05-15	168	9			105
2020-05-16	168	9			111
2020-05-17	168	9			130
2020-05-18	168	9			133
2020-05-19	168	9			133
2020-05-20	168	9			137
2020-05-21	168	9			139
2020-05-22	168	9			142
2020-05-23	168	9			145
2020-05-24	168	9			145
2020-05-25	168	9			145
2020-05-26	168	10			145
2020-05-27	168	10			147
2020-05-28	168	10			149
2020-05-29	168	10			151
2020-05-30	168	10			151
2020-05-31	168	10			151
2020-06-01	168	10			152
2020-06-02	168	10			153
2020-06-03	168	10			153
2020-06-04	168	10			155
2020-06-05	168	10			155
2020-06-06	168	10			155
2020-06-07	168	10			155
2020-06-08	168	10			155
2020-06-09	168	10			155
2020-06-10	168	10			155
2020-06-11	168	10			155
2020-06-12	168	10			155
2020-06-13	168	10			155
2020-06-14	168	10			155
2020-06-15	168	10			155
2020-06-16	168	10			155
2020-06-17	168	10			155
2020-06-18	168	10			155
2020-06-19	168	10			155
2020-06-20	170	10			155
2020-06-21	170	10			155
2020-06-22	170	10			155
2020-06-23	170	10			155
2020-06-24	170	10			155
2020-06-25	170	10			155
2020-06-26	172	10			156
2020-06-27	172	10			157
2020-06-28	173	10			157
2020-06-29	174	10			159
2020-06-30	174	10			159
2020-07-01	174	10			159
2020-07-02	176	10			159
2020-07-03	182	10			160
2020-07-04	183	10			160
2020-07-05	183	10			160
2020-07-06	186	10			160
2020-07-07	187	10			163
2020-07-08	188	10			163
2020-07-09	189	10			165
2020-07-10	196	10			167
