# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0	nan			nan
2020-03-12	0	nan			nan
2020-03-13	1	nan			nan
2020-03-14	1	nan			nan
2020-03-15	1	nan			nan
2020-03-16	1	nan			nan
2020-03-17	1	nan			nan
2020-03-18	1	0.0			0.0
2020-03-19	1	0.0			0.0
2020-03-20	1	0.0			0.0
2020-03-21	1	0.0			0.0
2020-03-22	1	0.0			0.0
2020-03-23	1	0.0			0.0
2020-03-24	1	0.0			0.0
2020-03-25	1	0.0			0.0
2020-03-26	1	0.0			0.0
2020-03-27	1	0.0			0.0
2020-03-28	1	0.0			0.0
2020-03-29	1	0.0			0.0
2020-03-30	1	0.0			0.0
2020-03-31	2	0.0			0.0
2020-04-01	4	0.0			0.0
2020-04-02	4	0.0			0.0
2020-04-03	5	0.0			0.0
2020-04-04	6	0.0			0.0
2020-04-05	8	0.0			1.0
2020-04-06	8	0.0			1.0
2020-04-07	9	0.0			1.0
2020-04-08	11	0.0			1.0
2020-04-09	11	0.0			1.0
2020-04-10	12	0.0			1.0
2020-04-11	12	0.0			1.0
2020-04-12	13	0.0			1.0
2020-04-13	13	0.0			1.0
2020-04-14	15	0.0			1.0
2020-04-15	15	0.0			1.0
2020-04-16	15	0.0			1.0
2020-04-17	16	0.0			1.0
2020-04-18	16	0.0			1.0
2020-04-19	17	0.0			1.0
2020-04-20	17	0.0			1.0
2020-04-21	17	0.0			1.0
2020-04-22	18	0.0			2.0
2020-04-23	21	0.0			2.0
2020-04-24	32	0.0			6.0
2020-04-25	36	0.0			6.0
2020-04-26	36	0.0			6.0
2020-04-27	36	0.0			6.0
2020-04-28	37	0.0			6.0
2020-04-29	38	0.0			6.0
2020-04-30	41	0.0			7.0
2020-05-01	42	0.0			7.0
2020-05-02	42	0.0			7.0
2020-05-03	44	0.0			9.0
2020-05-04	44	0.0			10.0
2020-05-05	45	0.0			10.0
2020-05-06	45	0.0			10.0
2020-05-07	45	0.0			10.0
2020-05-08	45	0.0			20.0
2020-05-09	45	0.0			21.0
2020-05-10	45	0.0			22.0
2020-05-11	45	0.0			23.0
2020-05-12	45	0.0			23.0
2020-05-13	46	0.0			27.0
