# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0				
2020-03-12	0				
2020-03-13	0				
2020-03-14	0				
2020-03-15	0				
2020-03-16	0				
2020-03-17	0				
2020-03-18	1	0			0
2020-03-19	1	0			0
2020-03-20	1	0			0
2020-03-21	1	0			0
2020-03-22	1	0			0
2020-03-23	1	0			0
2020-03-24	1	0			0
2020-03-25	2	0			0
2020-03-26	6	0			0
2020-03-27	9	0			0
2020-03-28	12	0			0
2020-03-29	13	0			0
2020-03-30	15	0			0
2020-03-31	16	0			0
2020-04-01	22	0			0
2020-04-02	31	1			0
2020-04-03	40	1			0
2020-04-04	44	1			0
2020-04-05	51	2			0
2020-04-06	57	2			1
2020-04-07	57	2			1
2020-04-08	67	2			1
2020-04-09	72	2			3
2020-04-10	76	2			6
2020-04-11	86	2			6
2020-04-12	88	2			6
2020-04-13	92	2			7
2020-04-14	92	2			8
2020-04-15	100	2			8
2020-04-16	103	2			8
2020-04-17	104	2			8
2020-04-18	106	4			8
2020-04-19	112	4			23
2020-04-20	113	4			26
2020-04-21	118	4			26
2020-04-22	119	4			26
2020-04-23	119	5			26
2020-04-24	120	5			33
2020-04-25	120	5			33
2020-04-26	121	5			33
2020-04-27	121	6			63
2020-04-28	122	6			63
2020-04-29	122	7			64
2020-04-30	122	8			69
2020-05-01	122	8			69
2020-05-02	122	8			75
2020-05-03	122	8			75
2020-05-04	122	8			78
2020-05-05	122	8			78
2020-05-06	122	8			84
2020-05-07	122	8			84
2020-05-08	122	8			89
2020-05-09	122	8			93
2020-05-10	122	8			94
2020-05-11	122	8			95
2020-05-12	122	8			96
2020-05-13	122	8			98
2020-05-14	122	8			98
2020-05-15	122	8			99
2020-05-16	122	8			102
2020-05-17	122	8			102
2020-05-18	122	8			104
2020-05-19	122	8			104
2020-05-20	122	8			105
2020-05-21	122	8			105
2020-05-22	122	8			107
2020-05-23	122	8			108
2020-05-24	122	8			109
2020-05-25	122	8			109
2020-05-26	122	8			109
2020-05-27	122	8			109
2020-05-28	122	8			109
2020-05-29	122	8			109
2020-05-30	122	8			109
2020-05-31	122	8			110
2020-06-01	122	8			112
2020-06-02	122	8			112
2020-06-03	122	8			112
2020-06-04	122	8			112
2020-06-05	122	8			112
2020-06-06	122	8			113
2020-06-07	122	8			113
2020-06-08	122	8			113
2020-06-09	122	8			113
2020-06-10	122	8			113
2020-06-11	122	8			113
2020-06-12	122	8			113
2020-06-13	122	8			113
2020-06-14	122	8			113
2020-06-15	122	8			114
2020-06-16	122	8			114
2020-06-17	122	8			114
2020-06-18	122	8			114
2020-06-19	122	8			114
2020-06-20	122	8			114
2020-06-21	122	8			114
2020-06-22	122	8			114
2020-06-23	122	8			114
2020-06-24	122	8			114
2020-06-25	122	8			114
2020-06-26	122	8			114
2020-06-27	122	8			114
2020-06-28	122	8			114
2020-06-29	122	8			114
2020-06-30	122	8			114
2020-07-01	122	8			114
2020-07-02	122	8			114
2020-07-03	122	8			114
2020-07-04	122	8			114
2020-07-05	122	8			114
2020-07-06	122	8			114
2020-07-07	122	8			114
2020-07-08	122	8			114
2020-07-09	122	8			114
2020-07-10	122	8			114
