# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0				
2020-03-12	0				
2020-03-13	0				
2020-03-14	0				
2020-03-15	0				
2020-03-16	0				
2020-03-17	0				
2020-03-18	0				
2020-03-19	0				
2020-03-20	0				
2020-03-21	0				
2020-03-22	0				
2020-03-23	0				
2020-03-24	0				
2020-03-25	0				
2020-03-26	1	0			0
2020-03-27	1	0			0
2020-03-28	1	0			0
2020-03-29	1	0			0
2020-03-30	1	0			0
2020-03-31	1	0			0
2020-04-01	2	0			0
2020-04-02	3	0			0
2020-04-03	3	0			0
2020-04-04	3	0			0
2020-04-05	3	0			0
2020-04-06	3	0			0
2020-04-07	3	0			0
2020-04-08	3	0			0
2020-04-09	3	0			0
2020-04-10	3	0			0
2020-04-11	4	0			0
2020-04-12	4	0			0
2020-04-13	4	0			0
2020-04-14	4	0			0
2020-04-15	4	0			0
2020-04-16	4	0			1
2020-04-17	6	0			1
2020-04-18	7	0			1
2020-04-19	8	0			1
2020-04-20	10	0			1
2020-04-21	10	0			1
2020-04-22	10	0			2
2020-04-23	10	0			2
2020-04-24	10	0			3
2020-04-25	10	0			3
2020-04-26	10	0			3
2020-04-27	10	0			4
2020-04-28	10	0			4
2020-04-29	10	0			4
2020-04-30	10	0			4
2020-05-01	10	0			4
2020-05-02	10	0			4
2020-05-03	10	0			4
2020-05-04	10	0			4
2020-05-05	10	0			4
2020-05-06	10	0			5
2020-05-07	10	0			5
2020-05-08	11				7
2020-05-09	11				7
2020-05-10	11				8
2020-05-11	11				8
2020-05-12	11	0			8
2020-05-13	11	0			8
2020-05-14	10	0			7
2020-05-15	10	0			7
2020-05-16	10	0			7
2020-05-17	10	0			7
2020-05-18	10	0			7
2020-05-19	10	0			7
2020-05-20	10	0			8
2020-05-21	10	0			9
2020-05-22	10	0			9
2020-05-23	10	0			9
2020-05-24	10	0			9
2020-05-25	10	0			9
2020-05-26	10	0			10
2020-05-27	10	0			10
2020-05-28	10	0			10
2020-05-29	10	0			10
2020-05-30	10	0			10
2020-05-31	10	0			10
2020-06-01	10	0			10
2020-06-02	10	0			10
2020-06-03	10	0			10
2020-06-04	10	0			10
2020-06-05	10	0			10
2020-06-06	10	0			10
2020-06-07	10	0			10
2020-06-08	10	0			10
2020-06-09	10	0			10
2020-06-10	10	0			10
2020-06-11	10	0			10
2020-06-12	11	0			10
2020-06-13	11	0			10
2020-06-14	11	0			10
2020-06-15	11	0			10
2020-06-16	11	0			10
2020-06-17	11	0			10
2020-06-18	11	0			10
2020-06-19	11	0			10
2020-06-20	11	0			10
2020-06-21	11	0			10
2020-06-22	11	0			10
2020-06-23	11	0			10
2020-06-24	11	0			10
2020-06-25	11	0			10
2020-06-26	11	0			10
2020-06-27	11	0			10
