# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	ICU	recovered
2020-03-23	138	0			
2020-03-22	117	0			
2020-03-21	108	0			
2020-03-20	87	0			
2020-03-19	42	0			
2020-03-18	34	0			
2020-03-16	19	0			
2020-03-15	14	0			
2020-03-14	8	0			
2020-03-13	2	0			
2020-03-12	2	0			
2020-03-11	2	0			
2020-03-10	1	0			
2020-03-09	1	0			
2020-03-08	1	0			
2020-03-07	1	0			
