# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	ICU	recovered
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	4	0			
2020-03-17	6	0			
2020-03-18	7	0			
2020-03-19	9	0			
2020-03-20	12	0			
2020-03-21	16	0			
2020-03-22	21	0			
2020-03-23	21	0			
2020-03-24	24	0			
2020-03-25	24	0			
2020-03-26	25	0			
2020-03-27	28	0			
2020-03-28	31	0			
